Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2705197,time,The time taken to reach this threshold level in the control animals was 12 min.,Thiosulphate and hydroxocobalamin prophylaxis in progressive cyanide poisoning in guinea-pigs. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2705197/),min,12,53604,DB00200,Hydroxocobalamin
,2705197,plasma half-life,Additionally we found a plasma half-life of sodium thiosulphate in guinea-pigs of 26 min.,Thiosulphate and hydroxocobalamin prophylaxis in progressive cyanide poisoning in guinea-pigs. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2705197/),min,26,53605,DB00200,Hydroxocobalamin
,8012169,elimination half-life,"At 70 mg/kg, which is the recommended dose in acute cyanide poisoning, the elimination half-life was 7.36 +/- 0.79 h, the volume of distribution was 0.49 +/- 0.10 L/kg, and the total clearance 0.58 +/- 0.11 L/h.",Pharmacokinetics of hydroxocobalamin in dogs. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8012169/),h,7.36,59819,DB00200,Hydroxocobalamin
,8012169,volume of distribution,"At 70 mg/kg, which is the recommended dose in acute cyanide poisoning, the elimination half-life was 7.36 +/- 0.79 h, the volume of distribution was 0.49 +/- 0.10 L/kg, and the total clearance 0.58 +/- 0.11 L/h.",Pharmacokinetics of hydroxocobalamin in dogs. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8012169/),[l] / [kg],0.49,59820,DB00200,Hydroxocobalamin
,8012169,total clearance,"At 70 mg/kg, which is the recommended dose in acute cyanide poisoning, the elimination half-life was 7.36 +/- 0.79 h, the volume of distribution was 0.49 +/- 0.10 L/kg, and the total clearance 0.58 +/- 0.11 L/h.",Pharmacokinetics of hydroxocobalamin in dogs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8012169/),[l] / [h],0.58,59821,DB00200,Hydroxocobalamin
,9489599,maximal plasma cobalamin concentration (Cmax),The maximal plasma cobalamin concentration (Cmax) after nasal administration of 750 microg hydroxocobalamin was 1900 +/- 900 pmol l(-1) (mean +/- s.d.).,Nasal absorption of hydroxocobalamin in healthy elderly adults. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9489599/),[pM] / [l],1900,100125,DB00200,Hydroxocobalamin
,9489599,t[max],The maximal plasma cobalamin concentration was reached in 35 +/- 13 min (t[max]).,Nasal absorption of hydroxocobalamin in healthy elderly adults. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9489599/),min,35,100126,DB00200,Hydroxocobalamin
,9489599,Cmax,The Cmax after nasal administration of 1500 microg hydroxocobalamin was 3500 +/- 2500 pmol l(-1) with a t(max) of 28 +/- 16 min.,Nasal absorption of hydroxocobalamin in healthy elderly adults. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9489599/),[pM] / [l],3500,100127,DB00200,Hydroxocobalamin
,9489599,t(max),The Cmax after nasal administration of 1500 microg hydroxocobalamin was 3500 +/- 2500 pmol l(-1) with a t(max) of 28 +/- 16 min.,Nasal absorption of hydroxocobalamin in healthy elderly adults. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9489599/),min,28,100128,DB00200,Hydroxocobalamin
,8492341,t1/2 (alpha),"Pharmacokinetic parameters of hydroxocobalamin were best defined in the group who received both antidotes: t1/2 (alpha), 0.52 h; t1/2 (beta), 2.83 h; Vd (beta), 0.24 L/kg; and mean peak serum concentration 753 mcg/mL (560 mumol/L) at 0-50 minutes after completion of infusion.","Hydroxocobalamin as a cyanide antidote: safety, efficacy and pharmacokinetics in heavily smoking normal volunteers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8492341/),h,0.52,164343,DB00200,Hydroxocobalamin
