Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16791848,clearance (CL),"The clearance (CL) of levocetirizine and dextrocetirizine was 1.2 and 2.7 ml/min, respectively, and the volume of distribution at steady state (Vss) was 457 ml and 996 ml, respectively.",Stereoselective pharmacokinetics of cetirizine in the guinea pig: role of protein binding. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16791848/),[ml] / [min],1.2,5406,DB00557,Hydroxyzine
,16791848,clearance (CL),"The clearance (CL) of levocetirizine and dextrocetirizine was 1.2 and 2.7 ml/min, respectively, and the volume of distribution at steady state (Vss) was 457 ml and 996 ml, respectively.",Stereoselective pharmacokinetics of cetirizine in the guinea pig: role of protein binding. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16791848/),[ml] / [min],2.7,5407,DB00557,Hydroxyzine
,16791848,volume of distribution at steady state (Vss),"The clearance (CL) of levocetirizine and dextrocetirizine was 1.2 and 2.7 ml/min, respectively, and the volume of distribution at steady state (Vss) was 457 ml and 996 ml, respectively.",Stereoselective pharmacokinetics of cetirizine in the guinea pig: role of protein binding. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16791848/),ml,457,5408,DB00557,Hydroxyzine
,16791848,volume of distribution at steady state (Vss),"The clearance (CL) of levocetirizine and dextrocetirizine was 1.2 and 2.7 ml/min, respectively, and the volume of distribution at steady state (Vss) was 457 ml and 996 ml, respectively.",Stereoselective pharmacokinetics of cetirizine in the guinea pig: role of protein binding. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16791848/),ml,996,5409,DB00557,Hydroxyzine
,16791848,fraction unbound (fu),"The fraction unbound (fu) in guinea pig plasma for levocetirizine and dextrocetirizine was 7-10% and 16-21% while in human plasma, it was 8% and 12%, respectively.",Stereoselective pharmacokinetics of cetirizine in the guinea pig: role of protein binding. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16791848/),%,7-10,5410,DB00557,Hydroxyzine
,16791848,fraction unbound (fu),"The fraction unbound (fu) in guinea pig plasma for levocetirizine and dextrocetirizine was 7-10% and 16-21% while in human plasma, it was 8% and 12%, respectively.",Stereoselective pharmacokinetics of cetirizine in the guinea pig: role of protein binding. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16791848/),%,16-21,5411,DB00557,Hydroxyzine
,16791848,fraction unbound (fu),"The fraction unbound (fu) in guinea pig plasma for levocetirizine and dextrocetirizine was 7-10% and 16-21% while in human plasma, it was 8% and 12%, respectively.",Stereoselective pharmacokinetics of cetirizine in the guinea pig: role of protein binding. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16791848/),%,8,5412,DB00557,Hydroxyzine
,16791848,fraction unbound (fu),"The fraction unbound (fu) in guinea pig plasma for levocetirizine and dextrocetirizine was 7-10% and 16-21% while in human plasma, it was 8% and 12%, respectively.",Stereoselective pharmacokinetics of cetirizine in the guinea pig: role of protein binding. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16791848/),%,12,5413,DB00557,Hydroxyzine
,17581764,trough plasma concentration,"After three consecutive administrations of cetirizine (0.2 mg/kg body weight, bw) every 12h, the trough plasma concentration of cetirizine was 16+/-4 ng/mL (mean+/-SD) and the wheal formation was inhibited by 45+/-23%.",Cetirizine in horses: pharmacokinetics and pharmacodynamics following repeated oral administration. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17581764/),[ng] / [ml],16,9715,DB00557,Hydroxyzine
,17581764,trough plasma concentration,"After four additional administrations of cetirizine (0.4 mg/kg bw) every 12 h, the trough plasma concentration was 48+/-15 ng/mL and the wheal formation was inhibited by 68+/-11%.",Cetirizine in horses: pharmacokinetics and pharmacodynamics following repeated oral administration. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17581764/),[ng] / [ml],48,9716,DB00557,Hydroxyzine
