Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,30450866,limit of detection (LOD),"The limit of detection (LOD) and quantification (LOQ) were 0.03 and 0.1 μg/mL, respectively.","Pharmacokinetic profiles of 5 mg/kg ibudilast, a phosphodiesterase inhibitor, orally administered to dogs in fasted and non-fasted states. A preliminary study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30450866/),[μg] / [ml],0.03,74399,DB05266,Ibudilast
,30450866,quantification (LOQ),"The limit of detection (LOD) and quantification (LOQ) were 0.03 and 0.1 μg/mL, respectively.","Pharmacokinetic profiles of 5 mg/kg ibudilast, a phosphodiesterase inhibitor, orally administered to dogs in fasted and non-fasted states. A preliminary study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30450866/),[μg] / [ml],0.1,74400,DB05266,Ibudilast
,12910715,AUC0-->infinity,"After being processed by 3P87 pharmacokinetics program, the experiment data showed that the pharmacokinetic parameters of the tablets and the capsules were AUC0-->infinity: 740.12 ng.h/ml and 724.04 ng.h/ml; tmax: 5.37 h and 5.11 h; Cmax: 46.98 ng/ml and 46.29 ng/ml; T1/2: 7.4 h and 7.0 h; MRT0-->infinity: 14.78 h and 14.39 h respectively.",[Pharmacokinetics and relative bioavailability of KC-404 sustained release tablets in healthy volunteers]. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12910715/),[h·ng] / [ml],740.12,115330,DB05266,Ibudilast
,12910715,AUC0-->infinity,"After being processed by 3P87 pharmacokinetics program, the experiment data showed that the pharmacokinetic parameters of the tablets and the capsules were AUC0-->infinity: 740.12 ng.h/ml and 724.04 ng.h/ml; tmax: 5.37 h and 5.11 h; Cmax: 46.98 ng/ml and 46.29 ng/ml; T1/2: 7.4 h and 7.0 h; MRT0-->infinity: 14.78 h and 14.39 h respectively.",[Pharmacokinetics and relative bioavailability of KC-404 sustained release tablets in healthy volunteers]. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12910715/),[h·ng] / [ml],724.04,115331,DB05266,Ibudilast
,12910715,tmax,"After being processed by 3P87 pharmacokinetics program, the experiment data showed that the pharmacokinetic parameters of the tablets and the capsules were AUC0-->infinity: 740.12 ng.h/ml and 724.04 ng.h/ml; tmax: 5.37 h and 5.11 h; Cmax: 46.98 ng/ml and 46.29 ng/ml; T1/2: 7.4 h and 7.0 h; MRT0-->infinity: 14.78 h and 14.39 h respectively.",[Pharmacokinetics and relative bioavailability of KC-404 sustained release tablets in healthy volunteers]. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12910715/),h,5.37,115332,DB05266,Ibudilast
,12910715,tmax,"After being processed by 3P87 pharmacokinetics program, the experiment data showed that the pharmacokinetic parameters of the tablets and the capsules were AUC0-->infinity: 740.12 ng.h/ml and 724.04 ng.h/ml; tmax: 5.37 h and 5.11 h; Cmax: 46.98 ng/ml and 46.29 ng/ml; T1/2: 7.4 h and 7.0 h; MRT0-->infinity: 14.78 h and 14.39 h respectively.",[Pharmacokinetics and relative bioavailability of KC-404 sustained release tablets in healthy volunteers]. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12910715/),h,5.11,115333,DB05266,Ibudilast
,12910715,Cmax,"After being processed by 3P87 pharmacokinetics program, the experiment data showed that the pharmacokinetic parameters of the tablets and the capsules were AUC0-->infinity: 740.12 ng.h/ml and 724.04 ng.h/ml; tmax: 5.37 h and 5.11 h; Cmax: 46.98 ng/ml and 46.29 ng/ml; T1/2: 7.4 h and 7.0 h; MRT0-->infinity: 14.78 h and 14.39 h respectively.",[Pharmacokinetics and relative bioavailability of KC-404 sustained release tablets in healthy volunteers]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12910715/),[ng] / [ml],46.98,115334,DB05266,Ibudilast
,12910715,Cmax,"After being processed by 3P87 pharmacokinetics program, the experiment data showed that the pharmacokinetic parameters of the tablets and the capsules were AUC0-->infinity: 740.12 ng.h/ml and 724.04 ng.h/ml; tmax: 5.37 h and 5.11 h; Cmax: 46.98 ng/ml and 46.29 ng/ml; T1/2: 7.4 h and 7.0 h; MRT0-->infinity: 14.78 h and 14.39 h respectively.",[Pharmacokinetics and relative bioavailability of KC-404 sustained release tablets in healthy volunteers]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12910715/),[ng] / [ml],46.29,115335,DB05266,Ibudilast
,12910715,T1/2,"After being processed by 3P87 pharmacokinetics program, the experiment data showed that the pharmacokinetic parameters of the tablets and the capsules were AUC0-->infinity: 740.12 ng.h/ml and 724.04 ng.h/ml; tmax: 5.37 h and 5.11 h; Cmax: 46.98 ng/ml and 46.29 ng/ml; T1/2: 7.4 h and 7.0 h; MRT0-->infinity: 14.78 h and 14.39 h respectively.",[Pharmacokinetics and relative bioavailability of KC-404 sustained release tablets in healthy volunteers]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12910715/),h,7.4,115336,DB05266,Ibudilast
,12910715,T1/2,"After being processed by 3P87 pharmacokinetics program, the experiment data showed that the pharmacokinetic parameters of the tablets and the capsules were AUC0-->infinity: 740.12 ng.h/ml and 724.04 ng.h/ml; tmax: 5.37 h and 5.11 h; Cmax: 46.98 ng/ml and 46.29 ng/ml; T1/2: 7.4 h and 7.0 h; MRT0-->infinity: 14.78 h and 14.39 h respectively.",[Pharmacokinetics and relative bioavailability of KC-404 sustained release tablets in healthy volunteers]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12910715/),h,7.0,115337,DB05266,Ibudilast
