Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,19927376,nK(A),"The affinity of HSA and AGP to (+)-THP, expressed as nK(A), were 9.0 x 10(3) M(-1) and 2.34 x 10(5) M(-1), respectively, which were notablely higher than to (-)-THP, with the nK(A) of 3.4 x 10(3) M(-1) and 1.44 x 10(5) M(-1), respectively.","Stereoselective protein binding of tetrahydropalmatine enantiomers in human plasma, HSA, and AGP, but not in rat plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19927376/),1/[M],9.0 x 10(3),308,DB01050,Ibuprofen
,19927376,nK(A),"The affinity of HSA and AGP to (+)-THP, expressed as nK(A), were 9.0 x 10(3) M(-1) and 2.34 x 10(5) M(-1), respectively, which were notablely higher than to (-)-THP, with the nK(A) of 3.4 x 10(3) M(-1) and 1.44 x 10(5) M(-1), respectively.","Stereoselective protein binding of tetrahydropalmatine enantiomers in human plasma, HSA, and AGP, but not in rat plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19927376/),1/[M],2.34 x 10(5),309,DB01050,Ibuprofen
,19927376,nK(A),"The affinity of HSA and AGP to (+)-THP, expressed as nK(A), were 9.0 x 10(3) M(-1) and 2.34 x 10(5) M(-1), respectively, which were notablely higher than to (-)-THP, with the nK(A) of 3.4 x 10(3) M(-1) and 1.44 x 10(5) M(-1), respectively.","Stereoselective protein binding of tetrahydropalmatine enantiomers in human plasma, HSA, and AGP, but not in rat plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19927376/),1/[M],3.4 x 10(3),310,DB01050,Ibuprofen
,19927376,nK(A),"The affinity of HSA and AGP to (+)-THP, expressed as nK(A), were 9.0 x 10(3) M(-1) and 2.34 x 10(5) M(-1), respectively, which were notablely higher than to (-)-THP, with the nK(A) of 3.4 x 10(3) M(-1) and 1.44 x 10(5) M(-1), respectively.","Stereoselective protein binding of tetrahydropalmatine enantiomers in human plasma, HSA, and AGP, but not in rat plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19927376/),1/[M],1.44 x 10(5),311,DB01050,Ibuprofen
,30673916,relative bioavailability,"Though IBU of IBU-PE sustained release bilayer tablet was bioequivalent to the commercial IBU tablet, the relative bioavailability of PE from the bilayer tablets was 87.49 ± 20.00% (90% confidence interval was 72.3 to 102.5%), indicating bioinequivalence probably due to the ""first pass"" effect.",Sustained Release Bilayer Tablet of Ibuprofen and Phenylephrine Hydrochloride: Preparation and Pharmacokinetics in Beagle Dogs. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30673916/),%,87.49,975,DB01050,Ibuprofen
,2720131,AUC,The mean AUC and Cmax from rectal administration were 87 per cent and 62 per cent of the corresponding values achieved after oral administration.,Absorption kinetics of rectally and orally administered ibuprofen. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2720131/),%,87,1929,DB01050,Ibuprofen
,2720131,Cmax,The mean AUC and Cmax from rectal administration were 87 per cent and 62 per cent of the corresponding values achieved after oral administration.,Absorption kinetics of rectally and orally administered ibuprofen. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2720131/),%,62,1930,DB01050,Ibuprofen
,8398601,recovery,"The recovery of total KT in bile was significantly higher after administration of (S)-KT than after (R)-KT [90.1 +/- 3.5% vs 68.8 +/- 8.2%, n = 3, P < 0.05].",Stereoselectivity of biliary excretion of 2-arylpropionates in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8398601/),%,90.1,2051,DB01050,Ibuprofen
,8398601,recovery,"The recovery of total KT in bile was significantly higher after administration of (S)-KT than after (R)-KT [90.1 +/- 3.5% vs 68.8 +/- 8.2%, n = 3, P < 0.05].",Stereoselectivity of biliary excretion of 2-arylpropionates in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8398601/),%,68.8,2052,DB01050,Ibuprofen
,8398601,terminal half-life,"In normal rats the terminal half-life of (R)-KT was significantly shorter than that of (S)-KT after administration of (R)-KT (2.2 +/- 0.6 h vs 14.3 +/- 4.9 h, n = 3, P < 0.05).",Stereoselectivity of biliary excretion of 2-arylpropionates in rats. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8398601/),h,2.2,2053,DB01050,Ibuprofen
