Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11838320,total drug levels,"Plasma drug analyses showed that total drug levels (sum of enantiomers) were similar with each agent, averaging 1, 12, and 170 ng/ml at 30 min after the low, middle, and high doses, respectively.",Cardiovascular effects of the R- and S-enantiomers of ibutilide in conscious beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11838320/),ng,12,34621,DB00308,Ibutilide
,11838320,total drug levels,"Plasma drug analyses showed that total drug levels (sum of enantiomers) were similar with each agent, averaging 1, 12, and 170 ng/ml at 30 min after the low, middle, and high doses, respectively.",Cardiovascular effects of the R- and S-enantiomers of ibutilide in conscious beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11838320/),ng,170,34622,DB00308,Ibutilide
,18035195,t(1/2),"No statistically significant differences in the principal PK parameters were found among dosage groups; t(1/2) ranged from 7.5 to 9.1 hours, systemic clearance from 68 to 85 mL/min per kg, and Vd from 51 to 60 L/kg.","Pharmacokinetic and pharmacodynamic properties of a single intravenous dose of ibutilide fumarate: a phase I, randomized, open-label, increasing-dose study in healthy Chinese men. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18035195/),h,7.5 to 9.1,38869,DB00308,Ibutilide
,18035195,systemic clearance,"No statistically significant differences in the principal PK parameters were found among dosage groups; t(1/2) ranged from 7.5 to 9.1 hours, systemic clearance from 68 to 85 mL/min per kg, and Vd from 51 to 60 L/kg.","Pharmacokinetic and pharmacodynamic properties of a single intravenous dose of ibutilide fumarate: a phase I, randomized, open-label, increasing-dose study in healthy Chinese men. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18035195/),[ml] / [kg·min],68 to 85,38870,DB00308,Ibutilide
,18035195,Vd,"No statistically significant differences in the principal PK parameters were found among dosage groups; t(1/2) ranged from 7.5 to 9.1 hours, systemic clearance from 68 to 85 mL/min per kg, and Vd from 51 to 60 L/kg.","Pharmacokinetic and pharmacodynamic properties of a single intravenous dose of ibutilide fumarate: a phase I, randomized, open-label, increasing-dose study in healthy Chinese men. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18035195/),[l] / [kg],51 to 60,38871,DB00308,Ibutilide
,19025427,maximum serum ibutilide concentration,"No significant differences were noted between the heart failure and normal left ventricular function groups in the following parameters: maximum serum ibutilide concentration (median [interquartile range] 3.8 [2.3-5.7] vs 5.8 [3.1-14.4] microg/L, p=0.31), area under the serum concentration-time curve from time zero extrapolated to infinity (mean +/- SD 11.0 +/- 9.4 vs 13.2 +/- 10.6 microg*hr/L, p=0.88), steady-state volume of distribution (1380 +/- 334 vs 1390 +/- 964 L, p=0.99), systemic clearance (129 +/- 60 vs 125 +/- 81 L/hr, p=0.92), or half-life (12.5 +/- 10.7 vs 12.4 +/- 8.6 hrs, p=0.99).",Pharmacokinetics of ibutilide in patients with heart failure due to left ventricular systolic dysfunction. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19025427/),[μg] / [l],3.8,81590,DB00308,Ibutilide
,19025427,maximum serum ibutilide concentration,"No significant differences were noted between the heart failure and normal left ventricular function groups in the following parameters: maximum serum ibutilide concentration (median [interquartile range] 3.8 [2.3-5.7] vs 5.8 [3.1-14.4] microg/L, p=0.31), area under the serum concentration-time curve from time zero extrapolated to infinity (mean +/- SD 11.0 +/- 9.4 vs 13.2 +/- 10.6 microg*hr/L, p=0.88), steady-state volume of distribution (1380 +/- 334 vs 1390 +/- 964 L, p=0.99), systemic clearance (129 +/- 60 vs 125 +/- 81 L/hr, p=0.92), or half-life (12.5 +/- 10.7 vs 12.4 +/- 8.6 hrs, p=0.99).",Pharmacokinetics of ibutilide in patients with heart failure due to left ventricular systolic dysfunction. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19025427/),[μg] / [l],5.8,81591,DB00308,Ibutilide
,19025427,area under the serum concentration-time curve from time zero extrapolated to infinity,"No significant differences were noted between the heart failure and normal left ventricular function groups in the following parameters: maximum serum ibutilide concentration (median [interquartile range] 3.8 [2.3-5.7] vs 5.8 [3.1-14.4] microg/L, p=0.31), area under the serum concentration-time curve from time zero extrapolated to infinity (mean +/- SD 11.0 +/- 9.4 vs 13.2 +/- 10.6 microg*hr/L, p=0.88), steady-state volume of distribution (1380 +/- 334 vs 1390 +/- 964 L, p=0.99), systemic clearance (129 +/- 60 vs 125 +/- 81 L/hr, p=0.92), or half-life (12.5 +/- 10.7 vs 12.4 +/- 8.6 hrs, p=0.99).",Pharmacokinetics of ibutilide in patients with heart failure due to left ventricular systolic dysfunction. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19025427/),[h·μg] / [l],11.0,81592,DB00308,Ibutilide
,19025427,area under the serum concentration-time curve from time zero extrapolated to infinity,"No significant differences were noted between the heart failure and normal left ventricular function groups in the following parameters: maximum serum ibutilide concentration (median [interquartile range] 3.8 [2.3-5.7] vs 5.8 [3.1-14.4] microg/L, p=0.31), area under the serum concentration-time curve from time zero extrapolated to infinity (mean +/- SD 11.0 +/- 9.4 vs 13.2 +/- 10.6 microg*hr/L, p=0.88), steady-state volume of distribution (1380 +/- 334 vs 1390 +/- 964 L, p=0.99), systemic clearance (129 +/- 60 vs 125 +/- 81 L/hr, p=0.92), or half-life (12.5 +/- 10.7 vs 12.4 +/- 8.6 hrs, p=0.99).",Pharmacokinetics of ibutilide in patients with heart failure due to left ventricular systolic dysfunction. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19025427/),[h·μg] / [l],13.2,81593,DB00308,Ibutilide
,19025427,steady-state volume of distribution,"No significant differences were noted between the heart failure and normal left ventricular function groups in the following parameters: maximum serum ibutilide concentration (median [interquartile range] 3.8 [2.3-5.7] vs 5.8 [3.1-14.4] microg/L, p=0.31), area under the serum concentration-time curve from time zero extrapolated to infinity (mean +/- SD 11.0 +/- 9.4 vs 13.2 +/- 10.6 microg*hr/L, p=0.88), steady-state volume of distribution (1380 +/- 334 vs 1390 +/- 964 L, p=0.99), systemic clearance (129 +/- 60 vs 125 +/- 81 L/hr, p=0.92), or half-life (12.5 +/- 10.7 vs 12.4 +/- 8.6 hrs, p=0.99).",Pharmacokinetics of ibutilide in patients with heart failure due to left ventricular systolic dysfunction. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19025427/),l,1380,81594,DB00308,Ibutilide
