Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,19927376,nK(A),"The affinity of HSA and AGP to (+)-THP, expressed as nK(A), were 9.0 x 10(3) M(-1) and 2.34 x 10(5) M(-1), respectively, which were notablely higher than to (-)-THP, with the nK(A) of 3.4 x 10(3) M(-1) and 1.44 x 10(5) M(-1), respectively.","Stereoselective protein binding of tetrahydropalmatine enantiomers in human plasma, HSA, and AGP, but not in rat plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19927376/),1/[M],9.0 x 10(3),308,DB00458,Imipramine
,19927376,nK(A),"The affinity of HSA and AGP to (+)-THP, expressed as nK(A), were 9.0 x 10(3) M(-1) and 2.34 x 10(5) M(-1), respectively, which were notablely higher than to (-)-THP, with the nK(A) of 3.4 x 10(3) M(-1) and 1.44 x 10(5) M(-1), respectively.","Stereoselective protein binding of tetrahydropalmatine enantiomers in human plasma, HSA, and AGP, but not in rat plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19927376/),1/[M],2.34 x 10(5),309,DB00458,Imipramine
,19927376,nK(A),"The affinity of HSA and AGP to (+)-THP, expressed as nK(A), were 9.0 x 10(3) M(-1) and 2.34 x 10(5) M(-1), respectively, which were notablely higher than to (-)-THP, with the nK(A) of 3.4 x 10(3) M(-1) and 1.44 x 10(5) M(-1), respectively.","Stereoselective protein binding of tetrahydropalmatine enantiomers in human plasma, HSA, and AGP, but not in rat plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19927376/),1/[M],3.4 x 10(3),310,DB00458,Imipramine
,19927376,nK(A),"The affinity of HSA and AGP to (+)-THP, expressed as nK(A), were 9.0 x 10(3) M(-1) and 2.34 x 10(5) M(-1), respectively, which were notablely higher than to (-)-THP, with the nK(A) of 3.4 x 10(3) M(-1) and 1.44 x 10(5) M(-1), respectively.","Stereoselective protein binding of tetrahydropalmatine enantiomers in human plasma, HSA, and AGP, but not in rat plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19927376/),1/[M],1.44 x 10(5),311,DB00458,Imipramine
,7550984,detection limit,The assay allowed the simultaneous determination of all analytes in 1 ml of urine and the detection limit was 2 ng/ml with a signal-to-noise ratio of 3.,Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),[ng] / [ml],2,6147,DB00458,Imipramine
,7550984,signal-to-noise ratio,The assay allowed the simultaneous determination of all analytes in 1 ml of urine and the detection limit was 2 ng/ml with a signal-to-noise ratio of 3.,Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),,3,6148,DB00458,Imipramine
>,7550984,Recoveries,Recoveries of the analytes and the internal standard (prazepam) were > 82%.,Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,82,6149,DB00458,Imipramine
,7550984,cumulative urinary excretions,"The mean (+/- S.D.) cumulative urinary excretions of DMDZP, TZP and OZP over 96 h after a single oral administration of DZP were 3.9 +/- 0.4, 6.6 +/- 1.4 and 2.8 +/- 0.6% of the dose, respectively.",Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,3.9,6150,DB00458,Imipramine
,7550984,cumulative urinary excretions,"The mean (+/- S.D.) cumulative urinary excretions of DMDZP, TZP and OZP over 96 h after a single oral administration of DZP were 3.9 +/- 0.4, 6.6 +/- 1.4 and 2.8 +/- 0.6% of the dose, respectively.",Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,6.6,6151,DB00458,Imipramine
,7550984,cumulative urinary excretions,"The mean (+/- S.D.) cumulative urinary excretions of DMDZP, TZP and OZP over 96 h after a single oral administration of DZP were 3.9 +/- 0.4, 6.6 +/- 1.4 and 2.8 +/- 0.6% of the dose, respectively.",Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,2.8,6152,DB00458,Imipramine
