Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,25092225,fasting C-peptide,"We analyzed data collected in 11 subjects with T2D [6 male, 9 white European and two of Indian ethnicity; age 59.7(12.1) years, BMI 30.1(3.9) kg/m(2), fasting C-peptide 1002.2(365.8) pmol/l, fasting plasma glucose 9.6(2.2) mmol/l, diabetes duration 8.0(6.2) years and HbA1c 8.3(0.8)%; mean(SD)] who underwent a 24-h study investigating closed-loop insulin delivery at the Wellcome Trust Clinical Research Facility, Cambridge, UK.",Pharmacokinetics of insulin lispro in type 2 diabetes during closed-loop insulin delivery. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25092225/),pm,1002.2,2270,DB00046,Insulin Lispro
,25092225,time-to-peak of lispro absorption (t(max)),The time-to-peak of lispro absorption (t(max)) was 109.6 (75.5-120.5) min [median (interquartile range)] and the metabolic clearance rate (MCR(I)) 1.26 (0.87-1.56)×10(-2) l/kg/min.,Pharmacokinetics of insulin lispro in type 2 diabetes during closed-loop insulin delivery. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25092225/),min,109.6,2271,DB00046,Insulin Lispro
,19464026,peak plasma concentration (C(max)),"In 9 evaluable subjects, plasma pramlintide concentrations increased dose-proportionately; mean peak plasma concentration (C(max)) (15-microg dose, 93 +/- 9 pg/mL; 30-microg dose, 202 +/- 21 pg/mL) occurred approximately 0.3 h (median time to peak concentration) after administration.","Pramlintide lowered glucose excursions and was well-tolerated in adolescents with type 1 diabetes: results from a randomized, single-blind, placebo-controlled, crossover study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19464026/),[pg] / [ml],93,2983,DB00046,Insulin Lispro
,19464026,peak plasma concentration (C(max)),"In 9 evaluable subjects, plasma pramlintide concentrations increased dose-proportionately; mean peak plasma concentration (C(max)) (15-microg dose, 93 +/- 9 pg/mL; 30-microg dose, 202 +/- 21 pg/mL) occurred approximately 0.3 h (median time to peak concentration) after administration.","Pramlintide lowered glucose excursions and was well-tolerated in adolescents with type 1 diabetes: results from a randomized, single-blind, placebo-controlled, crossover study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19464026/),[pg] / [ml],202,2984,DB00046,Insulin Lispro
,19464026,time to peak concentration,"In 9 evaluable subjects, plasma pramlintide concentrations increased dose-proportionately; mean peak plasma concentration (C(max)) (15-microg dose, 93 +/- 9 pg/mL; 30-microg dose, 202 +/- 21 pg/mL) occurred approximately 0.3 h (median time to peak concentration) after administration.","Pramlintide lowered glucose excursions and was well-tolerated in adolescents with type 1 diabetes: results from a randomized, single-blind, placebo-controlled, crossover study. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19464026/),h,0.3,2985,DB00046,Insulin Lispro
,19464026,area under the concentration curve (AUC(0-3h)),"Pramlintide reduced incremental area under the concentration curve (AUC(0-3h)) for glucagon and glucose versus placebo (glucagon: 15-microg dose, 4 +/- 7 pg(*)h/mL; 30-microg dose, 5 +/- 7 pg(*)h/mL; placebo, 35 +/- 9 pg(*)h/mL; glucose: 15-microg dose, 129 +/- 43 mg(*)h/dL; 30-microg dose, 132 +/- 37 mg(*)h/dL; placebo, 217 +/- 56 mg(*)h/dL).","Pramlintide lowered glucose excursions and was well-tolerated in adolescents with type 1 diabetes: results from a randomized, single-blind, placebo-controlled, crossover study. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19464026/),p,4,2986,DB00046,Insulin Lispro
,19464026,area under the concentration curve (AUC(0-3h)),"Pramlintide reduced incremental area under the concentration curve (AUC(0-3h)) for glucagon and glucose versus placebo (glucagon: 15-microg dose, 4 +/- 7 pg(*)h/mL; 30-microg dose, 5 +/- 7 pg(*)h/mL; placebo, 35 +/- 9 pg(*)h/mL; glucose: 15-microg dose, 129 +/- 43 mg(*)h/dL; 30-microg dose, 132 +/- 37 mg(*)h/dL; placebo, 217 +/- 56 mg(*)h/dL).","Pramlintide lowered glucose excursions and was well-tolerated in adolescents with type 1 diabetes: results from a randomized, single-blind, placebo-controlled, crossover study. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19464026/),p,5,2987,DB00046,Insulin Lispro
,19464026,area under the concentration curve (AUC(0-3h)),"Pramlintide reduced incremental area under the concentration curve (AUC(0-3h)) for glucagon and glucose versus placebo (glucagon: 15-microg dose, 4 +/- 7 pg(*)h/mL; 30-microg dose, 5 +/- 7 pg(*)h/mL; placebo, 35 +/- 9 pg(*)h/mL; glucose: 15-microg dose, 129 +/- 43 mg(*)h/dL; 30-microg dose, 132 +/- 37 mg(*)h/dL; placebo, 217 +/- 56 mg(*)h/dL).","Pramlintide lowered glucose excursions and was well-tolerated in adolescents with type 1 diabetes: results from a randomized, single-blind, placebo-controlled, crossover study. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19464026/),pg,35,2988,DB00046,Insulin Lispro
,19464026,area under the concentration curve (AUC(0-3h)),"Pramlintide reduced incremental area under the concentration curve (AUC(0-3h)) for glucagon and glucose versus placebo (glucagon: 15-microg dose, 4 +/- 7 pg(*)h/mL; 30-microg dose, 5 +/- 7 pg(*)h/mL; placebo, 35 +/- 9 pg(*)h/mL; glucose: 15-microg dose, 129 +/- 43 mg(*)h/dL; 30-microg dose, 132 +/- 37 mg(*)h/dL; placebo, 217 +/- 56 mg(*)h/dL).","Pramlintide lowered glucose excursions and was well-tolerated in adolescents with type 1 diabetes: results from a randomized, single-blind, placebo-controlled, crossover study. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19464026/),mg,129,2989,DB00046,Insulin Lispro
,19464026,area under the concentration curve (AUC(0-3h)),"Pramlintide reduced incremental area under the concentration curve (AUC(0-3h)) for glucagon and glucose versus placebo (glucagon: 15-microg dose, 4 +/- 7 pg(*)h/mL; 30-microg dose, 5 +/- 7 pg(*)h/mL; placebo, 35 +/- 9 pg(*)h/mL; glucose: 15-microg dose, 129 +/- 43 mg(*)h/dL; 30-microg dose, 132 +/- 37 mg(*)h/dL; placebo, 217 +/- 56 mg(*)h/dL).","Pramlintide lowered glucose excursions and was well-tolerated in adolescents with type 1 diabetes: results from a randomized, single-blind, placebo-controlled, crossover study. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19464026/),,132,2990,DB00046,Insulin Lispro
