Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8509658,clearance,"Following i.v. administration, mean clearance, steady-state volume of distribution, and terminal half-life values for Betaseron were 0.36 +/- 0.08 liters/hr.kg, 0.65 +/- 0.09 liters/kg, and 1.9 +/- 0.43 h, respectively.",Pharmacokinetics and antiviral activity of recombinant human interferon-beta ser17 in African green monkeys. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8509658/),[l] / [h·kg],0.36,92896,DB00068,Interferon beta-1b
,8509658,steady-state volume of distribution,"Following i.v. administration, mean clearance, steady-state volume of distribution, and terminal half-life values for Betaseron were 0.36 +/- 0.08 liters/hr.kg, 0.65 +/- 0.09 liters/kg, and 1.9 +/- 0.43 h, respectively.",Pharmacokinetics and antiviral activity of recombinant human interferon-beta ser17 in African green monkeys. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8509658/),[l] / [kg],0.65,92897,DB00068,Interferon beta-1b
,8509658,terminal half-life,"Following i.v. administration, mean clearance, steady-state volume of distribution, and terminal half-life values for Betaseron were 0.36 +/- 0.08 liters/hr.kg, 0.65 +/- 0.09 liters/kg, and 1.9 +/- 0.43 h, respectively.",Pharmacokinetics and antiviral activity of recombinant human interferon-beta ser17 in African green monkeys. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8509658/),h,1.9,92898,DB00068,Interferon beta-1b
,8509658,bioavailability,"Although bioavailability following i.m. and s.c. administration was only 30-50%, antiviral activity, as measured by reduction in viremia and appearance of skin rash, was comparable for i.v., i.m., and s.c. administration of 1 x 10(6) IU/kg of Betaseron twice daily.",Pharmacokinetics and antiviral activity of recombinant human interferon-beta ser17 in African green monkeys. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8509658/),%,30-50,92899,DB00068,Interferon beta-1b
,3791249,distribution phase alpha-half-life,"IFN pharmacokinetics followed a biphasic decay curve, with a distribution phase alpha-half-life of 9 minutes and an elimination phase beta-half-life of 103 minutes.",Phase I study of recombinant beta ser 17 interferon in the treatment of cancer. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3791249/),min,9,209706,DB00068,Interferon beta-1b
,3791249,elimination phase beta-half-life,"IFN pharmacokinetics followed a biphasic decay curve, with a distribution phase alpha-half-life of 9 minutes and an elimination phase beta-half-life of 103 minutes.",Phase I study of recombinant beta ser 17 interferon in the treatment of cancer. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3791249/),min,103,209707,DB00068,Interferon beta-1b
,9748019,detectable,"At 3 months, all 10 patients had detectable levels ranging from 68 to 86 IU/mL.",Serum interferon beta-1a (Avonex) levels following intramuscular injection in relapsing-remitting MS patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9748019/),i,68 to 86,217624,DB00068,Interferon beta-1b
,8483840,serum clearance,"Following iv administration, serum interferon concentrations generally declined biexponentially, with a mean serum clearance of 0.76 +/- 0.28 L/hr-kg, a mean steady-state volume of distribution of 2.88 +/- 1.81 L/kg, and a mean terminal half-life of 4.29 +/- 2.29 hr as determined by noncompartmental analysis.",Pharmacokinetics of recombinant human interferon-beta ser in healthy volunteers and its effect on serum neopterin. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8483840/),[l] / [hr-kg],0.76,247700,DB00068,Interferon beta-1b
,8483840,steady-state volume of distribution,"Following iv administration, serum interferon concentrations generally declined biexponentially, with a mean serum clearance of 0.76 +/- 0.28 L/hr-kg, a mean steady-state volume of distribution of 2.88 +/- 1.81 L/kg, and a mean terminal half-life of 4.29 +/- 2.29 hr as determined by noncompartmental analysis.",Pharmacokinetics of recombinant human interferon-beta ser in healthy volunteers and its effect on serum neopterin. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8483840/),[l] / [kg],2.88,247701,DB00068,Interferon beta-1b
,8483840,terminal half-life,"Following iv administration, serum interferon concentrations generally declined biexponentially, with a mean serum clearance of 0.76 +/- 0.28 L/hr-kg, a mean steady-state volume of distribution of 2.88 +/- 1.81 L/kg, and a mean terminal half-life of 4.29 +/- 2.29 hr as determined by noncompartmental analysis.",Pharmacokinetics of recombinant human interferon-beta ser in healthy volunteers and its effect on serum neopterin. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8483840/),h,4.29,247702,DB00068,Interferon beta-1b
