Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9231345,elimination half-lives,IgG elimination half-lives ranged from 5.33 to 8.10 days.,"Pharmacokinetics of heterologous and homologous immunoglobulin G, F(ab')2 and Fab after intravenous administration in the rat. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9231345/),d,5.33 to 8.10,106,DB00028,Intravenous Immunoglobulin
,1665488,half-lives,"When those conjugates were administered intravenously to mice, the half-lives of SOD activity in the circulation were 29 and 42 h for SOD-(Fc)1 and SOD-(Fc)n, respectively, while free SOD had a half-life of 5 min.",Conjugates of superoxide dismutase with the Fc fragment of immunoglobulin G. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1665488/),h,29,2625,DB00028,Intravenous Immunoglobulin
,1665488,half-lives,"When those conjugates were administered intravenously to mice, the half-lives of SOD activity in the circulation were 29 and 42 h for SOD-(Fc)1 and SOD-(Fc)n, respectively, while free SOD had a half-life of 5 min.",Conjugates of superoxide dismutase with the Fc fragment of immunoglobulin G. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1665488/),h,42,2626,DB00028,Intravenous Immunoglobulin
,1665488,half-life,"When those conjugates were administered intravenously to mice, the half-lives of SOD activity in the circulation were 29 and 42 h for SOD-(Fc)1 and SOD-(Fc)n, respectively, while free SOD had a half-life of 5 min.",Conjugates of superoxide dismutase with the Fc fragment of immunoglobulin G. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1665488/),min,5,2627,DB00028,Intravenous Immunoglobulin
,24892422,duration of response,"Median duration of response was 10.0 days, with an overall reduction in bleeding episodes.",Safety and efficacy of Gammaplex® in idiopathic thrombocytopenic purpura (ClinicalTrials.gov--NCT00504075). ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24892422/),d,10.0,3538,DB00028,Intravenous Immunoglobulin
,24892422,peak concentration (Cmax),"Gammaplex provided supranormal concentrations of total IgG; mean peak concentration (Cmax) of 45.3 g/L (4.53 g/dL), with a mean half-life of 28.5 days.",Safety and efficacy of Gammaplex® in idiopathic thrombocytopenic purpura (ClinicalTrials.gov--NCT00504075). ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24892422/),[g] / [l],45.3,3539,DB00028,Intravenous Immunoglobulin
,24892422,half-life,"Gammaplex provided supranormal concentrations of total IgG; mean peak concentration (Cmax) of 45.3 g/L (4.53 g/dL), with a mean half-life of 28.5 days.",Safety and efficacy of Gammaplex® in idiopathic thrombocytopenic purpura (ClinicalTrials.gov--NCT00504075). ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24892422/),d,28.5,3540,DB00028,Intravenous Immunoglobulin
,25789616,half-life (t1/2),Plasma GSK933776 half-life (t1/2) was 10-15 days after repeat dosing.,"First administration of the Fc-attenuated anti-β amyloid antibody GSK933776 to patients with mild Alzheimer's disease: a randomized, placebo-controlled study. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25789616/),d,10-15,5814,DB00028,Intravenous Immunoglobulin
≤,25789616,peak:trough ratio,For total Aβ42 the peak:trough ratio was ≤2 at doses ≥3 mg/kg; for total Aβ the ratio was ≤2 at 6 mg/kg.,"First administration of the Fc-attenuated anti-β amyloid antibody GSK933776 to patients with mild Alzheimer's disease: a randomized, placebo-controlled study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25789616/),,2,5815,DB00028,Intravenous Immunoglobulin
≤,25789616,ratio,For total Aβ42 the peak:trough ratio was ≤2 at doses ≥3 mg/kg; for total Aβ the ratio was ≤2 at 6 mg/kg.,"First administration of the Fc-attenuated anti-β amyloid antibody GSK933776 to patients with mild Alzheimer's disease: a randomized, placebo-controlled study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25789616/),,2,5816,DB00028,Intravenous Immunoglobulin
,25248882,half-life,"The half-life was 4.9 days, and the area under the curve (AUC) and maximum concentration (Cmax) increased proportionally with dose.","A Phase 1 study of the safety, pharmacokinetics and anti-leukemic activity of the anti-CD123 monoclonal antibody CSL360 in relapsed, refractory or high-risk acute myeloid leukemia. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25248882/),d,4.9,7717,DB00028,Intravenous Immunoglobulin
,25200415,terminal half-life,QGE031 had a biexponential pharmacokinetic profile after intravenous administration and a terminal half-life of approximately 20 days.,"Pharmacokinetics, pharmacodynamics and safety of QGE031 (ligelizumab), a novel high-affinity anti-IgE antibody, in atopic subjects. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25200415/),d,20,10226,DB00028,Intravenous Immunoglobulin
,31847720,Ctrough levels,Ctrough levels achieved ranged 7.96-10.05 g/L.,Pharmacokinetic properties of Privigen® in Japanese patients with primary immunodeficiency. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31847720/),[g] / [l],7.96-10.05,11376,DB00028,Intravenous Immunoglobulin
,31847720,Cmax,"Mean (SD [not applicable for 3-weekly data]) PK parameters: Cmax, 16.60 and 14.20 (5.53) g/L; Cmin, 10.60 and 8.53 (3.89) g/L; AUC0-last, 5971 and 6591 (2633) g*h/L; dAUC, 0.41 and 0.46 (0.19) g*h/L/mg; CL, 2.53 and 2.53 (1.00) mL/h and median Tmax was 1.19 and 1.14 h, for 3-/4-weekly dosing regimens, respectively.",Pharmacokinetic properties of Privigen® in Japanese patients with primary immunodeficiency. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31847720/),[g] / [l],16.60,11377,DB00028,Intravenous Immunoglobulin
