Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,10823093,peripheral volume of distribution,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw],612,381,DB00753,Isoflurane
,10823093,peripheral volume of distribution,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw],4112,382,DB00753,Isoflurane
,10823093,peripheral volume of distribution,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw],1634,383,DB00753,Isoflurane
,10823093,transport clearance from,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",CL12-Q30,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw·min],7.0,384,DB00753,Isoflurane
,10823093,transport clearance from,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",CL12-Q30,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw·min],30.7,385,DB00753,Isoflurane
,10823093,transport clearance from,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",CL12-Q30,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw·min],13.0,386,DB00753,Isoflurane
,3778789,volume of distribution (area),"There were no significant differences in volume of distribution (area) (139 v. 152 ml kg-1), clearance (5.1 v. 5.3 ml kg-1 min-1), T1/2 alpha (2.1 v. 2.0 min), or T1/2 beta (19.1 v. 20.3 min) between children with normal hepatic and renal function and those with moderately impaired hepatic function presenting for hepatic transplantation.",Pharmacokinetics of atracurium in anaesthetized infants and children. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3778789/),[ml] / [kg],139,1595,DB00753,Isoflurane
,3778789,volume of distribution (area),"There were no significant differences in volume of distribution (area) (139 v. 152 ml kg-1), clearance (5.1 v. 5.3 ml kg-1 min-1), T1/2 alpha (2.1 v. 2.0 min), or T1/2 beta (19.1 v. 20.3 min) between children with normal hepatic and renal function and those with moderately impaired hepatic function presenting for hepatic transplantation.",Pharmacokinetics of atracurium in anaesthetized infants and children. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3778789/),[ml] / [kg],152,1596,DB00753,Isoflurane
,3778789,clearance,"There were no significant differences in volume of distribution (area) (139 v. 152 ml kg-1), clearance (5.1 v. 5.3 ml kg-1 min-1), T1/2 alpha (2.1 v. 2.0 min), or T1/2 beta (19.1 v. 20.3 min) between children with normal hepatic and renal function and those with moderately impaired hepatic function presenting for hepatic transplantation.",Pharmacokinetics of atracurium in anaesthetized infants and children. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3778789/),[ml] / [kg·min],5.1,1597,DB00753,Isoflurane
,3778789,clearance,"There were no significant differences in volume of distribution (area) (139 v. 152 ml kg-1), clearance (5.1 v. 5.3 ml kg-1 min-1), T1/2 alpha (2.1 v. 2.0 min), or T1/2 beta (19.1 v. 20.3 min) between children with normal hepatic and renal function and those with moderately impaired hepatic function presenting for hepatic transplantation.",Pharmacokinetics of atracurium in anaesthetized infants and children. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3778789/),[ml] / [kg·min],5.3,1598,DB00753,Isoflurane
