Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,999404,half-life,In the plasma of rabbit and cat as well as man the decline of 3H-activity was biphasic after i.v. administration with a half-life of 15 hr in the rabbit 6 hr in cat and man for the slower phase.,Metabolism and pharmacokinetics of orciprenaline in various animal species and man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/999404/),h,15,11226,DB01064,Isoprenaline
,999404,volume of distribution,The pharmacokinetic analysis of the post-infusion data in man resulted in an open two-compartment model with a high volume of distribution (ca. 700 liters).,Metabolism and pharmacokinetics of orciprenaline in various animal species and man. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/999404/),l,700,11227,DB01064,Isoprenaline
,999404,total clearance,The total clearance (1400 ml/min) was rather high.,Metabolism and pharmacokinetics of orciprenaline in various animal species and man. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/999404/),[ml] / [min],1400,11228,DB01064,Isoprenaline
,999404,renal clearance,The renal clearance contributed to 10 per cent only.,Metabolism and pharmacokinetics of orciprenaline in various animal species and man. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/999404/),%,10,11229,DB01064,Isoprenaline
,999404,amount of drug absorbed,"The amount of drug absorbed after oral administration amounted to 44%, the reduced biovailability of 10 per cent indicated a fist-pass effect.",Metabolism and pharmacokinetics of orciprenaline in various animal species and man. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/999404/),%,44,11230,DB01064,Isoprenaline
,999404,biovailability,"The amount of drug absorbed after oral administration amounted to 44%, the reduced biovailability of 10 per cent indicated a fist-pass effect.",Metabolism and pharmacokinetics of orciprenaline in various animal species and man. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/999404/),%,10,11231,DB01064,Isoprenaline
,18218783,heart rate,Administration of fingolimod decreased heart rate from 73 +/- 11 bpm predose to a nadir of 57 +/- 8 bpm.,A mechanistic study to assess whether isoproterenol can reverse the negative chronotropic effect of fingolimod. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18218783/),bpm,73,11518,DB01064,Isoprenaline
,18218783,heart rate,Administration of fingolimod decreased heart rate from 73 +/- 11 bpm predose to a nadir of 57 +/- 8 bpm.,A mechanistic study to assess whether isoproterenol can reverse the negative chronotropic effect of fingolimod. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18218783/),bpm,57,11519,DB01064,Isoprenaline
,2884679,Plasma clearances,Plasma clearances were rapid (67-78 ml/min) and the compounds were widely distributed.,Pharmacokinetics and excretion of unique beta-adrenergic agonists. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2884679/),[ml] / [min],67-78,20211,DB01064,Isoprenaline
,7624261,oral clearance,"Mean oral clearance values for S- and R-metoprolol were 1320 and 2346 ml/minute, respectively.","Lymphocyte beta 2-receptor activity, metoprolol kinetics, and response to metoprolol in hypertensive black men. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7624261/),[ml] / [min],1320,20838,DB01064,Isoprenaline
,7624261,oral clearance,"Mean oral clearance values for S- and R-metoprolol were 1320 and 2346 ml/minute, respectively.","Lymphocyte beta 2-receptor activity, metoprolol kinetics, and response to metoprolol in hypertensive black men. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7624261/),[ml] / [min],2346,20839,DB01064,Isoprenaline
,6116195,half-life,"After oral administration, the pharmacological half-life (time required for 50% recovery of beta-blocking action) was 15.8 +/- 4.5 h for propranolol (3 mg/kg), 21.8 +/- 6.4 h for D-32 (0.5 mg/kg), 30.5 +/- 3.1 h for atenolol (6 mg/kg) and 30-35 h for pindolol (0.2 mg/kg).","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,15.8,21283,DB01064,Isoprenaline
,6116195,half-life,"After oral administration, the pharmacological half-life (time required for 50% recovery of beta-blocking action) was 15.8 +/- 4.5 h for propranolol (3 mg/kg), 21.8 +/- 6.4 h for D-32 (0.5 mg/kg), 30.5 +/- 3.1 h for atenolol (6 mg/kg) and 30-35 h for pindolol (0.2 mg/kg).","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,21.8,21284,DB01064,Isoprenaline
,6116195,half-life,"After oral administration, the pharmacological half-life (time required for 50% recovery of beta-blocking action) was 15.8 +/- 4.5 h for propranolol (3 mg/kg), 21.8 +/- 6.4 h for D-32 (0.5 mg/kg), 30.5 +/- 3.1 h for atenolol (6 mg/kg) and 30-35 h for pindolol (0.2 mg/kg).","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,30.5,21285,DB01064,Isoprenaline
,6116195,half-life,"After oral administration, the pharmacological half-life (time required for 50% recovery of beta-blocking action) was 15.8 +/- 4.5 h for propranolol (3 mg/kg), 21.8 +/- 6.4 h for D-32 (0.5 mg/kg), 30.5 +/- 3.1 h for atenolol (6 mg/kg) and 30-35 h for pindolol (0.2 mg/kg).","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,30-35,21286,DB01064,Isoprenaline
,6116195,time required for 50% recovery of beta,"After oral administration, the pharmacological half-life (time required for 50% recovery of beta-blocking action) was 15.8 +/- 4.5 h for propranolol (3 mg/kg), 21.8 +/- 6.4 h for D-32 (0.5 mg/kg), 30.5 +/- 3.1 h for atenolol (6 mg/kg) and 30-35 h for pindolol (0.2 mg/kg).","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,15.8,21287,DB01064,Isoprenaline
,6116195,time required for 50% recovery of beta,"After oral administration, the pharmacological half-life (time required for 50% recovery of beta-blocking action) was 15.8 +/- 4.5 h for propranolol (3 mg/kg), 21.8 +/- 6.4 h for D-32 (0.5 mg/kg), 30.5 +/- 3.1 h for atenolol (6 mg/kg) and 30-35 h for pindolol (0.2 mg/kg).","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,21.8,21288,DB01064,Isoprenaline
,6116195,time required for 50% recovery of beta,"After oral administration, the pharmacological half-life (time required for 50% recovery of beta-blocking action) was 15.8 +/- 4.5 h for propranolol (3 mg/kg), 21.8 +/- 6.4 h for D-32 (0.5 mg/kg), 30.5 +/- 3.1 h for atenolol (6 mg/kg) and 30-35 h for pindolol (0.2 mg/kg).","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,30.5,21289,DB01064,Isoprenaline
,6116195,time required for 50% recovery of beta,"After oral administration, the pharmacological half-life (time required for 50% recovery of beta-blocking action) was 15.8 +/- 4.5 h for propranolol (3 mg/kg), 21.8 +/- 6.4 h for D-32 (0.5 mg/kg), 30.5 +/- 3.1 h for atenolol (6 mg/kg) and 30-35 h for pindolol (0.2 mg/kg).","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,30-35,21290,DB01064,Isoprenaline
,6116195,half-life,"The pharmacological half-life after i.v. administration was 4.4 +/- 0.7 h for propranolol (300 microgram/kg) and 5.9 +/- 0.4 h for D-32 (150 microgram/kg), whereas the serum half-like (time required for 50% decrease in serum concentration) of propranolol was 1.4 h and that of D-32 was 1.3 h.","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,4.4,21291,DB01064,Isoprenaline
,6116195,half-life,"The pharmacological half-life after i.v. administration was 4.4 +/- 0.7 h for propranolol (300 microgram/kg) and 5.9 +/- 0.4 h for D-32 (150 microgram/kg), whereas the serum half-like (time required for 50% decrease in serum concentration) of propranolol was 1.4 h and that of D-32 was 1.3 h.","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,5.9,21292,DB01064,Isoprenaline
,6116195,serum half-like,"The pharmacological half-life after i.v. administration was 4.4 +/- 0.7 h for propranolol (300 microgram/kg) and 5.9 +/- 0.4 h for D-32 (150 microgram/kg), whereas the serum half-like (time required for 50% decrease in serum concentration) of propranolol was 1.4 h and that of D-32 was 1.3 h.","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,1.4,21293,DB01064,Isoprenaline
,6116195,serum half-like,"The pharmacological half-life after i.v. administration was 4.4 +/- 0.7 h for propranolol (300 microgram/kg) and 5.9 +/- 0.4 h for D-32 (150 microgram/kg), whereas the serum half-like (time required for 50% decrease in serum concentration) of propranolol was 1.4 h and that of D-32 was 1.3 h.","Duration and selectivity in beta-adrenoceptor blocking action of a beta-adrenoceptor blocking drug, D-32 in conscious dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6116195/),h,1.3,21294,DB01064,Isoprenaline
,1378967,TmPi/GFR,In the saline-infused control group the TmPi/GFR was 2.87 +/- 0.19 mumol/ml (n = 8).,Isoproterenol infusion increases the maximal tubular capacity of phosphate reabsorption. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1378967/),[μM] / [ml],2.87,21971,DB01064,Isoprenaline
,1378967,TmPi/GFR,"When isoproterenol was infused intravenously at a rate of 0.005 mg/kg/min, urinary cAMP excretion was significantly increased and the TmPi/GFR was 3.53 +/- 0.17 mumol/ml (n = 10, p less than 0.05).",Isoproterenol infusion increases the maximal tubular capacity of phosphate reabsorption. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1378967/),[μM] / [ml],3.53,21972,DB01064,Isoprenaline
,1378967,TmPi/GFR,In the PTH-infused group (33 U/kg bolus followed by a sustaining infusion of 1 U/kg/min) TmPi/GFR was 1.69 +/- 0.15 mumol/ml (n = 9).,Isoproterenol infusion increases the maximal tubular capacity of phosphate reabsorption. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1378967/),[μM] / [ml],1.69,21973,DB01064,Isoprenaline
,1378967,TmPi/GFR,Coadministration of isoproterenol and PTH significantly increased the TmPi/GFR to 3.25 +/- 0.64 mumol/ml (n = 9).,Isoproterenol infusion increases the maximal tubular capacity of phosphate reabsorption. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1378967/),[μM] / [ml],3.25,21974,DB01064,Isoprenaline
more,26592698,gastric residence,In vitro wash off and buoyancy test in gastric media revealed that the beads containing CaCO3 has gastric residence of more than 12 h.,Tapioca starch blended alginate mucoadhesive-floating beads for intragastric delivery of Metoprolol Tartrate. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26592698/),,12,27155,DB01064,Isoprenaline
,26592698,relative oral bioavailability,"Pharmacokinetic study performed in rabbit model showed that the relative oral bioavailability of MT after administration of oral solution, sustain release and optimized formulation was 51%, 67% and 87%, respectively.",Tapioca starch blended alginate mucoadhesive-floating beads for intragastric delivery of Metoprolol Tartrate. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26592698/),%,51,27156,DB01064,Isoprenaline
,26592698,relative oral bioavailability,"Pharmacokinetic study performed in rabbit model showed that the relative oral bioavailability of MT after administration of oral solution, sustain release and optimized formulation was 51%, 67% and 87%, respectively.",Tapioca starch blended alginate mucoadhesive-floating beads for intragastric delivery of Metoprolol Tartrate. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26592698/),%,67,27157,DB01064,Isoprenaline
,26592698,relative oral bioavailability,"Pharmacokinetic study performed in rabbit model showed that the relative oral bioavailability of MT after administration of oral solution, sustain release and optimized formulation was 51%, 67% and 87%, respectively.",Tapioca starch blended alginate mucoadhesive-floating beads for intragastric delivery of Metoprolol Tartrate. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26592698/),%,87,27158,DB01064,Isoprenaline
,427002,Plasma half time,Plasma half time was 2.9 +/- 0.3 (s.e. mean) h for both routes; peak drug levels occurred 1--2 h after ingestion and bioavailability was 53%.,Pindolol pharmacokinetics in relation to time course of inhibition of exercise tachycardia. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/427002/),h,2.9,30762,DB01064,Isoprenaline
,427002,bioavailability,Plasma half time was 2.9 +/- 0.3 (s.e. mean) h for both routes; peak drug levels occurred 1--2 h after ingestion and bioavailability was 53%.,Pindolol pharmacokinetics in relation to time course of inhibition of exercise tachycardia. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/427002/),%,53,30763,DB01064,Isoprenaline
,427002,Plasma protein binding,Plasma protein binding was 38% and was independent of plasma concentration; the drug was not concentrated in the red cell.,Pindolol pharmacokinetics in relation to time course of inhibition of exercise tachycardia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/427002/),%,38,30764,DB01064,Isoprenaline
,973955,half-life,The half-life of atenolol in blood was calculated to ablut 9 hours.,"Human pharmacokinetic and pharmacodynamic studies on the atenolo (ICI 66,082), a new cardioselective beta-adrenoceptor blocking drug. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/973955/),h,9,33107,DB01064,Isoprenaline
