Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,26803277,Cmin,"Results of ivacaftor pharmacokinetics suggested that exposure was similar to that reported in adults (median Cmin were 536 ng/mL for the 50 mg dose; 580 ng/mL for the 75 mg dose; median ivacaftor AUC values were 9840 ng × h/mL and 10 200 ng × h/mL, respectively).","Safety, pharmacokinetics, and pharmacodynamics of ivacaftor in patients aged 2-5 years with cystic fibrosis and a CFTR gating mutation (KIWI): an open-label, single-arm study. ",Cmin-Q36,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26803277/),[ng] / [ml],536,130606,DB08820,Ivacaftor
,26803277,Cmin,"Results of ivacaftor pharmacokinetics suggested that exposure was similar to that reported in adults (median Cmin were 536 ng/mL for the 50 mg dose; 580 ng/mL for the 75 mg dose; median ivacaftor AUC values were 9840 ng × h/mL and 10 200 ng × h/mL, respectively).","Safety, pharmacokinetics, and pharmacodynamics of ivacaftor in patients aged 2-5 years with cystic fibrosis and a CFTR gating mutation (KIWI): an open-label, single-arm study. ",Cmin-Q36,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26803277/),[ng] / [ml],580,130607,DB08820,Ivacaftor
,26803277,AUC,"Results of ivacaftor pharmacokinetics suggested that exposure was similar to that reported in adults (median Cmin were 536 ng/mL for the 50 mg dose; 580 ng/mL for the 75 mg dose; median ivacaftor AUC values were 9840 ng × h/mL and 10 200 ng × h/mL, respectively).","Safety, pharmacokinetics, and pharmacodynamics of ivacaftor in patients aged 2-5 years with cystic fibrosis and a CFTR gating mutation (KIWI): an open-label, single-arm study. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26803277/),[h·ng] / [ml],9840,130608,DB08820,Ivacaftor
,26803277,AUC,"Results of ivacaftor pharmacokinetics suggested that exposure was similar to that reported in adults (median Cmin were 536 ng/mL for the 50 mg dose; 580 ng/mL for the 75 mg dose; median ivacaftor AUC values were 9840 ng × h/mL and 10 200 ng × h/mL, respectively).","Safety, pharmacokinetics, and pharmacodynamics of ivacaftor in patients aged 2-5 years with cystic fibrosis and a CFTR gating mutation (KIWI): an open-label, single-arm study. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26803277/),[h·ng] / [ml],10 200,130609,DB08820,Ivacaftor
,31147302,sweat chloride concentrations,Mean sweat chloride concentrations decreased from 97.7 mmol/L (baseline) to 68.7 mmol/L (end of GLPG1837 treatment).,"GLPG1837, a CFTR potentiator, in p.Gly551Asp (G551D)-CF patients: An open-label, single-arm, phase 2a study (SAPHIRA1). ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31147302/),[mM] / [l],97.7,149656,DB08820,Ivacaftor
,31147302,sweat chloride concentrations,Mean sweat chloride concentrations decreased from 97.7 mmol/L (baseline) to 68.7 mmol/L (end of GLPG1837 treatment).,"GLPG1837, a CFTR potentiator, in p.Gly551Asp (G551D)-CF patients: An open-label, single-arm, phase 2a study (SAPHIRA1). ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31147302/),[mM] / [l],68.7,149657,DB08820,Ivacaftor
,31147302,sweat chloride concentrations,"In ivacaftor-pre-treated patients, mean sweat chloride concentrations rose from 42.5 mmol/L at screening to 98.5 mmol/L after ivacaftor washout.","GLPG1837, a CFTR potentiator, in p.Gly551Asp (G551D)-CF patients: An open-label, single-arm, phase 2a study (SAPHIRA1). ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31147302/),[mM] / [l],42.5,149658,DB08820,Ivacaftor
,31147302,sweat chloride concentrations,"In ivacaftor-pre-treated patients, mean sweat chloride concentrations rose from 42.5 mmol/L at screening to 98.5 mmol/L after ivacaftor washout.","GLPG1837, a CFTR potentiator, in p.Gly551Asp (G551D)-CF patients: An open-label, single-arm, phase 2a study (SAPHIRA1). ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31147302/),mm,98.5,149659,DB08820,Ivacaftor
,28611092,half-life,"The overall PK profile, including the 15.9-hour half-life for CTP-656, suggests that CTP-656 may be dosed once daily, thereby enhancing patient adherence.",Altering Metabolic Profiles of Drugs by Precision Deuteration 2: Discovery of a Deuterated Analog of Ivacaftor with Differentiated Pharmacokinetics for Clinical Development. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28611092/),h,15.9,150546,DB08820,Ivacaftor
,29717552,Peak ibuprofen plasma concentrations,Peak ibuprofen plasma concentrations decreased an average of 36.4 mcg/mL after initiation of lumacaftor/ivacaftor with a relative reduction of 41.7%.,Impact of a cystic fibrosis transmembrane conductance regulator (CFTR) modulator on high-dose ibuprofen therapy in pediatric cystic fibrosis patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29717552/),[mcg] / [ml],36.4,218316,DB08820,Ivacaftor
