Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,17347871,recovery,Mean recovery of ixabepilone-derived radioactivity was 77.3% of dose.,Human mass balance study of the novel anticancer agent ixabepilone using accelerator mass spectrometry. ,Radioactivity-Q8,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17347871/),%,77.3,35415,DB04845,Ixabepilone
,17347871,Fecal excretion,Fecal excretion was 52.2% and urinary excretion was 25.1%.,Human mass balance study of the novel anticancer agent ixabepilone using accelerator mass spectrometry. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17347871/),%,52.2,35416,DB04845,Ixabepilone
,17347871,urinary excretion,Fecal excretion was 52.2% and urinary excretion was 25.1%.,Human mass balance study of the novel anticancer agent ixabepilone using accelerator mass spectrometry. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17347871/),%,25.1,35417,DB04845,Ixabepilone
,16203787,C(max),"Pharmacokinetics following single i.v. administration of ixabepilone at its MTD (10 mg/kg) were biexponential with C(max) of 12.5 micromol/L, elimination half-life of 19.2 hours, and total area under the curve of 5.8 micromol/L-h.","In vivo evaluation of ixabepilone (BMS247550), a novel epothilone B derivative, against pediatric cancer models. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16203787/),[μM] / [l],12.5,48703,DB04845,Ixabepilone
,16203787,elimination half-life,"Pharmacokinetics following single i.v. administration of ixabepilone at its MTD (10 mg/kg) were biexponential with C(max) of 12.5 micromol/L, elimination half-life of 19.2 hours, and total area under the curve of 5.8 micromol/L-h.","In vivo evaluation of ixabepilone (BMS247550), a novel epothilone B derivative, against pediatric cancer models. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16203787/),h,19.2,48704,DB04845,Ixabepilone
,16203787,total area under the curve,"Pharmacokinetics following single i.v. administration of ixabepilone at its MTD (10 mg/kg) were biexponential with C(max) of 12.5 micromol/L, elimination half-life of 19.2 hours, and total area under the curve of 5.8 micromol/L-h.","In vivo evaluation of ixabepilone (BMS247550), a novel epothilone B derivative, against pediatric cancer models. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16203787/),[μM] / [l-h],5.8,48705,DB04845,Ixabepilone
,28956187,clearances,"Vorinostat and ixabepilone clearances were 194 L/h and 21.3 L/h/m2, respectively.",Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),[l] / [h],194,90214,DB04845,Ixabepilone
,28956187,clearances,"Vorinostat and ixabepilone clearances were 194 L/h and 21.3 L/h/m2, respectively.",Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),[l] / [h·m2],21.3,90215,DB04845,Ixabepilone
,28956187,ORR,The ORR and CBR were 22 and 22% (A); 30 and 35% (B).,Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),%,22,90216,DB04845,Ixabepilone
,28956187,ORR,The ORR and CBR were 22 and 22% (A); 30 and 35% (B).,Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),,30,90217,DB04845,Ixabepilone
,28956187,CBR,The ORR and CBR were 22 and 22% (A); 30 and 35% (B).,Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),%,22,90218,DB04845,Ixabepilone
,28956187,CBR,The ORR and CBR were 22 and 22% (A); 30 and 35% (B).,Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),,30,90219,DB04845,Ixabepilone
,28956187,CBR,The ORR and CBR were 22 and 22% (A); 30 and 35% (B).,Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),,35,90220,DB04845,Ixabepilone
,28956187,PFS,Median PFS was 3.9 (A) and 3.7 (B) months.,Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),month,3.9,90221,DB04845,Ixabepilone
,28956187,PFS,Median PFS was 3.9 (A) and 3.7 (B) months.,Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),month,3.7,90222,DB04845,Ixabepilone
,28956187,OS,OS was 14.8 (A) and 17.1 (B) months.,Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),month,14.8,90223,DB04845,Ixabepilone
,28956187,OS,OS was 14.8 (A) and 17.1 (B) months.,Phase IB trial of ixabepilone and vorinostat in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28956187/),month,17.1,90224,DB04845,Ixabepilone
,12721265,terminal half-life,"The mean terminal half-life of BMS-247550 was 16.8 +/- 6.0 hours, the volume of distribution at steady-state was 798 +/- 375 L, and the clearance was 712 +/- 247 mL/min.","Phase I trial and pharmacokinetic study of BMS-247550, an epothilone B analog, administered intravenously on a daily schedule for five days. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/12721265/),h,16.8,92005,DB04845,Ixabepilone
,12721265,volume of distribution at steady-state,"The mean terminal half-life of BMS-247550 was 16.8 +/- 6.0 hours, the volume of distribution at steady-state was 798 +/- 375 L, and the clearance was 712 +/- 247 mL/min.","Phase I trial and pharmacokinetic study of BMS-247550, an epothilone B analog, administered intravenously on a daily schedule for five days. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12721265/),l,798,92006,DB04845,Ixabepilone
,12721265,clearance,"The mean terminal half-life of BMS-247550 was 16.8 +/- 6.0 hours, the volume of distribution at steady-state was 798 +/- 375 L, and the clearance was 712 +/- 247 mL/min.","Phase I trial and pharmacokinetic study of BMS-247550, an epothilone B analog, administered intravenously on a daily schedule for five days. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12721265/),[ml] / [min],712,92007,DB04845,Ixabepilone
,24663504,MTD,The MTD of oral ixabepilone was 25 mg.,A phase I study of oral ixabepilone in patients with advanced solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24663504/),mg,25,93317,DB04845,Ixabepilone
,24663504,half-life,The mean half-life of ixabepilone calculated after day 5 of cycle 1 ranged from 24 to 47 h.,A phase I study of oral ixabepilone in patients with advanced solid tumors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24663504/),h,24 to 47,93318,DB04845,Ixabepilone
,24663504,MTD,The MTD of oral ixabepilone when administered once daily for five consecutive days every 21 days was 25 mg.,A phase I study of oral ixabepilone in patients with advanced solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24663504/),mg,25,93319,DB04845,Ixabepilone
,20449631,MTD,The MTD was 6.8 mg/m(2) for patients not taking EIAEDs and 9.6 mg/m(2) for those taking EIAEDs.,A phase I/II trial and pharmacokinetic study of ixabepilone in adult patients with recurrent high-grade gliomas. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20449631/),[mg] / [m(2],6.8,113918,DB04845,Ixabepilone
,20449631,MTD,The MTD was 6.8 mg/m(2) for patients not taking EIAEDs and 9.6 mg/m(2) for those taking EIAEDs.,A phase I/II trial and pharmacokinetic study of ixabepilone in adult patients with recurrent high-grade gliomas. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20449631/),[mg] / [m(2],9.6,113919,DB04845,Ixabepilone
,20449631,overall survival,"Median overall survival was 5.8 (95% CI, 5.0-8.6) months and 6-month PFS rate was 4% (95% CI, 0-22%).",A phase I/II trial and pharmacokinetic study of ixabepilone in adult patients with recurrent high-grade gliomas. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20449631/),month,5.8,113920,DB04845,Ixabepilone
,20449631,total body clearance,The overall mean total body clearance for ixabepilone was significantly higher (P = 0.003) in patients receiving EIAEDs (36 ± 11 l/h/m(2)) than those not (24 ± 9.2 l/h/m(2)).,A phase I/II trial and pharmacokinetic study of ixabepilone in adult patients with recurrent high-grade gliomas. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20449631/),[h·l] / [m(2],36,113921,DB04845,Ixabepilone
,20449631,total body clearance,The overall mean total body clearance for ixabepilone was significantly higher (P = 0.003) in patients receiving EIAEDs (36 ± 11 l/h/m(2)) than those not (24 ± 9.2 l/h/m(2)).,A phase I/II trial and pharmacokinetic study of ixabepilone in adult patients with recurrent high-grade gliomas. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20449631/),[h·l] / [m(2],24,113922,DB04845,Ixabepilone
,19075272,MTD,The MTD of ixabepilone administered daily for 5 days every 21 days was 8 mg/m(2)/d.,Phase I trial and pharmacokinetic study of ixabepilone administered daily for 5 days in children and adolescents with refractory solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19075272/),[mg] / [d·m(2)],8,163150,DB04845,Ixabepilone
