Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,1068516,minimum level of detection,The minimum level of detection of the method was 40 ng ketoprofen/ml of plasma or 20 ng ketoprofen/ml of urine.,The pharmacokinetics of ketoprofen in man during and after repeated oral dosing (50 mg q.i.d.) with Orudis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1068516/),[ketopren·ng] / [ml],40,499,DB01009,Ketoprofen
,1068516,minimum level of detection,The minimum level of detection of the method was 40 ng ketoprofen/ml of plasma or 20 ng ketoprofen/ml of urine.,The pharmacokinetics of ketoprofen in man during and after repeated oral dosing (50 mg q.i.d.) with Orudis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1068516/),[ketopren·ng] / [ml],20,500,DB01009,Ketoprofen
,21395606,volumes of distribution,"The volumes of distribution of S-ketoprofen for the 6- and 21-day-old piglets were 241.7 (211.3-276.5) mL/kg and 155.0 (138.7-173.1) mL/kg, respectively, while the corresponding parameters for R-ketoprofen were 289.2 (250.3-334.2) mL/kg and 193.0 (168.7-220.8) mL/kg.",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),[ml] / [kg],241.7,1052,DB01009,Ketoprofen
,21395606,volumes of distribution,"The volumes of distribution of S-ketoprofen for the 6- and 21-day-old piglets were 241.7 (211.3-276.5) mL/kg and 155.0 (138.7-173.1) mL/kg, respectively, while the corresponding parameters for R-ketoprofen were 289.2 (250.3-334.2) mL/kg and 193.0 (168.7-220.8) mL/kg.",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),[ml] / [kg],155.0,1053,DB01009,Ketoprofen
,21395606,volumes of distribution,"The volumes of distribution of S-ketoprofen for the 6- and 21-day-old piglets were 241.7 (211.3-276.5) mL/kg and 155.0 (138.7-173.1) mL/kg, respectively, while the corresponding parameters for R-ketoprofen were 289.2 (250.3-334.2) mL/kg and 193.0 (168.7-220.8) mL/kg.",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),[ml] / [kg],289.2,1054,DB01009,Ketoprofen
,21395606,volumes of distribution,"The volumes of distribution of S-ketoprofen for the 6- and 21-day-old piglets were 241.7 (211.3-276.5) mL/kg and 155.0 (138.7-173.1) mL/kg, respectively, while the corresponding parameters for R-ketoprofen were 289.2 (250.3-334.2) mL/kg and 193.0 (168.7-220.8) mL/kg.",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),[ml] / [kg],193.0,1055,DB01009,Ketoprofen
,21395606,clearances,"The clearances of R-ketoprofen [948.4 (768.0-1171.2) mL/h/kg and 425 (319.1-566.0) mL/h/kg for the 6- and 21-day-old piglets, respectively] were significantly higher compared to the clearances of S-ketoprofen [57.3 (46.6-70.4) mL/h/kg and 33.8 (27.0-42.2) mL/h/kg for 6- and 21-day-old piglets, respectively].",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),[ml] / [h·kg],948.4,1056,DB01009,Ketoprofen
,21395606,clearances,"The clearances of R-ketoprofen [948.4 (768.0-1171.2) mL/h/kg and 425 (319.1-566.0) mL/h/kg for the 6- and 21-day-old piglets, respectively] were significantly higher compared to the clearances of S-ketoprofen [57.3 (46.6-70.4) mL/h/kg and 33.8 (27.0-42.2) mL/h/kg for 6- and 21-day-old piglets, respectively].",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),[ml] / [h·kg],425,1057,DB01009,Ketoprofen
,21395606,clearances,"The clearances of R-ketoprofen [948.4 (768.0-1171.2) mL/h/kg and 425 (319.1-566.0) mL/h/kg for the 6- and 21-day-old piglets, respectively] were significantly higher compared to the clearances of S-ketoprofen [57.3 (46.6-70.4) mL/h/kg and 33.8 (27.0-42.2) mL/h/kg for 6- and 21-day-old piglets, respectively].",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),[ml] / [h·kg],57.3,1058,DB01009,Ketoprofen
,21395606,clearances,"The clearances of R-ketoprofen [948.4 (768.0-1171.2) mL/h/kg and 425 (319.1-566.0) mL/h/kg for the 6- and 21-day-old piglets, respectively] were significantly higher compared to the clearances of S-ketoprofen [57.3 (46.6-70.4) mL/h/kg and 33.8 (27.0-42.2) mL/h/kg for 6- and 21-day-old piglets, respectively].",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),[ml] / [h·kg],33.8,1059,DB01009,Ketoprofen
,21395606,elimination half-life,"The elimination half-life of S-ketoprofen was 3.4h for both age groups, while the elimination half-life of R-ketoprofen was 0.2h for the 6-day-old and 0.4h for the 21-day-old piglets.",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),h,3.4,1060,DB01009,Ketoprofen
,21395606,elimination half-life,"The elimination half-life of S-ketoprofen was 3.4h for both age groups, while the elimination half-life of R-ketoprofen was 0.2h for the 6-day-old and 0.4h for the 21-day-old piglets.",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),h,0.2,1061,DB01009,Ketoprofen
,21395606,elimination half-life,"The elimination half-life of S-ketoprofen was 3.4h for both age groups, while the elimination half-life of R-ketoprofen was 0.2h for the 6-day-old and 0.4h for the 21-day-old piglets.",Enantioselective pharmacokinetics of ketoprofen in piglets: the significance of neonatal age. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/21395606/),h,0.4,1062,DB01009,Ketoprofen
,21780552,UD50,"UD50 values of ketoprofen patch were 49.9 mg/kg and 48.9 mg/kg for the stomach and the small intestine, respectively, whereas UD50 values of oral ketoprofen were 3.6 mg/kg and 3.7 mg/kg, respectively.","Physical characteristics, pharmacological properties and clinical efficacy of the ketoprofen patch: a new patch formulation. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21780552/),[mg] / [kg],49.9,1755,DB01009,Ketoprofen
