Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8018454,EC50,"Using the sigmoidal Emax model the mean serum concentration of azapropazone inhibiting platelet TXB2 generation by 50% (EC50) was found to be 98.1 +/- 41.9 (s.d.) micrograms ml-1, a value 1000 times higher than that for rac-ketorolac.",Effects on platelet functions and pharmacokinetics of azapropazone and ketorolac tromethamine given as single parenteral doses. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8018454/),[μg] / [ml],98.1,5123,DB00465,Ketorolac
,3264245,terminal half-life,"The kinetics of i.v. ketorolac were characterized by a terminal half-life of 5.09 h, a small plasma clearance (CL = 0.35 ml.min-1.kg-1) and a small tissue distribution (Vss = 0.11 l.kg-1, V beta = 0.17 l.kg-1; mean (SD).","Pharmacokinetics of ketorolac tromethamine in humans after intravenous, intramuscular and oral administration. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3264245/),h,5.09,8082,DB00465,Ketorolac
,3264245,plasma clearance (CL,"The kinetics of i.v. ketorolac were characterized by a terminal half-life of 5.09 h, a small plasma clearance (CL = 0.35 ml.min-1.kg-1) and a small tissue distribution (Vss = 0.11 l.kg-1, V beta = 0.17 l.kg-1; mean (SD).","Pharmacokinetics of ketorolac tromethamine in humans after intravenous, intramuscular and oral administration. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3264245/),[ml] / [kg·min],0.35,8083,DB00465,Ketorolac
,3264245,tissue distribution (Vss,"The kinetics of i.v. ketorolac were characterized by a terminal half-life of 5.09 h, a small plasma clearance (CL = 0.35 ml.min-1.kg-1) and a small tissue distribution (Vss = 0.11 l.kg-1, V beta = 0.17 l.kg-1; mean (SD).","Pharmacokinetics of ketorolac tromethamine in humans after intravenous, intramuscular and oral administration. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3264245/),[l] / [kg],0.11,8084,DB00465,Ketorolac
,3264245,V beta,"The kinetics of i.v. ketorolac were characterized by a terminal half-life of 5.09 h, a small plasma clearance (CL = 0.35 ml.min-1.kg-1) and a small tissue distribution (Vss = 0.11 l.kg-1, V beta = 0.17 l.kg-1; mean (SD).","Pharmacokinetics of ketorolac tromethamine in humans after intravenous, intramuscular and oral administration. ",Vb-Q62,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3264245/),[l] / [kg],0.17,8085,DB00465,Ketorolac
,3264245,peak levels,"Following i.m. and p.o. administration, peak levels of approximately 0.8 microgram/ml were rapidly attained (tmax = 0.8 and 0.9 h, respectively) and the systemic bioavailability was essentially complete.","Pharmacokinetics of ketorolac tromethamine in humans after intravenous, intramuscular and oral administration. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3264245/),[μg] / [ml],0.8,8086,DB00465,Ketorolac
,3264245,tmax,"Following i.m. and p.o. administration, peak levels of approximately 0.8 microgram/ml were rapidly attained (tmax = 0.8 and 0.9 h, respectively) and the systemic bioavailability was essentially complete.","Pharmacokinetics of ketorolac tromethamine in humans after intravenous, intramuscular and oral administration. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3264245/),h,0.8,8087,DB00465,Ketorolac
,3264245,tmax,"Following i.m. and p.o. administration, peak levels of approximately 0.8 microgram/ml were rapidly attained (tmax = 0.8 and 0.9 h, respectively) and the systemic bioavailability was essentially complete.","Pharmacokinetics of ketorolac tromethamine in humans after intravenous, intramuscular and oral administration. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3264245/),h,0.9,8088,DB00465,Ketorolac
,19300040,clearance,"Estimated parameters were clearance [2.8 mL x min(-1) x (kg(0.75))(-1)], intercompartmental clearance (11.5 mL/min), volume of distribution of the central compartment (535 mL), and volume of distribution of the peripheral compartment (322 mL).",Population pharmacokinetics of ketorolac in neonates and young infants. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19300040/),[ml] / [kg(0.75·min],2.8,8619,DB00465,Ketorolac
,19300040,intercompartmental clearance,"Estimated parameters were clearance [2.8 mL x min(-1) x (kg(0.75))(-1)], intercompartmental clearance (11.5 mL/min), volume of distribution of the central compartment (535 mL), and volume of distribution of the peripheral compartment (322 mL).",Population pharmacokinetics of ketorolac in neonates and young infants. ,CL12-Q30,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19300040/),[ml] / [min],11.5,8620,DB00465,Ketorolac
,19300040,volume of distribution of the central compartment,"Estimated parameters were clearance [2.8 mL x min(-1) x (kg(0.75))(-1)], intercompartmental clearance (11.5 mL/min), volume of distribution of the central compartment (535 mL), and volume of distribution of the peripheral compartment (322 mL).",Population pharmacokinetics of ketorolac in neonates and young infants. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19300040/),ml,535,8621,DB00465,Ketorolac
