Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,29976060,bioavailability,Pharmacokinetic studies in rats showed an increase in the bioavailability of peptide 12 > 70-fold (from 0.58 ± 0.11% to 43.8 ± 14.9%) after applying the LPCM method to peptide 12 and converting it to the prodrug 12P.,Enhancing Oral Bioavailability of Cyclic RGD Hexa-peptides by the Lipophilic Prodrug Charge Masking Approach: Redirection of Peptide Intestinal Permeability from a Paracellular to Transcellular Pathway. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29976060/),%,0.58,1759,DB00583,L-Carnitine
,29976060,bioavailability,Pharmacokinetic studies in rats showed an increase in the bioavailability of peptide 12 > 70-fold (from 0.58 ± 0.11% to 43.8 ± 14.9%) after applying the LPCM method to peptide 12 and converting it to the prodrug 12P.,Enhancing Oral Bioavailability of Cyclic RGD Hexa-peptides by the Lipophilic Prodrug Charge Masking Approach: Redirection of Peptide Intestinal Permeability from a Paracellular to Transcellular Pathway. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29976060/),%,43.8,1760,DB00583,L-Carnitine
,8971593,recovery,The recovery of the extraction procedure was in the range 82.6%-95.4% for all 3 compounds.,"Determination of L-carnitine, acetyl-L-carnitine and propionyl-L-carnitine in human plasma by high-performance liquid chromatography after pre-column derivatization with 1-aminoanthracene. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8971593/),%,82,6486,DB00583,L-Carnitine
,8971593,recovery,The recovery of the extraction procedure was in the range 82.6%-95.4% for all 3 compounds.,"Determination of L-carnitine, acetyl-L-carnitine and propionyl-L-carnitine in human plasma by high-performance liquid chromatography after pre-column derivatization with 1-aminoanthracene. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8971593/),%,95,6487,DB00583,L-Carnitine
,1550066,concentrations (SCAC),"A hamburger meal (345 mumol total carnitine) induced peak jejunal fluid free (unesterified) and short-chain acylcarnitine concentrations (SCAC) of 209 and 130 mumol/L, respectively.",The effect of enteral carnitine administration in humans. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1550066/),[μM] / [l],209,12173,DB00583,L-Carnitine
,1550066,concentrations (SCAC),"A hamburger meal (345 mumol total carnitine) induced peak jejunal fluid free (unesterified) and short-chain acylcarnitine concentrations (SCAC) of 209 and 130 mumol/L, respectively.",The effect of enteral carnitine administration in humans. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1550066/),[μM] / [l],130,12174,DB00583,L-Carnitine
,6716912,urinary,The mean urinary carnitine excretion per day was 163.5 mumol (range 63.7-419.6 mumol) in patients with intact renal function.,[Serum levels and urine excretion of L-carnitine in patients with normal and impaired kidney function]. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6716912/),μM,163.5,12735,DB00583,L-Carnitine
,6716912,elimination per,"Extreme impairment of glomerular filtration rate (creatinine clearance less than 20 ml/min) resulted in higher carnitine concentrations in serum (108.9 +/- 39.4 mumol/l, n = 18, p less than 0.05), lower carnitine elimination per day (78.5 mumol, range 14.5 - 424.3 mumol, n = 18, p less than 0.05) and a decreased carnitine clearance (0.8 ml/min, range 0.2 - 3.8 ml/min).",[Serum levels and urine excretion of L-carnitine in patients with normal and impaired kidney function]. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6716912/),μM,78.5,12736,DB00583,L-Carnitine
,6716912,clearance,"Extreme impairment of glomerular filtration rate (creatinine clearance less than 20 ml/min) resulted in higher carnitine concentrations in serum (108.9 +/- 39.4 mumol/l, n = 18, p less than 0.05), lower carnitine elimination per day (78.5 mumol, range 14.5 - 424.3 mumol, n = 18, p less than 0.05) and a decreased carnitine clearance (0.8 ml/min, range 0.2 - 3.8 ml/min).",[Serum levels and urine excretion of L-carnitine in patients with normal and impaired kidney function]. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6716912/),[ml] / [min],0.8,12737,DB00583,L-Carnitine
,12709724,net losses,"Urinary elimination of pivaloylcarnitine resulted in a marked increase in total carnitine excretion, as well as net losses of total carnitine of approximately 4.6 mmol with the 200-mg, 10-day regimen and up to 14.9 mmol with the 400-mg, 14-day regimen.",Impact on carnitine homeostasis of short-term treatment with the pivalate prodrug cefditoren pivoxil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12709724/),mM,4.6,13195,DB00583,L-Carnitine
