Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,7521951,Half-live,Half-live of N-nitroso-L-arginine was 4 s in rat brain cortex and the washout curve of NO after over brain insufflation gave an half-life of 10.5 min; their diffusion coefficients in brain were 3.810(-5) for NO and 3.910(-6) cm2.s-1 for N-nitroso-L-arginine.,Diffusion coefficients and half-lives of nitric oxide and N-nitroso-L-arginine in rat cortex. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7521951/),s,4,29109,DB00155,L-Citrulline
,7521951,half-life,Half-live of N-nitroso-L-arginine was 4 s in rat brain cortex and the washout curve of NO after over brain insufflation gave an half-life of 10.5 min; their diffusion coefficients in brain were 3.810(-5) for NO and 3.910(-6) cm2.s-1 for N-nitroso-L-arginine.,Diffusion coefficients and half-lives of nitric oxide and N-nitroso-L-arginine in rat cortex. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7521951/),min,10.5,29110,DB00155,L-Citrulline
,7521951,diffusion coefficients,Half-live of N-nitroso-L-arginine was 4 s in rat brain cortex and the washout curve of NO after over brain insufflation gave an half-life of 10.5 min; their diffusion coefficients in brain were 3.810(-5) for NO and 3.910(-6) cm2.s-1 for N-nitroso-L-arginine.,Diffusion coefficients and half-lives of nitric oxide and N-nitroso-L-arginine in rat cortex. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7521951/),(,3.810,29111,DB00155,L-Citrulline
,7521951,diffusion coefficients,Half-live of N-nitroso-L-arginine was 4 s in rat brain cortex and the washout curve of NO after over brain insufflation gave an half-life of 10.5 min; their diffusion coefficients in brain were 3.810(-5) for NO and 3.910(-6) cm2.s-1 for N-nitroso-L-arginine.,Diffusion coefficients and half-lives of nitric oxide and N-nitroso-L-arginine in rat cortex. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7521951/),[cm2] / [s],3.910,29112,DB00155,L-Citrulline
,18331613,to peak concentrations,"The slope from baseline plasma citrulline to peak concentrations was 0.22 +/- 0.08, 0.13 +/- 0.04 and 0.09 +/- 0.04 micromol/L/min in healthy subjects, patients with coeliac disease (CeD) and refractory CeD, respectively (healthy subjects vs. CeD P < 0.05, healthy subjects vs. refractory CeD P < 0.001).",The citrulline generation test: proposal for a new enterocyte function test. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18331613/),[μM] / [l·min],0.,40669,DB00155,L-Citrulline
,18331613,to peak concentrations,"The slope from baseline plasma citrulline to peak concentrations was 0.22 +/- 0.08, 0.13 +/- 0.04 and 0.09 +/- 0.04 micromol/L/min in healthy subjects, patients with coeliac disease (CeD) and refractory CeD, respectively (healthy subjects vs. CeD P < 0.05, healthy subjects vs. refractory CeD P < 0.001).",The citrulline generation test: proposal for a new enterocyte function test. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18331613/),[μM] / [l·min],0.13,40670,DB00155,L-Citrulline
,18331613,to peak concentrations,"The slope from baseline plasma citrulline to peak concentrations was 0.22 +/- 0.08, 0.13 +/- 0.04 and 0.09 +/- 0.04 micromol/L/min in healthy subjects, patients with coeliac disease (CeD) and refractory CeD, respectively (healthy subjects vs. CeD P < 0.05, healthy subjects vs. refractory CeD P < 0.001).",The citrulline generation test: proposal for a new enterocyte function test. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18331613/),[μM] / [l·min],0.09,40671,DB00155,L-Citrulline
,18331613,iAUC T90,"The iAUC T90 was 447 +/- 179 and 1039 +/- 178 micromol/L/min in non-adapted and adapted SBS, respectively (P = 0.04).",The citrulline generation test: proposal for a new enterocyte function test. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18331613/),[μM] / [l·min],447,40672,DB00155,L-Citrulline
,18331613,iAUC T90,"The iAUC T90 was 447 +/- 179 and 1039 +/- 178 micromol/L/min in non-adapted and adapted SBS, respectively (P = 0.04).",The citrulline generation test: proposal for a new enterocyte function test. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18331613/),[μM] / [l·min],1039,40673,DB00155,L-Citrulline
,31885649,area under the time-concentration curve (AUC),The PK analysis showed that the sinomenine effect time was longer in the ST 36 group (area under the time-concentration curve (AUC): 12683.81 h·ng/ml and T max: 6.21 h) than in the other groups.,The Effect of Acupoint Application of Sinomenine for Rheumatoid Arthritis Measured by Microdialysis and UPLC-MS/MS. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31885649/),[h·ng] / [ml],12683.81,45600,DB00155,L-Citrulline
,31885649,T max,The PK analysis showed that the sinomenine effect time was longer in the ST 36 group (area under the time-concentration curve (AUC): 12683.81 h·ng/ml and T max: 6.21 h) than in the other groups.,The Effect of Acupoint Application of Sinomenine for Rheumatoid Arthritis Measured by Microdialysis and UPLC-MS/MS. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31885649/),h,6.21,45601,DB00155,L-Citrulline
,17662090,ratio,"The highest dose of citrulline (3 g bid) increased the C(min) of plasma L-arginine and improved the L-arginine/ADMA ratio from 186 +/- 8 (baseline) to 278 +/- 14 [P < 0.01, 95% confidence interval (CI) 66, 121].",Pharmacokinetic and pharmacodynamic properties of oral L-citrulline and L-arginine: impact on nitric oxide metabolism. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17662090/),,186,55714,DB00155,L-Citrulline
,17662090,ratio,"The highest dose of citrulline (3 g bid) increased the C(min) of plasma L-arginine and improved the L-arginine/ADMA ratio from 186 +/- 8 (baseline) to 278 +/- 14 [P < 0.01, 95% confidence interval (CI) 66, 121].",Pharmacokinetic and pharmacodynamic properties of oral L-citrulline and L-arginine: impact on nitric oxide metabolism. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17662090/),,278,55715,DB00155,L-Citrulline
,25869904,clearance,"The clearance of αCD70_MED-A in monkeys was 58 mL/d/kg, ~2-fold faster than that in dogs (31 mL/d/kg).","Pharmacokinetic characterization of BMS-936561, an anti-CD70 antibody-drug conjugate, in preclinical animal species and prediction of its pharmacokinetics in humans. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25869904/),[ml] / [d·kg],58,87489,DB00155,L-Citrulline
,25869904,clearance,"The clearance of αCD70_MED-A in monkeys was 58 mL/d/kg, ~2-fold faster than that in dogs (31 mL/d/kg).","Pharmacokinetic characterization of BMS-936561, an anti-CD70 antibody-drug conjugate, in preclinical animal species and prediction of its pharmacokinetics in humans. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25869904/),[ml] / [d·kg],31,87490,DB00155,L-Citrulline
,17953788,maximum concentration,"Concerning AA, only CIT, ornithine (ORN) and arginine (ARG) plasma concentrations were affected (maximum concentration 146 (sem 8) to 303 (sem 11) micromol/l (ARG) and 81 (sem 4) to 179 (sem 10) micromol/l (ORN); time to reach maximum concentration 1.17 (sem 0.26) to 2.29 (sem 0.20) h (ARG) and 1.38 (sem 0.25) to 1.79 (sem 0.11) h (ORN) according to CIT dose).",Dose-ranging effects of citrulline administration on plasma amino acids and hormonal patterns in healthy subjects: the Citrudose pharmacokinetic study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17953788/),[μM] / [l],146,93834,DB00155,L-Citrulline
,17953788,maximum concentration,"Concerning AA, only CIT, ornithine (ORN) and arginine (ARG) plasma concentrations were affected (maximum concentration 146 (sem 8) to 303 (sem 11) micromol/l (ARG) and 81 (sem 4) to 179 (sem 10) micromol/l (ORN); time to reach maximum concentration 1.17 (sem 0.26) to 2.29 (sem 0.20) h (ARG) and 1.38 (sem 0.25) to 1.79 (sem 0.11) h (ORN) according to CIT dose).",Dose-ranging effects of citrulline administration on plasma amino acids and hormonal patterns in healthy subjects: the Citrudose pharmacokinetic study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17953788/),[μM] / [l],303,93835,DB00155,L-Citrulline
,17953788,maximum concentration,"Concerning AA, only CIT, ornithine (ORN) and arginine (ARG) plasma concentrations were affected (maximum concentration 146 (sem 8) to 303 (sem 11) micromol/l (ARG) and 81 (sem 4) to 179 (sem 10) micromol/l (ORN); time to reach maximum concentration 1.17 (sem 0.26) to 2.29 (sem 0.20) h (ARG) and 1.38 (sem 0.25) to 1.79 (sem 0.11) h (ORN) according to CIT dose).",Dose-ranging effects of citrulline administration on plasma amino acids and hormonal patterns in healthy subjects: the Citrudose pharmacokinetic study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17953788/),[μM] / [l],81,93836,DB00155,L-Citrulline
,17953788,maximum concentration,"Concerning AA, only CIT, ornithine (ORN) and arginine (ARG) plasma concentrations were affected (maximum concentration 146 (sem 8) to 303 (sem 11) micromol/l (ARG) and 81 (sem 4) to 179 (sem 10) micromol/l (ORN); time to reach maximum concentration 1.17 (sem 0.26) to 2.29 (sem 0.20) h (ARG) and 1.38 (sem 0.25) to 1.79 (sem 0.11) h (ORN) according to CIT dose).",Dose-ranging effects of citrulline administration on plasma amino acids and hormonal patterns in healthy subjects: the Citrudose pharmacokinetic study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17953788/),[μM] / [l],179,93837,DB00155,L-Citrulline
