Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2619779,lag time,"The pharmacokinetics of loxiglumide in plasma after the first single dose of 400 mg is characterized by a lag time of 16 +/- 4 min, a rapid invasion (kinv = 10 h-1), a Cmax of 11.9 +/- 5.1 mg/l at tmax of 2.3 +/- 0.8 h, a mean residence time (MRT) of 6.9 +/- 1.1 h and an AUC of 60.6 +/- 16.3 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),min,16,673,DB00130,L-Glutamine
,2619779,kinv,"The pharmacokinetics of loxiglumide in plasma after the first single dose of 400 mg is characterized by a lag time of 16 +/- 4 min, a rapid invasion (kinv = 10 h-1), a Cmax of 11.9 +/- 5.1 mg/l at tmax of 2.3 +/- 0.8 h, a mean residence time (MRT) of 6.9 +/- 1.1 h and an AUC of 60.6 +/- 16.3 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),1/[h],10,674,DB00130,L-Glutamine
,2619779,Cmax,"The pharmacokinetics of loxiglumide in plasma after the first single dose of 400 mg is characterized by a lag time of 16 +/- 4 min, a rapid invasion (kinv = 10 h-1), a Cmax of 11.9 +/- 5.1 mg/l at tmax of 2.3 +/- 0.8 h, a mean residence time (MRT) of 6.9 +/- 1.1 h and an AUC of 60.6 +/- 16.3 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),[mg] / [l],11.9,675,DB00130,L-Glutamine
,2619779,tmax,"The pharmacokinetics of loxiglumide in plasma after the first single dose of 400 mg is characterized by a lag time of 16 +/- 4 min, a rapid invasion (kinv = 10 h-1), a Cmax of 11.9 +/- 5.1 mg/l at tmax of 2.3 +/- 0.8 h, a mean residence time (MRT) of 6.9 +/- 1.1 h and an AUC of 60.6 +/- 16.3 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),h,2.3,676,DB00130,L-Glutamine
,2619779,mean residence time (MRT),"The pharmacokinetics of loxiglumide in plasma after the first single dose of 400 mg is characterized by a lag time of 16 +/- 4 min, a rapid invasion (kinv = 10 h-1), a Cmax of 11.9 +/- 5.1 mg/l at tmax of 2.3 +/- 0.8 h, a mean residence time (MRT) of 6.9 +/- 1.1 h and an AUC of 60.6 +/- 16.3 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),h,6.9,677,DB00130,L-Glutamine
,2619779,AUC,"The pharmacokinetics of loxiglumide in plasma after the first single dose of 400 mg is characterized by a lag time of 16 +/- 4 min, a rapid invasion (kinv = 10 h-1), a Cmax of 11.9 +/- 5.1 mg/l at tmax of 2.3 +/- 0.8 h, a mean residence time (MRT) of 6.9 +/- 1.1 h and an AUC of 60.6 +/- 16.3 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),,60.6,678,DB00130,L-Glutamine
,2619779,lag time,"After the last dose of 400 mg the lag time was 17 +/- 6 min, the Cmax 12.7 +/- 3.8 mg/l at tmax of 2.1 +/- 0.8 h, a MRT of 11.0 +/- 1.9 h and an AUC of 109.8 +/- 39.9 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),min,17,679,DB00130,L-Glutamine
,2619779,Cmax,"After the last dose of 400 mg the lag time was 17 +/- 6 min, the Cmax 12.7 +/- 3.8 mg/l at tmax of 2.1 +/- 0.8 h, a MRT of 11.0 +/- 1.9 h and an AUC of 109.8 +/- 39.9 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),[mg] / [l],12.7,680,DB00130,L-Glutamine
,2619779,tmax,"After the last dose of 400 mg the lag time was 17 +/- 6 min, the Cmax 12.7 +/- 3.8 mg/l at tmax of 2.1 +/- 0.8 h, a MRT of 11.0 +/- 1.9 h and an AUC of 109.8 +/- 39.9 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),h,2.1,681,DB00130,L-Glutamine
,2619779,MRT,"After the last dose of 400 mg the lag time was 17 +/- 6 min, the Cmax 12.7 +/- 3.8 mg/l at tmax of 2.1 +/- 0.8 h, a MRT of 11.0 +/- 1.9 h and an AUC of 109.8 +/- 39.9 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),h,11.0,682,DB00130,L-Glutamine
,2619779,AUC,"After the last dose of 400 mg the lag time was 17 +/- 6 min, the Cmax 12.7 +/- 3.8 mg/l at tmax of 2.1 +/- 0.8 h, a MRT of 11.0 +/- 1.9 h and an AUC of 109.8 +/- 39.9 (mg/l) x h.",Pharmacokinetics and tolerance of repeated oral doses of loxiglumide. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2619779/),[mg] / [h·l)],109.8,683,DB00130,L-Glutamine
,7751998,dial,"In group 2 (n = 6), peritoneal dialysis and continuous arteriovenous hemodiafiltration (CAVHD) (dialysate flow = 1000 ml.hr-1) were simultaneous performed for 40 minutes.","Use of peritoneal dialysis, continuous arteriovenous hemofiltration, and continuous arteriovenous hemodiafiltration for removal of ammonium chloride and glutamine in rabbits. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7751998/),[ml] / [h],1000,7334,DB00130,L-Glutamine
,7751998,flow,"In group 2 (n = 6), peritoneal dialysis and continuous arteriovenous hemodiafiltration (CAVHD) (dialysate flow = 1000 ml.hr-1) were simultaneous performed for 40 minutes.","Use of peritoneal dialysis, continuous arteriovenous hemofiltration, and continuous arteriovenous hemodiafiltration for removal of ammonium chloride and glutamine in rabbits. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7751998/),[ml] / [h],1000,7335,DB00130,L-Glutamine
,9029053,Liver,"Liver concentrations of 4-ene VPA and alpha-fluoro-4-ene VPA were 0.96 +/- 0.11 and 0.89 +/- 0.19 micromol/g of wet liver, respectively, at 1 hr after the dose.",A comparative investigation of 2-propyl-4-pentenoic acid (4-ene VPA) and its alpha-fluorinated analogue: phase II metabolism and pharmacokinetics. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9029053/),μ,0.96,9610,DB00130,L-Glutamine
,9029053,Liver,"Liver concentrations of 4-ene VPA and alpha-fluoro-4-ene VPA were 0.96 +/- 0.11 and 0.89 +/- 0.19 micromol/g of wet liver, respectively, at 1 hr after the dose.",A comparative investigation of 2-propyl-4-pentenoic acid (4-ene VPA) and its alpha-fluorinated analogue: phase II metabolism and pharmacokinetics. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9029053/),μ,0.89,9611,DB00130,L-Glutamine
,22958974,percent recovery,"Mean percent recovery of phenylbutyric acid as urinary phenylacetylglutamine was 66.4 and 69.0 for pediatric patients and 68.7 and 71.4 for adult patients on glycerol phenylbutyrate and sodium phenylbutyrate, respectively.",Urinary phenylacetylglutamine as dosing biomarker for patients with urea cycle disorders. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22958974/),,66.4,12843,DB00130,L-Glutamine
,22958974,percent recovery,"Mean percent recovery of phenylbutyric acid as urinary phenylacetylglutamine was 66.4 and 69.0 for pediatric patients and 68.7 and 71.4 for adult patients on glycerol phenylbutyrate and sodium phenylbutyrate, respectively.",Urinary phenylacetylglutamine as dosing biomarker for patients with urea cycle disorders. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22958974/),,69.0,12844,DB00130,L-Glutamine
,22958974,percent recovery,"Mean percent recovery of phenylbutyric acid as urinary phenylacetylglutamine was 66.4 and 69.0 for pediatric patients and 68.7 and 71.4 for adult patients on glycerol phenylbutyrate and sodium phenylbutyrate, respectively.",Urinary phenylacetylglutamine as dosing biomarker for patients with urea cycle disorders. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22958974/),,68.7,12845,DB00130,L-Glutamine
,22958974,percent recovery,"Mean percent recovery of phenylbutyric acid as urinary phenylacetylglutamine was 66.4 and 69.0 for pediatric patients and 68.7 and 71.4 for adult patients on glycerol phenylbutyrate and sodium phenylbutyrate, respectively.",Urinary phenylacetylglutamine as dosing biomarker for patients with urea cycle disorders. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22958974/),,71.4,12846,DB00130,L-Glutamine
,15063465,capacity factor,"The samples were injected onto the analytical column (Tracer Extrasil ODS1) and detected at 238 nm, giving a capacity factor of 1.87 for CR 3210 and 1.10 for the internal standard.",Sensitive SPE-HPLC method to determine a novel angiotensin-AT1 antagonist in biological samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15063465/),,1.87,13711,DB00130,L-Glutamine
,15063465,capacity factor,"The samples were injected onto the analytical column (Tracer Extrasil ODS1) and detected at 238 nm, giving a capacity factor of 1.87 for CR 3210 and 1.10 for the internal standard.",Sensitive SPE-HPLC method to determine a novel angiotensin-AT1 antagonist in biological samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15063465/),,1.10,13712,DB00130,L-Glutamine
,15063465,recovery,The mean recovery of CR 3210 from spiked rat plasma was 68.5 at 75 ng/ml and 80.9 at 3000 ng/ml; the mean recovery of CR 3210 from spiked rat urine was 69.9 at 75 ng/ml and 78.6 at 3000 ng/ml.,Sensitive SPE-HPLC method to determine a novel angiotensin-AT1 antagonist in biological samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15063465/),,68.5,13713,DB00130,L-Glutamine
,15063465,recovery,The mean recovery of CR 3210 from spiked rat plasma was 68.5 at 75 ng/ml and 80.9 at 3000 ng/ml; the mean recovery of CR 3210 from spiked rat urine was 69.9 at 75 ng/ml and 78.6 at 3000 ng/ml.,Sensitive SPE-HPLC method to determine a novel angiotensin-AT1 antagonist in biological samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15063465/),,80.9,13714,DB00130,L-Glutamine
,15063465,recovery,The mean recovery of CR 3210 from spiked rat plasma was 68.5 at 75 ng/ml and 80.9 at 3000 ng/ml; the mean recovery of CR 3210 from spiked rat urine was 69.9 at 75 ng/ml and 78.6 at 3000 ng/ml.,Sensitive SPE-HPLC method to determine a novel angiotensin-AT1 antagonist in biological samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15063465/),,69.9,13715,DB00130,L-Glutamine
,15063465,recovery,The mean recovery of CR 3210 from spiked rat plasma was 68.5 at 75 ng/ml and 80.9 at 3000 ng/ml; the mean recovery of CR 3210 from spiked rat urine was 69.9 at 75 ng/ml and 78.6 at 3000 ng/ml.,Sensitive SPE-HPLC method to determine a novel angiotensin-AT1 antagonist in biological samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15063465/),,78.6,13716,DB00130,L-Glutamine
,15063465,lower limit of detection (LOD),The lower limit of detection (LOD) was 14 ng/ml in plasma and 22 ng/ml in urine samples.,Sensitive SPE-HPLC method to determine a novel angiotensin-AT1 antagonist in biological samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15063465/),[ng] / [ml],14,13717,DB00130,L-Glutamine
,15063465,lower limit of detection (LOD),The lower limit of detection (LOD) was 14 ng/ml in plasma and 22 ng/ml in urine samples.,Sensitive SPE-HPLC method to determine a novel angiotensin-AT1 antagonist in biological samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15063465/),[ng] / [ml],22,13718,DB00130,L-Glutamine
,9022538,absorption constant,"OKG was extensively metabolized in these patients (absorption constant = 0.028 min-1, elimination half-life = 89 min), with the production of glutamine, arginine, and proline; proline was quantitatively the main metabolite [in OKG bolus, area under the curve (AUC)0-7h: proline, 41.4 +/- 5.6 mmol.min/L; glutamine, 20.4 +/- 5.7 mmol.min/L; and arginine, 7.3 +/- 1.9 mmol.min/L].",Ornithine alpha-ketoglutarate metabolism after enteral administration in burn patients: bolus compared with continuous infusion. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9022538/),1/[min],0.028,15198,DB00130,L-Glutamine
