Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15900474,flow rate,The perfusate is perfused at a flow rate of 5 microL min(-1).,Microdialysis sampling and high-performance liquid chromatography with chemiluminescence detection for in-vivo on-line determination and study of the pharmacokinetics of levodopa in blood. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15900474/),[μl] / [min],5,93,DB00120,L-Phenylalanine
,15900474,detection limit (3sigma),The response of the system is linearly related to the concentration of levodopa in the range 1 x 10(-8) to 1 x 10(-6) g mL(-1) (r2 = 0.9995) with a detection limit (3sigma) of 3 x 10(-9) g mL(-1) and sample throughput of 12 h(-1); RSD is 2.8% (n = 11).,Microdialysis sampling and high-performance liquid chromatography with chemiluminescence detection for in-vivo on-line determination and study of the pharmacokinetics of levodopa in blood. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15900474/),[g] / [ml],3 x 10(-9),94,DB00120,L-Phenylalanine
,15900474,sample throughput,The response of the system is linearly related to the concentration of levodopa in the range 1 x 10(-8) to 1 x 10(-6) g mL(-1) (r2 = 0.9995) with a detection limit (3sigma) of 3 x 10(-9) g mL(-1) and sample throughput of 12 h(-1); RSD is 2.8% (n = 11).,Microdialysis sampling and high-performance liquid chromatography with chemiluminescence detection for in-vivo on-line determination and study of the pharmacokinetics of levodopa in blood. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15900474/),1/[h],12,95,DB00120,L-Phenylalanine
,15900474,Cmax,"The method has been successfully used to study the pharmacokinetics of levodopa in vivo; the values of the pharmacokinetics parameters Cmax, AUC(0-t) and Tmax were 16.60, 20.92 ng mL(-1), and 90 min, respectively.",Microdialysis sampling and high-performance liquid chromatography with chemiluminescence detection for in-vivo on-line determination and study of the pharmacokinetics of levodopa in blood. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15900474/),[ng] / [ml],16.60,96,DB00120,L-Phenylalanine
,15900474,AUC(0-t),"The method has been successfully used to study the pharmacokinetics of levodopa in vivo; the values of the pharmacokinetics parameters Cmax, AUC(0-t) and Tmax were 16.60, 20.92 ng mL(-1), and 90 min, respectively.",Microdialysis sampling and high-performance liquid chromatography with chemiluminescence detection for in-vivo on-line determination and study of the pharmacokinetics of levodopa in blood. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15900474/),[ng] / [ml],20.92,97,DB00120,L-Phenylalanine
,15900474,Tmax,"The method has been successfully used to study the pharmacokinetics of levodopa in vivo; the values of the pharmacokinetics parameters Cmax, AUC(0-t) and Tmax were 16.60, 20.92 ng mL(-1), and 90 min, respectively.",Microdialysis sampling and high-performance liquid chromatography with chemiluminescence detection for in-vivo on-line determination and study of the pharmacokinetics of levodopa in blood. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15900474/),min,90,98,DB00120,L-Phenylalanine
,10789721,overall response rate,Median survival after IHP (n = 21) was 19 months and the overall response rate was 29% (17 assessable patients; one complete and four partial remissions).,Increased local cytostatic drug exposure by isolated hepatic perfusion: a phase I clinical and pharmacologic evaluation of treatment with high dose melphalan in patients with colorectal cancer confined to the liver. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10789721/),%,29,1226,DB00120,L-Phenylalanine
,3516430,disposition half-lives,"A high scattering of drug concentrations was observed in our patients, the disposition half-lives ranging in the whole group from 17.8 to 71.2 min.",Pharmacokinetics of high-dose intravenous melphalan in children and adults with forced diuresis. Report in 26 cases. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3516430/),min,17.8 to 71.2,1802,DB00120,L-Phenylalanine
,3516430,areas under the curves,"The areas under the curves also showed a wide variation, ranging from 175 to 682 mg 1(-1) min-1.",Pharmacokinetics of high-dose intravenous melphalan in children and adults with forced diuresis. Report in 26 cases. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3516430/),[mg] / [1·min],175 to 682,1803,DB00120,L-Phenylalanine
,6469754,enhancement ratios (SER),The sensitizer enhancement ratios (SER) of these derivatives were 2.2 and 2.3 respectively at 1 mM concentration after 2 hr exposure under hypoxia.,"Pharmacokinetic studies of amino acid analogues of 2-nitroimidazole, new hypoxic cell radiosensitizers. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6469754/),,2.2,1836,DB00120,L-Phenylalanine
,6469754,enhancement ratios (SER),The sensitizer enhancement ratios (SER) of these derivatives were 2.2 and 2.3 respectively at 1 mM concentration after 2 hr exposure under hypoxia.,"Pharmacokinetic studies of amino acid analogues of 2-nitroimidazole, new hypoxic cell radiosensitizers. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6469754/),,2.3,1837,DB00120,L-Phenylalanine
,6469754,apparent t 1/2,These agents were cleared from the plasma rapidly with an apparent t 1/2 of 18.8 and 15.6 min respectively.,"Pharmacokinetic studies of amino acid analogues of 2-nitroimidazole, new hypoxic cell radiosensitizers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6469754/),min,18.8,1838,DB00120,L-Phenylalanine
,6469754,apparent t 1/2,These agents were cleared from the plasma rapidly with an apparent t 1/2 of 18.8 and 15.6 min respectively.,"Pharmacokinetic studies of amino acid analogues of 2-nitroimidazole, new hypoxic cell radiosensitizers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6469754/),min,15.6,1839,DB00120,L-Phenylalanine
,6469754,Peak tumor concentration,Peak tumor concentration of approximately 217 micrograms/g was achieved within 15 min with phenylalanine analogue.,"Pharmacokinetic studies of amino acid analogues of 2-nitroimidazole, new hypoxic cell radiosensitizers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6469754/),[μg] / [g],217,1840,DB00120,L-Phenylalanine
,6469754,tumor to brain ratio,The tumor to brain ratio was 10:1 suggesting that this agent is excluded from CNS and that the phenylalanine analogue should be considered a potentially less neurotoxic radiosensitizer than misonidazole.,"Pharmacokinetic studies of amino acid analogues of 2-nitroimidazole, new hypoxic cell radiosensitizers. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6469754/),,10:1,1841,DB00120,L-Phenylalanine
,1768561,area under the plasma concentration-time curves (AUC),The area under the plasma concentration-time curves (AUC) for the final dose of levodopa (150.8 +/- 22.0 micrograms ml-1 min) was lower than for the two preceding doses (205.7 +/- 41.8 and 199.5 +/- 51.8 micrograms ml-1 min) but not different from that of the single dose given at the same time of day (141.7 +/- 29.1 micrograms ml-1 min).,Gastric emptying in healthy volunteers after multiple doses of levodopa. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1768561/),[min·μg] / [ml],150.8,3087,DB00120,L-Phenylalanine
,1768561,area under the plasma concentration-time curves (AUC),The area under the plasma concentration-time curves (AUC) for the final dose of levodopa (150.8 +/- 22.0 micrograms ml-1 min) was lower than for the two preceding doses (205.7 +/- 41.8 and 199.5 +/- 51.8 micrograms ml-1 min) but not different from that of the single dose given at the same time of day (141.7 +/- 29.1 micrograms ml-1 min).,Gastric emptying in healthy volunteers after multiple doses of levodopa. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1768561/),[min·μg] / [ml],205.7,3088,DB00120,L-Phenylalanine
,1768561,area under the plasma concentration-time curves (AUC),The area under the plasma concentration-time curves (AUC) for the final dose of levodopa (150.8 +/- 22.0 micrograms ml-1 min) was lower than for the two preceding doses (205.7 +/- 41.8 and 199.5 +/- 51.8 micrograms ml-1 min) but not different from that of the single dose given at the same time of day (141.7 +/- 29.1 micrograms ml-1 min).,Gastric emptying in healthy volunteers after multiple doses of levodopa. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1768561/),[min·μg] / [ml],199.5,3089,DB00120,L-Phenylalanine
,1768561,area under the plasma concentration-time curves (AUC),The area under the plasma concentration-time curves (AUC) for the final dose of levodopa (150.8 +/- 22.0 micrograms ml-1 min) was lower than for the two preceding doses (205.7 +/- 41.8 and 199.5 +/- 51.8 micrograms ml-1 min) but not different from that of the single dose given at the same time of day (141.7 +/- 29.1 micrograms ml-1 min).,Gastric emptying in healthy volunteers after multiple doses of levodopa. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1768561/),[min·μg] / [ml],141.7,3090,DB00120,L-Phenylalanine
,22549288,maximum tolerated dose (MTD),The maximum tolerated dose (MTD) of sorafenib in combination with ILI-M was 400 mg.,A phase I multi-institutional study of systemic sorafenib in conjunction with regional melphalan for in-transit melanoma of the extremity. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22549288/),mg,400,3531,DB00120,L-Phenylalanine
,3369621,mortality,"The mortality and morbidity rates were 0 and 6.8 percent, respectively.","Pharmacokinetics, toxicity, and short-term results of cisplatin hyperthermic isolated limb perfusion for soft-tissue sarcoma and melanoma of the extremities. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3369621/),%,0,4369,DB00120,L-Phenylalanine
,3369621,Local,"Local and regional recurrence rates were 0 and 3.4 percent, respectively, at 1 year.","Pharmacokinetics, toxicity, and short-term results of cisplatin hyperthermic isolated limb perfusion for soft-tissue sarcoma and melanoma of the extremities. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3369621/),%,0,4370,DB00120,L-Phenylalanine
,3369621,regional recurrence rates,"Local and regional recurrence rates were 0 and 3.4 percent, respectively, at 1 year.","Pharmacokinetics, toxicity, and short-term results of cisplatin hyperthermic isolated limb perfusion for soft-tissue sarcoma and melanoma of the extremities. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3369621/),%,3.4,4371,DB00120,L-Phenylalanine
,12621462,MTD,Mucositis was the dose-limiting toxicity and the MTD was 60 mg/m(2).,High-dose consolidation chemotherapy with Idarubicin and alkylating agents following induction with gemcitabine-epirubicin-paclitaxel in metastatic breast cancer: a dose finding study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12621462/),mg,60,5056,DB00120,L-Phenylalanine
,12621462,C(max),C(max) of Idarubicin and idarubicinol were 7.7+/-2.0 and 26.3+/-9.7 ng/ml at 40 mg/m(2) and increased to 14.8+3.0 and 47.4+12.6 ng/ml at 70 mg/m(2).,High-dose consolidation chemotherapy with Idarubicin and alkylating agents following induction with gemcitabine-epirubicin-paclitaxel in metastatic breast cancer: a dose finding study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12621462/),[ng] / [ml],7.7,5057,DB00120,L-Phenylalanine
,12621462,C(max),C(max) of Idarubicin and idarubicinol were 7.7+/-2.0 and 26.3+/-9.7 ng/ml at 40 mg/m(2) and increased to 14.8+3.0 and 47.4+12.6 ng/ml at 70 mg/m(2).,High-dose consolidation chemotherapy with Idarubicin and alkylating agents following induction with gemcitabine-epirubicin-paclitaxel in metastatic breast cancer: a dose finding study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12621462/),[ng] / [ml],26.3,5058,DB00120,L-Phenylalanine
,12621462,C(max),C(max) of Idarubicin and idarubicinol were 7.7+/-2.0 and 26.3+/-9.7 ng/ml at 40 mg/m(2) and increased to 14.8+3.0 and 47.4+12.6 ng/ml at 70 mg/m(2).,High-dose consolidation chemotherapy with Idarubicin and alkylating agents following induction with gemcitabine-epirubicin-paclitaxel in metastatic breast cancer: a dose finding study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12621462/),[ng] / [ml],14.8,5059,DB00120,L-Phenylalanine
,12621462,C(max),C(max) of Idarubicin and idarubicinol were 7.7+/-2.0 and 26.3+/-9.7 ng/ml at 40 mg/m(2) and increased to 14.8+3.0 and 47.4+12.6 ng/ml at 70 mg/m(2).,High-dose consolidation chemotherapy with Idarubicin and alkylating agents following induction with gemcitabine-epirubicin-paclitaxel in metastatic breast cancer: a dose finding study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12621462/),[ng] / [ml],47.4,5060,DB00120,L-Phenylalanine
