Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15301728,Tmax,"In the homo EMs and the PMs groups, the main kinetic parameters were as follows: Tmax (2.44+/-0.85) and (2.33+/-0.94) h, Cmax(1.10+/-0.34) and (1.73+/-0.56) mg/L, Cl/F (16.55+/-0.38) and (3.58+/-1) L/h, T1/2ke (1.96+/-0.51) and (4.21+/-0.53) h, AUC were (3.23+/-0.08) and (11.05+/-0.23) mg.L(-1).",Pharmacokinetics of lansoprazole in Chinese healthy subjects in relation to CYP2C19 genotypes. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15301728/),h,2.44,227,DB00448,Lansoprazole
,15301728,Tmax,"In the homo EMs and the PMs groups, the main kinetic parameters were as follows: Tmax (2.44+/-0.85) and (2.33+/-0.94) h, Cmax(1.10+/-0.34) and (1.73+/-0.56) mg/L, Cl/F (16.55+/-0.38) and (3.58+/-1) L/h, T1/2ke (1.96+/-0.51) and (4.21+/-0.53) h, AUC were (3.23+/-0.08) and (11.05+/-0.23) mg.L(-1).",Pharmacokinetics of lansoprazole in Chinese healthy subjects in relation to CYP2C19 genotypes. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15301728/),h,2.33,228,DB00448,Lansoprazole
,15301728,Cmax,"In the homo EMs and the PMs groups, the main kinetic parameters were as follows: Tmax (2.44+/-0.85) and (2.33+/-0.94) h, Cmax(1.10+/-0.34) and (1.73+/-0.56) mg/L, Cl/F (16.55+/-0.38) and (3.58+/-1) L/h, T1/2ke (1.96+/-0.51) and (4.21+/-0.53) h, AUC were (3.23+/-0.08) and (11.05+/-0.23) mg.L(-1).",Pharmacokinetics of lansoprazole in Chinese healthy subjects in relation to CYP2C19 genotypes. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15301728/),[mg] / [l],1.10,229,DB00448,Lansoprazole
,15301728,Cmax,"In the homo EMs and the PMs groups, the main kinetic parameters were as follows: Tmax (2.44+/-0.85) and (2.33+/-0.94) h, Cmax(1.10+/-0.34) and (1.73+/-0.56) mg/L, Cl/F (16.55+/-0.38) and (3.58+/-1) L/h, T1/2ke (1.96+/-0.51) and (4.21+/-0.53) h, AUC were (3.23+/-0.08) and (11.05+/-0.23) mg.L(-1).",Pharmacokinetics of lansoprazole in Chinese healthy subjects in relation to CYP2C19 genotypes. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15301728/),[mg] / [l],1.73,230,DB00448,Lansoprazole
,15301728,Cl/F,"In the homo EMs and the PMs groups, the main kinetic parameters were as follows: Tmax (2.44+/-0.85) and (2.33+/-0.94) h, Cmax(1.10+/-0.34) and (1.73+/-0.56) mg/L, Cl/F (16.55+/-0.38) and (3.58+/-1) L/h, T1/2ke (1.96+/-0.51) and (4.21+/-0.53) h, AUC were (3.23+/-0.08) and (11.05+/-0.23) mg.L(-1).",Pharmacokinetics of lansoprazole in Chinese healthy subjects in relation to CYP2C19 genotypes. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15301728/),[l] / [h],16.55,231,DB00448,Lansoprazole
,15301728,Cl/F,"In the homo EMs and the PMs groups, the main kinetic parameters were as follows: Tmax (2.44+/-0.85) and (2.33+/-0.94) h, Cmax(1.10+/-0.34) and (1.73+/-0.56) mg/L, Cl/F (16.55+/-0.38) and (3.58+/-1) L/h, T1/2ke (1.96+/-0.51) and (4.21+/-0.53) h, AUC were (3.23+/-0.08) and (11.05+/-0.23) mg.L(-1).",Pharmacokinetics of lansoprazole in Chinese healthy subjects in relation to CYP2C19 genotypes. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15301728/),[l] / [h],3.58,232,DB00448,Lansoprazole
,15301728,T1/2ke,"In the homo EMs and the PMs groups, the main kinetic parameters were as follows: Tmax (2.44+/-0.85) and (2.33+/-0.94) h, Cmax(1.10+/-0.34) and (1.73+/-0.56) mg/L, Cl/F (16.55+/-0.38) and (3.58+/-1) L/h, T1/2ke (1.96+/-0.51) and (4.21+/-0.53) h, AUC were (3.23+/-0.08) and (11.05+/-0.23) mg.L(-1).",Pharmacokinetics of lansoprazole in Chinese healthy subjects in relation to CYP2C19 genotypes. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15301728/),h,1.96,233,DB00448,Lansoprazole
,15301728,T1/2ke,"In the homo EMs and the PMs groups, the main kinetic parameters were as follows: Tmax (2.44+/-0.85) and (2.33+/-0.94) h, Cmax(1.10+/-0.34) and (1.73+/-0.56) mg/L, Cl/F (16.55+/-0.38) and (3.58+/-1) L/h, T1/2ke (1.96+/-0.51) and (4.21+/-0.53) h, AUC were (3.23+/-0.08) and (11.05+/-0.23) mg.L(-1).",Pharmacokinetics of lansoprazole in Chinese healthy subjects in relation to CYP2C19 genotypes. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15301728/),h,4.21,234,DB00448,Lansoprazole
,15301728,AUC,"In the homo EMs and the PMs groups, the main kinetic parameters were as follows: Tmax (2.44+/-0.85) and (2.33+/-0.94) h, Cmax(1.10+/-0.34) and (1.73+/-0.56) mg/L, Cl/F (16.55+/-0.38) and (3.58+/-1) L/h, T1/2ke (1.96+/-0.51) and (4.21+/-0.53) h, AUC were (3.23+/-0.08) and (11.05+/-0.23) mg.L(-1).",Pharmacokinetics of lansoprazole in Chinese healthy subjects in relation to CYP2C19 genotypes. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15301728/),[mg] / [l],3.23,235,DB00448,Lansoprazole
,15301728,AUC,"In the homo EMs and the PMs groups, the main kinetic parameters were as follows: Tmax (2.44+/-0.85) and (2.33+/-0.94) h, Cmax(1.10+/-0.34) and (1.73+/-0.56) mg/L, Cl/F (16.55+/-0.38) and (3.58+/-1) L/h, T1/2ke (1.96+/-0.51) and (4.21+/-0.53) h, AUC were (3.23+/-0.08) and (11.05+/-0.23) mg.L(-1).",Pharmacokinetics of lansoprazole in Chinese healthy subjects in relation to CYP2C19 genotypes. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15301728/),[mg] / [l],11.05,236,DB00448,Lansoprazole
