Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24368101,water solubility,"LTNPs elevated the water solubility of the drug from 0.007 mg/mL to over 10 mg/mL, which was better than most commercially available injection solvents.",Incorporation of lapatinib into core-shell nanoparticles improves both the solubility and anti-glioma effects of the drug. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24368101/),[mg] / [ml],0.007,24619,DB01259,Lapatinib
over,24368101,water solubility,"LTNPs elevated the water solubility of the drug from 0.007 mg/mL to over 10 mg/mL, which was better than most commercially available injection solvents.",Incorporation of lapatinib into core-shell nanoparticles improves both the solubility and anti-glioma effects of the drug. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24368101/),[mg] / [ml],10,24620,DB01259,Lapatinib
,19554571,IC(50),"The median IC(50) value for lapatinib against the entire PPTP cell line panel was 6.84 microM (range, 2.08 to >10.0 microM).",Initial testing (stage 1) of lapatinib by the pediatric preclinical testing program. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19554571/),μM,6.84,42055,DB01259,Lapatinib
,27121938,bioavailability,"Esomeprazole treatment resulted in decreased lapatinib bioavailability (mean 26%, range 6-49%) that was inversely associated with patient age as a significant covariate.",Effects of Esomeprazole on the Pharmacokinetics of Lapatinib in Breast Cancer Patients. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121938/),%,26,44928,DB01259,Lapatinib
,21553932,Absolute bioavailability,Absolute bioavailability of gefitinib and erlotinib is about 60%.,Clinical pharmacokinetics of tyrosine kinase inhibitors: focus on 4-anilinoquinazolines. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21553932/),%,60,50892,DB01259,Lapatinib
,19426700,t(1/2),The elimination half-life was comparable (t(1/2)=5.3h vs. t(1/2)=4h).,Disposition of everolimus in mdr1a-/1b- mice and after a pre-treatment of lapatinib in Swiss mice. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19426700/),h,5.3,61757,DB01259,Lapatinib
,19426700,t(1/2),The elimination half-life was comparable (t(1/2)=5.3h vs. t(1/2)=4h).,Disposition of everolimus in mdr1a-/1b- mice and after a pre-treatment of lapatinib in Swiss mice. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19426700/),h,4,61758,DB01259,Lapatinib
,19052038,maximum tolerated dose,The maximum tolerated dose was 1800 mg/day.,"Phase I dose-escalation and pharmacokinetic trial of lapatinib (GW572016), a selective oral dual inhibitor of ErbB-1 and -2 tyrosine kinases, in Japanese patients with solid tumors. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19052038/),,1800,75890,DB01259,Lapatinib
,27902470,progression free survival(PFS),"Patients with HRAS mutation achieved longer progression free survival(PFS) (24.9 vs 12.9 weeks, p=0.023, HR=0.291).","Phase I study of QLNC120, a novel EGFR and HER2 kinase inhibitor, in pre-treated patients with HER2-overexpressing advanced breast cancer. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27902470/),weeks,24.9,85312,DB01259,Lapatinib
,27902470,progression free survival(PFS),"Patients with HRAS mutation achieved longer progression free survival(PFS) (24.9 vs 12.9 weeks, p=0.023, HR=0.291).","Phase I study of QLNC120, a novel EGFR and HER2 kinase inhibitor, in pre-treated patients with HER2-overexpressing advanced breast cancer. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27902470/),weeks,12.9,85313,DB01259,Lapatinib
,24365980,constant flow rate,"After protein precipitation with acetonitrile, sorafenib and lapatinib (internal standard) were separated using isocratic elution on a Kromasil C18 column using a mobile phase of acetonitrile and 20 mmol/L ammonium acetate in a proportion 53:47 (vol/vol) pumped at a constant flow rate of 1.2 mL/min.",Development and validation of an HPLC-UV method for sorafenib quantification in human plasma and application to patients with cancer in routine clinical practice. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24365980/),[ml] / [min],1.2,97302,DB01259,Lapatinib
>,24365980,Recoveries,Recoveries of sorafenib from plasma were >99% in all cases.,Development and validation of an HPLC-UV method for sorafenib quantification in human plasma and application to patients with cancer in routine clinical practice. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24365980/),%,99,97303,DB01259,Lapatinib
,32535812,peak plasma concentration,"The mean selatinib peak plasma concentration was 69.4-494 ng/mL, which was achieved in a median peak time of 3.5-4.5 h, with a mean elimination half-life between 13.8 and 15.8 h.","First-in-human, phase I single-ascending-dose study of the safety, pharmacokinetics, and relative bioavailability of selatinib, a dual EGFR-ErbB2 inhibitor in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32535812/),[ng] / [ml],69.4-494,101701,DB01259,Lapatinib
,32535812,peak time,"The mean selatinib peak plasma concentration was 69.4-494 ng/mL, which was achieved in a median peak time of 3.5-4.5 h, with a mean elimination half-life between 13.8 and 15.8 h.","First-in-human, phase I single-ascending-dose study of the safety, pharmacokinetics, and relative bioavailability of selatinib, a dual EGFR-ErbB2 inhibitor in healthy subjects. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32535812/),h,3.5-4.5,101702,DB01259,Lapatinib
