Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,19451403,half-life,Lenalidomide exhibited a linear pharmacokinetics over a wide range of doses with the mean half-life of 3.9 hours.,Phase I study of oral lenalidomide in patients with refractory metastatic cancer. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19451403/),h,3.9,1887,DB00480,Lenalidomide
,19451403,CL/F,"The renal function affected lenalidomide clearance, resulting in 50% reduction in patients with mild renal impairment compared with patients with normal function (CL/F = 243 mL/min).",Phase I study of oral lenalidomide in patients with refractory metastatic cancer. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19451403/),[ml] / [min],243,1888,DB00480,Lenalidomide
,25594893,flow rate,"Chromatographic separation of analytes was performed on YMC pack ODS AM (150 mm × 4.6 mm, 5 μm) column under gradient conditions with acetonitrile:0.1% formic acid buffer as the mobile phases at a flow rate of 1 ml/min.","Simultaneous quantification of lenalidomide, ibrutinib and its active metabolite PCI-45227 in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25594893/),[ml] / [min],1,10969,DB00480,Lenalidomide
,25594893,extraction recovery,"Mean extraction recovery for ibrutinib, PCI-45227, lenalidomide and IS of 75.2%, 84.5%, 97.3% and 92.3% were consistent across low, medium, and high QC levels.","Simultaneous quantification of lenalidomide, ibrutinib and its active metabolite PCI-45227 in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25594893/),%,75.2,10970,DB00480,Lenalidomide
,25594893,extraction recovery,"Mean extraction recovery for ibrutinib, PCI-45227, lenalidomide and IS of 75.2%, 84.5%, 97.3% and 92.3% were consistent across low, medium, and high QC levels.","Simultaneous quantification of lenalidomide, ibrutinib and its active metabolite PCI-45227 in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25594893/),%,84.5,10971,DB00480,Lenalidomide
,25594893,extraction recovery,"Mean extraction recovery for ibrutinib, PCI-45227, lenalidomide and IS of 75.2%, 84.5%, 97.3% and 92.3% were consistent across low, medium, and high QC levels.","Simultaneous quantification of lenalidomide, ibrutinib and its active metabolite PCI-45227 in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25594893/),%,97.3,10972,DB00480,Lenalidomide
,25594893,extraction recovery,"Mean extraction recovery for ibrutinib, PCI-45227, lenalidomide and IS of 75.2%, 84.5%, 97.3% and 92.3% were consistent across low, medium, and high QC levels.","Simultaneous quantification of lenalidomide, ibrutinib and its active metabolite PCI-45227 in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25594893/),%,92.3,10973,DB00480,Lenalidomide
,24486861,extraction recovery,"Pomalidomide was stable in plasma through 4 freeze-thaw cycles (<12% change), in plasma at room temperature for up to 2h for samples not pre-stabilized with 0.1% HCl and up to 8h in samples pre-stabilized with 0.1% HCl, 24h post-preparation at 4°C (<2% change), and showed excellent extraction recovery (∼90%).",A sensitive and robust HPLC assay with fluorescence detection for the quantification of pomalidomide in human plasma for pharmacokinetic analyses. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24486861/),%,∼90,20504,DB00480,Lenalidomide
,26337806,T max,Ixazomib was rapidly absorbed with a median T max of 1.5 h on day 1 and 2.0 h on day 15 of cycle 1 and had a geometric mean terminal half-life of 6.1 days.,Pharmacokinetics and safety of ixazomib plus lenalidomide-dexamethasone in Asian patients with relapsed/refractory myeloma: a phase 1 study. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26337806/),h,1.5,33350,DB00480,Lenalidomide
,26337806,T max,Ixazomib was rapidly absorbed with a median T max of 1.5 h on day 1 and 2.0 h on day 15 of cycle 1 and had a geometric mean terminal half-life of 6.1 days.,Pharmacokinetics and safety of ixazomib plus lenalidomide-dexamethasone in Asian patients with relapsed/refractory myeloma: a phase 1 study. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26337806/),h,2.0,33351,DB00480,Lenalidomide
