Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,19033449,AUC,"AUC values were significantly higher for (-)-3S,5R-FV than for (+)-3R,5S-FV (358.20 vs 279.68 ng.h/mL) and for S-LER compared with R-LER (13.90 vs 11.88 ng.h/mL).",Enantioselectivity in the pharmacokinetic interaction between fluvastatin and lercanidipine in healthy volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19033449/),[h·ng] / [ml],358.20,5369,DB00528,Lercanidipine
,19033449,AUC,"AUC values were significantly higher for (-)-3S,5R-FV than for (+)-3R,5S-FV (358.20 vs 279.68 ng.h/mL) and for S-LER compared with R-LER (13.90 vs 11.88 ng.h/mL).",Enantioselectivity in the pharmacokinetic interaction between fluvastatin and lercanidipine in healthy volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19033449/),[h·ng] / [ml],279.68,5370,DB00528,Lercanidipine
,19033449,AUC,"AUC values were significantly higher for (-)-3S,5R-FV than for (+)-3R,5S-FV (358.20 vs 279.68 ng.h/mL) and for S-LER compared with R-LER (13.90 vs 11.88 ng.h/mL).",Enantioselectivity in the pharmacokinetic interaction between fluvastatin and lercanidipine in healthy volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19033449/),[h·ng] / [ml],13.90,5371,DB00528,Lercanidipine
,19033449,AUC,"AUC values were significantly higher for (-)-3S,5R-FV than for (+)-3R,5S-FV (358.20 vs 279.68 ng.h/mL) and for S-LER compared with R-LER (13.90 vs 11.88 ng.h/mL).",Enantioselectivity in the pharmacokinetic interaction between fluvastatin and lercanidipine in healthy volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19033449/),[h·ng] / [ml],11.88,5372,DB00528,Lercanidipine
,19033449,AUC,"The pharmacokinetic parameters of FV were not enantioselective when combined with LER (AUC: (-)-3S,5R-FV: 325.21; (+)-3R,5S-FV: 316.44 ng.h/mL).",Enantioselectivity in the pharmacokinetic interaction between fluvastatin and lercanidipine in healthy volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19033449/),[h·ng] / [ml],325.21,5373,DB00528,Lercanidipine
,19033449,AUC,"The pharmacokinetic parameters of FV were not enantioselective when combined with LER (AUC: (-)-3S,5R-FV: 325.21; (+)-3R,5S-FV: 316.44 ng.h/mL).",Enantioselectivity in the pharmacokinetic interaction between fluvastatin and lercanidipine in healthy volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19033449/),[h·ng] / [ml],316.44,5374,DB00528,Lercanidipine
,19033449,AUC,There was a significant reduction in S-LER (8.06 vs 13.90 ng.h/mL) and R-LER (6.76 vs 11.88 ng.h/mL) AUC values when FV was coadministered.,Enantioselectivity in the pharmacokinetic interaction between fluvastatin and lercanidipine in healthy volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19033449/),[h·ng] / [ml],6.76,5375,DB00528,Lercanidipine
,31353479,plasma exposure,Carvedilol pharmacokinetics (data presented as median) were enantioselective with higher plasma exposure of (R)-(+)-carvedilol in both control (103.5 vs 46.0 ng ∙ h/mL) and CKD (190.6 vs 98.9 ng ∙ h/mL) groups.,Effect of Lercanidipine on the Pharmacokinetics-Pharmacodynamics of Carvedilol Enantiomers in Patients With Chronic Kidney Disease. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31353479/),[h·ng·∙] / [ml],103.5,50147,DB00528,Lercanidipine
,31353479,plasma exposure,Carvedilol pharmacokinetics (data presented as median) were enantioselective with higher plasma exposure of (R)-(+)-carvedilol in both control (103.5 vs 46.0 ng ∙ h/mL) and CKD (190.6 vs 98.9 ng ∙ h/mL) groups.,Effect of Lercanidipine on the Pharmacokinetics-Pharmacodynamics of Carvedilol Enantiomers in Patients With Chronic Kidney Disease. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31353479/),[h·ng·∙] / [ml],46.0,50148,DB00528,Lercanidipine
,31353479,plasma exposure,Carvedilol pharmacokinetics (data presented as median) were enantioselective with higher plasma exposure of (R)-(+)-carvedilol in both control (103.5 vs 46.0 ng ∙ h/mL) and CKD (190.6 vs 98.9 ng ∙ h/mL) groups.,Effect of Lercanidipine on the Pharmacokinetics-Pharmacodynamics of Carvedilol Enantiomers in Patients With Chronic Kidney Disease. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31353479/),[h·ng·∙] / [ml],190.6,50149,DB00528,Lercanidipine
