Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15198506,liver/tumor uptake ratio,"The liver/tumor uptake ratio of free drug, conventional (LL), and sterically stabilized liposomes (SLL5000 and SLL2000) was found to be 20, 7.99, 1.63, and 1.23, respectively, which showed the increased accumulation of sterically stabilized liposomes in tumor compared with the free drug and conventional liposomes at 24 hours postinjection.","Preparation, characterization, and biodistribution study of technetium-99m -labeled leuprolide acetate-loaded liposomes in Ehrlich ascites tumor-bearing mice. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15198506/),,20,14518,DB00007,Leuprolide
,15198506,liver/tumor uptake ratio,"The liver/tumor uptake ratio of free drug, conventional (LL), and sterically stabilized liposomes (SLL5000 and SLL2000) was found to be 20, 7.99, 1.63, and 1.23, respectively, which showed the increased accumulation of sterically stabilized liposomes in tumor compared with the free drug and conventional liposomes at 24 hours postinjection.","Preparation, characterization, and biodistribution study of technetium-99m -labeled leuprolide acetate-loaded liposomes in Ehrlich ascites tumor-bearing mice. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15198506/),,7.99,14519,DB00007,Leuprolide
,15198506,liver/tumor uptake ratio,"The liver/tumor uptake ratio of free drug, conventional (LL), and sterically stabilized liposomes (SLL5000 and SLL2000) was found to be 20, 7.99, 1.63, and 1.23, respectively, which showed the increased accumulation of sterically stabilized liposomes in tumor compared with the free drug and conventional liposomes at 24 hours postinjection.","Preparation, characterization, and biodistribution study of technetium-99m -labeled leuprolide acetate-loaded liposomes in Ehrlich ascites tumor-bearing mice. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15198506/),,1.63,14520,DB00007,Leuprolide
,15198506,liver/tumor uptake ratio,"The liver/tumor uptake ratio of free drug, conventional (LL), and sterically stabilized liposomes (SLL5000 and SLL2000) was found to be 20, 7.99, 1.63, and 1.23, respectively, which showed the increased accumulation of sterically stabilized liposomes in tumor compared with the free drug and conventional liposomes at 24 hours postinjection.","Preparation, characterization, and biodistribution study of technetium-99m -labeled leuprolide acetate-loaded liposomes in Ehrlich ascites tumor-bearing mice. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15198506/),,1.23,14521,DB00007,Leuprolide
,30653693,Relative recoveries,"Relative recoveries of leuprolide and triptorelin were found to be 80.3 and 75.5%, respectively.",Quantification of controlled release leuprolide and triptorelin in rabbit plasma using electromembrane extraction coupled with HPLC-UV. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30653693/),%,80.3,19485,DB00007,Leuprolide
,30653693,Relative recoveries,"Relative recoveries of leuprolide and triptorelin were found to be 80.3 and 75.5%, respectively.",Quantification of controlled release leuprolide and triptorelin in rabbit plasma using electromembrane extraction coupled with HPLC-UV. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30653693/),%,75.5,19486,DB00007,Leuprolide
,30653693,Limits,"Limits of quantification and detection for both peptides were found to be 0.5 and 0.15 ng/mL, respectively.",Quantification of controlled release leuprolide and triptorelin in rabbit plasma using electromembrane extraction coupled with HPLC-UV. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30653693/),[ng] / [ml],0.5,19487,DB00007,Leuprolide
,22421322,zeta potential,"The thiolated (chitosan-TGA) NPs had a mean size of 252 ± 82 nm, a zeta potential of +10.9 ± 4 mV, and payload of leuprolide was 12 ± 2.8.",Thiolated chitosan nanoparticles for the nasal administration of leuprolide: bioavailability and pharmacokinetic characterization. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22421322/),m,10.9,32560,DB00007,Leuprolide
,22421322,relative nasal bioavailability,The relative nasal bioavailability (versus s.c. injection) of leuprolide thiolated NPs calculated on the basis of AUC((0-6)) was about 19.6% as compared to leuprolide solution 2.8%.,Thiolated chitosan nanoparticles for the nasal administration of leuprolide: bioavailability and pharmacokinetic characterization. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22421322/),%,19.6,32561,DB00007,Leuprolide
,22421322,relative nasal bioavailability,The relative nasal bioavailability (versus s.c. injection) of leuprolide thiolated NPs calculated on the basis of AUC((0-6)) was about 19.6% as compared to leuprolide solution 2.8%.,Thiolated chitosan nanoparticles for the nasal administration of leuprolide: bioavailability and pharmacokinetic characterization. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22421322/),%,2.8,32562,DB00007,Leuprolide
,29434672,Cmax,"The initial surge of LA was higher for IM-LA than SC-LA (Cmax 27 ± 4.9 versus 19 ± 8.0 ng/ml, respectively), with a shorter tmax (1.0 ± 0.4 versus 2.1 ± 0.8 h).",Pharmacokinetic and pharmacodynamic comparison of subcutaneous versus intramuscular leuprolide acetate formulations in male subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29434672/),[ng] / [ml],27,37909,DB00007,Leuprolide
,29434672,Cmax,"The initial surge of LA was higher for IM-LA than SC-LA (Cmax 27 ± 4.9 versus 19 ± 8.0 ng/ml, respectively), with a shorter tmax (1.0 ± 0.4 versus 2.1 ± 0.8 h).",Pharmacokinetic and pharmacodynamic comparison of subcutaneous versus intramuscular leuprolide acetate formulations in male subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29434672/),[ng] / [ml],19,37910,DB00007,Leuprolide
,29434672,tmax,"The initial surge of LA was higher for IM-LA than SC-LA (Cmax 27 ± 4.9 versus 19 ± 8.0 ng/ml, respectively), with a shorter tmax (1.0 ± 0.4 versus 2.1 ± 0.8 h).",Pharmacokinetic and pharmacodynamic comparison of subcutaneous versus intramuscular leuprolide acetate formulations in male subjects. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29434672/),h,1.0,37911,DB00007,Leuprolide
,29434672,tmax,"The initial surge of LA was higher for IM-LA than SC-LA (Cmax 27 ± 4.9 versus 19 ± 8.0 ng/ml, respectively), with a shorter tmax (1.0 ± 0.4 versus 2.1 ± 0.8 h).",Pharmacokinetic and pharmacodynamic comparison of subcutaneous versus intramuscular leuprolide acetate formulations in male subjects. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29434672/),h,2.1,37912,DB00007,Leuprolide
,10425368,permeability coefficients,"In vitro permeability of leuprolide in the rabbit GI tract was performed using a side-by-side diffusion apparatus and the permeability coefficients in the jejunum, ileum and colon were 0.27x10(-7), 2.96x10(-7) and 7.85x10(-7)cm/s, respectively.",Permeability and absorption of leuprolide from various intestinal regions in rabbits and rats. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10425368/),[cm] / [s],0.27x10(-7),45316,DB00007,Leuprolide
