Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,28279893,apparent clearance (CL/F),"The typical population estimates of the apparent clearance (CL/F) and the volume of distribution (V/F) were 3.9L/h and 65.3L, respectively.",Population pharmacokinetics and dose-response relationship of levetiracetam in adult patients with epilepsy. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28279893/),[l] / [h],3.9,2616,DB01202,Levetiracetam
,28279893,volume of distribution (V/F),"The typical population estimates of the apparent clearance (CL/F) and the volume of distribution (V/F) were 3.9L/h and 65.3L, respectively.",Population pharmacokinetics and dose-response relationship of levetiracetam in adult patients with epilepsy. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28279893/),l,65.3,2617,DB01202,Levetiracetam
,17442002,half-life (t(1/2)),"The mean half-life (t(1/2)) of levetiracetam was 5.3 +/- 1.3 hours, and the apparent clearance was 1.46 +/- 0.42 mL/min/kg.",Pharmacokinetics of levetiracetam in infants and young children with epilepsy. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17442002/),h,5.3,5388,DB01202,Levetiracetam
,17442002,apparent clearance,"The mean half-life (t(1/2)) of levetiracetam was 5.3 +/- 1.3 hours, and the apparent clearance was 1.46 +/- 0.42 mL/min/kg.",Pharmacokinetics of levetiracetam in infants and young children with epilepsy. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17442002/),[ml] / [kg·min],1.46,5389,DB01202,Levetiracetam
,34051579,clearance (CL),Mean clearance (CL) was 3.55 L/h and volume of distribution (V) was 18.8 L.,Pharmacokinetics of levetiracetam in neurosurgical ICU patients. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34051579/),[l] / [h],3.55,6115,DB01202,Levetiracetam
,34051579,volume of distribution (V),Mean clearance (CL) was 3.55 L/h and volume of distribution (V) was 18.8 L.,Pharmacokinetics of levetiracetam in neurosurgical ICU patients. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34051579/),l,18.8,6116,DB01202,Levetiracetam
≥,34051579,trough at steady state,"Monte Carlo simulations showed a low probability of target attainment (PTA, trough at steady state of ≥6 mg/L) with a standard dose of 500 mg twice daily.",Pharmacokinetics of levetiracetam in neurosurgical ICU patients. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34051579/),[mg] / [l],6,6117,DB01202,Levetiracetam
,9454787,half-life,"Levetiracetam had a relatively short half-life (about 2-3 hr) in rats, so that any lasting effects of the drug after chronic administration were certainly not due to drug accumulation.",Antiepileptogenic effects of the novel anticonvulsant levetiracetam (ucb L059) in the kindling model of temporal lobe epilepsy. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9454787/),h,2-3,9877,DB01202,Levetiracetam
,31015006,absolute bioavailability,"Similar plasma pharmacokinetic profiles were obtained and the intranasal absolute bioavailability was 107.44%, underscoring that a high drug fraction was systemically absorbed.",Nose-to-brain delivery of levetiracetam after intranasal administration to mice. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31015006/),%,107.44,12542,DB01202,Levetiracetam
,31015006,maximum drug concentrations,"In brain tissue, maximum drug concentrations were 4.48 and 4.02 μg/g (intranasal vs intravenous) and the mean cerebral concentrations were significantly higher after intranasal administration.",Nose-to-brain delivery of levetiracetam after intranasal administration to mice. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31015006/),[μg] / [g],4.48,12543,DB01202,Levetiracetam
