Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,7907347,half-life,The decreased urinary excretion most likely contributed to the prolonged half-life (from 36 hours to 95 hours) and increased area under the plasma concentration-time curve (+56%) in the patients with renal insufficiency as compared with the healthy volunteers.,Pharmacokinetics of orally administered levocabastine in patients with renal insufficiency. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7907347/),h,36,8834,DB01106,Levocabastine
,7907347,half-life,The decreased urinary excretion most likely contributed to the prolonged half-life (from 36 hours to 95 hours) and increased area under the plasma concentration-time curve (+56%) in the patients with renal insufficiency as compared with the healthy volunteers.,Pharmacokinetics of orally administered levocabastine in patients with renal insufficiency. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7907347/),h,95,8835,DB01106,Levocabastine
,8549024,systemic availability,"Drug absorption is incomplete after intranasal and ocular administration, with systemic availability ranging from 60 to 80% for levocabastine nasal spray and from 30 to 60% for the eye drops.",The pharmacokinetic properties of topical levocabastine. A review. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8549024/),%,60 to 80,15319,DB01106,Levocabastine
,8549024,systemic availability,"Drug absorption is incomplete after intranasal and ocular administration, with systemic availability ranging from 60 to 80% for levocabastine nasal spray and from 30 to 60% for the eye drops.",The pharmacokinetic properties of topical levocabastine. A review. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8549024/),%,30 to 60,15320,DB01106,Levocabastine
,8549024,Cmax,"However, as the amount of levocabastine applied intranasally and ocularly is small, the levocabastine plasma concentrations achieved are extremely low, with Cmax values in the ranges 1.4 to 2.2 micrograms/L and 0.26 to 0.29 micrograms/L for intranasal and ocular administration, respectively.",The pharmacokinetic properties of topical levocabastine. A review. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8549024/),[μg] / [l],1.4 to 2.2,15321,DB01106,Levocabastine
,8549024,Cmax,"However, as the amount of levocabastine applied intranasally and ocularly is small, the levocabastine plasma concentrations achieved are extremely low, with Cmax values in the ranges 1.4 to 2.2 micrograms/L and 0.26 to 0.29 micrograms/L for intranasal and ocular administration, respectively.",The pharmacokinetic properties of topical levocabastine. A review. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8549024/),[μg] / [l],0.26 to 0.29,15322,DB01106,Levocabastine
,9987703,terminal half-life,"The mean terminal half-life was approximately 45 and 44 hours, respectively.",Lack of effect of erythromycin and ketoconazole on the pharmacokinetics and pharmacodynamics of steady-state intranasal levocabastine. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9987703/),h,45,72608,DB01106,Levocabastine
,9987703,terminal half-life,"The mean terminal half-life was approximately 45 and 44 hours, respectively.",Lack of effect of erythromycin and ketoconazole on the pharmacokinetics and pharmacodynamics of steady-state intranasal levocabastine. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9987703/),h,44,72609,DB01106,Levocabastine
,1685361,Serum elimination half-life,"Serum elimination half-life values differ greatly from 1 H1-RA to another, and are 24 h or less for terfenadine, astemizole, loratadine, cetirizine, azelastine and ebastine, and the active metabolites of terfenadine, loratadine and ebastine.",Pharmacokinetic optimisation of histamine H1-receptor antagonist therapy. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1685361/),h,24,110704,DB01106,Levocabastine
,1685361,serum elimination half-life,"The active metabolite of azelastine (demethylazelastine) has a serum elimination half-life value of about 2 days, while that of astemizole (demethyl-astemizole) has a value of 9.5 days.",Pharmacokinetic optimisation of histamine H1-receptor antagonist therapy. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1685361/),d,2,110705,DB01106,Levocabastine
,1685361,serum elimination half-life,"The active metabolite of azelastine (demethylazelastine) has a serum elimination half-life value of about 2 days, while that of astemizole (demethyl-astemizole) has a value of 9.5 days.",Pharmacokinetic optimisation of histamine H1-receptor antagonist therapy. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1685361/),d,9.5,110706,DB01106,Levocabastine
