Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24890474,flow rate,"Chromatographic separation was achieved on a Zorbax XDB-Phenyl column (4.6 × 75 mm, 3.5 µm) under isocratic conditions using acetonitrile-5 mm ammonium acetate (70:30, v/v) at a flow rate of 0.60 mL/min.","A simple, rapid and sensitive liquid chromatography-tandem mass spectrometry method for the determination of dienogest in human plasma and its pharmacokinetic applications under fasting. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24890474/),[ml] / [min],0.60,1873,DB00367,Levonorgestrel
,24890474,m/,"The protonated precursor to product ion transitions monitored for dienogest and IS were at m/z 312.30 → 135.30 and 319.00 → 251.30, respectively.","A simple, rapid and sensitive liquid chromatography-tandem mass spectrometry method for the determination of dienogest in human plasma and its pharmacokinetic applications under fasting. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24890474/),,312.30,1874,DB00367,Levonorgestrel
,24890474,m/,"The protonated precursor to product ion transitions monitored for dienogest and IS were at m/z 312.30 → 135.30 and 319.00 → 251.30, respectively.","A simple, rapid and sensitive liquid chromatography-tandem mass spectrometry method for the determination of dienogest in human plasma and its pharmacokinetic applications under fasting. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24890474/),,319.00,1875,DB00367,Levonorgestrel
,24890474,total analysis time,The method was validated with a linearity range of 1.003-200.896 ng/mL having a total analysis time for each chromatograph of 3.0 min.,"A simple, rapid and sensitive liquid chromatography-tandem mass spectrometry method for the determination of dienogest in human plasma and its pharmacokinetic applications under fasting. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24890474/),min,3.0,1876,DB00367,Levonorgestrel
>,26409262,Recovery efficiency,"Recovery efficiency at three quality control (QC) concentrations 0.5 (low), 5 (medium) and 50 (high) ng·mL(-1) was found to be >90%.",Development and validation of sensitive LC/MS/MS method for quantitative bioanalysis of levonorgestrel in rat plasma and application to pharmacokinetics study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26409262/),%,90,1928,DB00367,Levonorgestrel
,10496299,absolute bioavailability,It is rapidly absorbed with an absolute bioavailability of between 40 and 50%.,Clinical pharmacokinetics of troglitazone. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10496299/),%,40 and 50,2272,DB00367,Levonorgestrel
,10496299,elimination half-life,"The mean elimination half-life ranges from 7.6 to 24 hours, which facilitates a once daily administration regimen.",Clinical pharmacokinetics of troglitazone. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10496299/),h,7.6 to 24,2273,DB00367,Levonorgestrel
,3156263,sensitivity,The sensitivity of the assay was approx 0.02 ng/ml.,A non-chromatographic radioimmunoassay for 3-oxo desogestrel. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3156263/),[ng] / [ml],0.02,3099,DB00367,Levonorgestrel
,3156263,peak concentrations,"The peak concentrations of 3-oxo desogestrel after a 150 micrograms dose of desogestrel in three subjects were between 0.48-0.71 ng/ml, and in two subjects 3-oxo desogestrel was still detectable 24 h after dosing.",A non-chromatographic radioimmunoassay for 3-oxo desogestrel. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3156263/),[ng] / [ml],0.48-0.71,3100,DB00367,Levonorgestrel
,24726226,total content,"Levonorgestrel intrauterine system 13.5 mg, LNG-IUS 19.5 mg, or LNG-IUS 20 μg/24 h (total content 52 mg).",Pharmacokinetics of two low-dose levonorgestrel-releasing intrauterine systems and effects on ovulation rate and cervical function: pooled analyses of phase II and III studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24726226/),mg,52,3541,DB00367,Levonorgestrel
,24726226,release rate,"The in vivo LNG release rate of LNG-IUS 13.5 mg was approximately 14 μg/24 h after 24 days, declining progressively to 5 μg/24 h after 3 years.",Pharmacokinetics of two low-dose levonorgestrel-releasing intrauterine systems and effects on ovulation rate and cervical function: pooled analyses of phase II and III studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24726226/),[μg] / [24·h],14,3542,DB00367,Levonorgestrel
,24726226,release rate,"The in vivo LNG release rate of LNG-IUS 13.5 mg was approximately 14 μg/24 h after 24 days, declining progressively to 5 μg/24 h after 3 years.",Pharmacokinetics of two low-dose levonorgestrel-releasing intrauterine systems and effects on ovulation rate and cervical function: pooled analyses of phase II and III studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24726226/),[μg] / [24·h],5,3543,DB00367,Levonorgestrel
,24726226,serum concentration,"The average LNG serum concentration over 3 years of use was 74.3 ng/L, 114 ng/L, and 218 ng/L for LNG-IUS 13.5 mg, LNG-IUS 19.5 mg, and LNG-IUS 20 μg/24 h, respectively.",Pharmacokinetics of two low-dose levonorgestrel-releasing intrauterine systems and effects on ovulation rate and cervical function: pooled analyses of phase II and III studies. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24726226/),[ng] / [l],74.3,3544,DB00367,Levonorgestrel
,24726226,serum concentration,"The average LNG serum concentration over 3 years of use was 74.3 ng/L, 114 ng/L, and 218 ng/L for LNG-IUS 13.5 mg, LNG-IUS 19.5 mg, and LNG-IUS 20 μg/24 h, respectively.",Pharmacokinetics of two low-dose levonorgestrel-releasing intrauterine systems and effects on ovulation rate and cervical function: pooled analyses of phase II and III studies. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24726226/),[ng] / [l],114,3545,DB00367,Levonorgestrel
,24726226,serum concentration,"The average LNG serum concentration over 3 years of use was 74.3 ng/L, 114 ng/L, and 218 ng/L for LNG-IUS 13.5 mg, LNG-IUS 19.5 mg, and LNG-IUS 20 μg/24 h, respectively.",Pharmacokinetics of two low-dose levonorgestrel-releasing intrauterine systems and effects on ovulation rate and cervical function: pooled analyses of phase II and III studies. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24726226/),[ng] / [l],218,3546,DB00367,Levonorgestrel
,30120779,flow rate,The flow rate was 0.8 mL/min and the injection volume was 10 μL.,Quantitative determination of levonorgestrel in beagle dog plasma after vaginal administration of intravaginal ring by high-performance liquid chromatography-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30120779/),[ml] / [min],0.8,7486,DB00367,Levonorgestrel
,30120779,injection volume,The flow rate was 0.8 mL/min and the injection volume was 10 μL.,Quantitative determination of levonorgestrel in beagle dog plasma after vaginal administration of intravaginal ring by high-performance liquid chromatography-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30120779/),μl,10,7487,DB00367,Levonorgestrel
,30120779,m/z,Quantitative analysis was carried out at m/z 313.0 → 108.9 and m/z 472.6 → 436.2 for LNG and IS respectively.,Quantitative determination of levonorgestrel in beagle dog plasma after vaginal administration of intravaginal ring by high-performance liquid chromatography-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30120779/),,313.0,7488,DB00367,Levonorgestrel
,30120779,m/z,Quantitative analysis was carried out at m/z 313.0 → 108.9 and m/z 472.6 → 436.2 for LNG and IS respectively.,Quantitative determination of levonorgestrel in beagle dog plasma after vaginal administration of intravaginal ring by high-performance liquid chromatography-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30120779/),,108.9,7489,DB00367,Levonorgestrel
,30120779,m/z,Quantitative analysis was carried out at m/z 313.0 → 108.9 and m/z 472.6 → 436.2 for LNG and IS respectively.,Quantitative determination of levonorgestrel in beagle dog plasma after vaginal administration of intravaginal ring by high-performance liquid chromatography-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30120779/),,472.6,7490,DB00367,Levonorgestrel
,30120779,m/z,Quantitative analysis was carried out at m/z 313.0 → 108.9 and m/z 472.6 → 436.2 for LNG and IS respectively.,Quantitative determination of levonorgestrel in beagle dog plasma after vaginal administration of intravaginal ring by high-performance liquid chromatography-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30120779/),,436.2,7491,DB00367,Levonorgestrel
,3814762,Elimination half-lives,"Elimination half-lives were shorter in the patients than in the 9 healthy subjects (1.98 +/- 0.48 versus 2.73 +/- 0.76 h, mean +/- SD, 0.02 less than p less than 0.05), and total clearances higher (4.20 +/- 0.53 versus 2.96 +/- 0.54 ml X min-1 X kg-1, p less than 0.02), while the volumes of distribution did not differ significantly.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),h,1.98,8399,DB00367,Levonorgestrel
,3814762,Elimination half-lives,"Elimination half-lives were shorter in the patients than in the 9 healthy subjects (1.98 +/- 0.48 versus 2.73 +/- 0.76 h, mean +/- SD, 0.02 less than p less than 0.05), and total clearances higher (4.20 +/- 0.53 versus 2.96 +/- 0.54 ml X min-1 X kg-1, p less than 0.02), while the volumes of distribution did not differ significantly.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),h,2.73,8400,DB00367,Levonorgestrel
,3814762,total clearances,"Elimination half-lives were shorter in the patients than in the 9 healthy subjects (1.98 +/- 0.48 versus 2.73 +/- 0.76 h, mean +/- SD, 0.02 less than p less than 0.05), and total clearances higher (4.20 +/- 0.53 versus 2.96 +/- 0.54 ml X min-1 X kg-1, p less than 0.02), while the volumes of distribution did not differ significantly.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),[ml] / [kg·min],4.20,8401,DB00367,Levonorgestrel
,3814762,total clearances,"Elimination half-lives were shorter in the patients than in the 9 healthy subjects (1.98 +/- 0.48 versus 2.73 +/- 0.76 h, mean +/- SD, 0.02 less than p less than 0.05), and total clearances higher (4.20 +/- 0.53 versus 2.96 +/- 0.54 ml X min-1 X kg-1, p less than 0.02), while the volumes of distribution did not differ significantly.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),[ml] / [kg·min],2.96,8402,DB00367,Levonorgestrel
,3814762,elimination half-life,"Among the healthy subjects, the oral contraceptive group exhibited a longer elimination half-life, and a lower total clearance, than each of the other two groups, who gave similar results (respectively 4.75 +/- 1.27, 3.05 +/- 0.75, and 2.33 +/- 0.66 h, p less than or equal to 0.05; 1.91 +/- 0.57, 2.95 +/- 0.60, and 2.97 +/- 0.57 ml X min-1 X kg-1, p less than or equal to 0.05); the volumes of distribution were not significantly different.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),h,4.75,8403,DB00367,Levonorgestrel
