Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,7879985,Half-life,Half-life of 8.82 hours and mean residence time of 12.18 hours were determined for MMI.,Pharmacokinetics and short-term clinicopathologic changes after intravenous administration of a high dose of methimazole in dogs. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7879985/),h,8.82,724,DB00451,Levothyroxine
,7879985,mean residence time,Half-life of 8.82 hours and mean residence time of 12.18 hours were determined for MMI.,Pharmacokinetics and short-term clinicopathologic changes after intravenous administration of a high dose of methimazole in dogs. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7879985/),h,12.18,725,DB00451,Levothyroxine
,2126579,half-life (t1/2),"In the euthyroid subjects, TRH blood levels had a half-life (t1/2) of 6.5 +/- 0.41 min, mean +/- SD, while t1/2 was 7.2 +/- 0.62 min in the hyperthyroid and t1/2 was 12 +/- 1.67 min (p less than 0.001) in the hypothyroid patients.",Single-compartment model analysis of thyrotropin-releasing hormone kinetics in hyper- and hypothyroid patients. Kinetic studies using a combined system of RIA and FPLC. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2126579/),min,6.5,951,DB00451,Levothyroxine
,2126579,t1/2,"In the euthyroid subjects, TRH blood levels had a half-life (t1/2) of 6.5 +/- 0.41 min, mean +/- SD, while t1/2 was 7.2 +/- 0.62 min in the hyperthyroid and t1/2 was 12 +/- 1.67 min (p less than 0.001) in the hypothyroid patients.",Single-compartment model analysis of thyrotropin-releasing hormone kinetics in hyper- and hypothyroid patients. Kinetic studies using a combined system of RIA and FPLC. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2126579/),min,7.2,952,DB00451,Levothyroxine
,2126579,t1/2,"In the euthyroid subjects, TRH blood levels had a half-life (t1/2) of 6.5 +/- 0.41 min, mean +/- SD, while t1/2 was 7.2 +/- 0.62 min in the hyperthyroid and t1/2 was 12 +/- 1.67 min (p less than 0.001) in the hypothyroid patients.",Single-compartment model analysis of thyrotropin-releasing hormone kinetics in hyper- and hypothyroid patients. Kinetic studies using a combined system of RIA and FPLC. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2126579/),min,12,953,DB00451,Levothyroxine
,2126579,metabolic clearance rate (MCR),The metabolic clearance rate (MCR) (82.2 +/- 15.3 liters/m2/day vs. 89.8 +/- 17.2) and the volume of distribution (Vd) (7.1 +/- 4.2 liters vs. 7.3 +/- 3.4) were approximately the same in the normal subjects and in the hyperthyroid group.,Single-compartment model analysis of thyrotropin-releasing hormone kinetics in hyper- and hypothyroid patients. Kinetic studies using a combined system of RIA and FPLC. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2126579/),[l] / [d·m2],82.2,954,DB00451,Levothyroxine
,2126579,metabolic clearance rate (MCR),The metabolic clearance rate (MCR) (82.2 +/- 15.3 liters/m2/day vs. 89.8 +/- 17.2) and the volume of distribution (Vd) (7.1 +/- 4.2 liters vs. 7.3 +/- 3.4) were approximately the same in the normal subjects and in the hyperthyroid group.,Single-compartment model analysis of thyrotropin-releasing hormone kinetics in hyper- and hypothyroid patients. Kinetic studies using a combined system of RIA and FPLC. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2126579/),,89.8,955,DB00451,Levothyroxine
,2126579,volume of distribution (Vd),The metabolic clearance rate (MCR) (82.2 +/- 15.3 liters/m2/day vs. 89.8 +/- 17.2) and the volume of distribution (Vd) (7.1 +/- 4.2 liters vs. 7.3 +/- 3.4) were approximately the same in the normal subjects and in the hyperthyroid group.,Single-compartment model analysis of thyrotropin-releasing hormone kinetics in hyper- and hypothyroid patients. Kinetic studies using a combined system of RIA and FPLC. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2126579/),l,7.1,956,DB00451,Levothyroxine
,2126579,volume of distribution (Vd),The metabolic clearance rate (MCR) (82.2 +/- 15.3 liters/m2/day vs. 89.8 +/- 17.2) and the volume of distribution (Vd) (7.1 +/- 4.2 liters vs. 7.3 +/- 3.4) were approximately the same in the normal subjects and in the hyperthyroid group.,Single-compartment model analysis of thyrotropin-releasing hormone kinetics in hyper- and hypothyroid patients. Kinetic studies using a combined system of RIA and FPLC. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2126579/),,7.3,957,DB00451,Levothyroxine
,2126579,MCR,MCR (66.2 +/- 15.3 liters/m2/day) and Vd (6.2 +/- 3.3 liters) were found to be lower in the hypothyroid patients.,Single-compartment model analysis of thyrotropin-releasing hormone kinetics in hyper- and hypothyroid patients. Kinetic studies using a combined system of RIA and FPLC. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2126579/),[l] / [d·m2],66.2,958,DB00451,Levothyroxine
,2126579,Vd,MCR (66.2 +/- 15.3 liters/m2/day) and Vd (6.2 +/- 3.3 liters) were found to be lower in the hypothyroid patients.,Single-compartment model analysis of thyrotropin-releasing hormone kinetics in hyper- and hypothyroid patients. Kinetic studies using a combined system of RIA and FPLC. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2126579/),l,6.2,959,DB00451,Levothyroxine
,2126579,elution profile,Blood samples taken 5 min after TRH i.v. injection had an elution profile of 9.94 ml.,Single-compartment model analysis of thyrotropin-releasing hormone kinetics in hyper- and hypothyroid patients. Kinetic studies using a combined system of RIA and FPLC. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2126579/),ml,9.94,960,DB00451,Levothyroxine
<,24449674,TSH2/TSH1 ratio,We observed a TSH reduction (TSH2/TSH1 ratio <1) in 36/53 (67.9%) of patients; the median TSH2/TSH1 ratio was 0.71 (IQR 0.37-1.14).,Comparison of TSH Levels with Liquid Formulation Versus Tablet Formulations of Levothyroxine in the Treatment of Adult Hypothyroidism. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24449674/),,1,2789,DB00451,Levothyroxine
,24449674,TSH2/TSH1 ratio,We observed a TSH reduction (TSH2/TSH1 ratio <1) in 36/53 (67.9%) of patients; the median TSH2/TSH1 ratio was 0.71 (IQR 0.37-1.14).,Comparison of TSH Levels with Liquid Formulation Versus Tablet Formulations of Levothyroxine in the Treatment of Adult Hypothyroidism. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24449674/),,0.71,2790,DB00451,Levothyroxine
,24449674,ratios,"The median TSH2/TSH1 ratios were 0.50 (IQR 0.31-0.72) and 0.85 (IQR 0.65-1.36) for patients with and without interfering factors, respectively.",Comparison of TSH Levels with Liquid Formulation Versus Tablet Formulations of Levothyroxine in the Treatment of Adult Hypothyroidism. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24449674/),,0.50,2791,DB00451,Levothyroxine
,4095073,Plasma thyroxine concentrations,Plasma thyroxine concentrations were 7.38 +/- 45 (SE) ng/ml (n = 16) for the E2-treated quail and 3.38 +/- .53 ng/ml (n = 16) for the controls.,Increased clearance rate of plasma thyroxine accompanies estradiol-induced vitellogenesis in male Japanese quail. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4095073/),[ng] / [ml],7.38,7027,DB00451,Levothyroxine
,4095073,Plasma thyroxine concentrations,Plasma thyroxine concentrations were 7.38 +/- 45 (SE) ng/ml (n = 16) for the E2-treated quail and 3.38 +/- .53 ng/ml (n = 16) for the controls.,Increased clearance rate of plasma thyroxine accompanies estradiol-induced vitellogenesis in male Japanese quail. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4095073/),[ng] / [ml],3.38,7028,DB00451,Levothyroxine
,4095073,Clearance rates,Clearance rates of plasma thyroxine were 534 ng thyroxine/100 g/day for the E2-treated quail and 234 ng/100 g/day for the control quail.,Increased clearance rate of plasma thyroxine accompanies estradiol-induced vitellogenesis in male Japanese quail. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4095073/),[ine·ng·thyro] / [100·d·g],534,7029,DB00451,Levothyroxine
,4095073,Clearance rates,Clearance rates of plasma thyroxine were 534 ng thyroxine/100 g/day for the E2-treated quail and 234 ng/100 g/day for the control quail.,Increased clearance rate of plasma thyroxine accompanies estradiol-induced vitellogenesis in male Japanese quail. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4095073/),[ng] / [100·d·g],234,7030,DB00451,Levothyroxine
,2316313,molar ratio of daily production rates,"Amiodarone, an iodine containing anti-arrhythmic drug, causes a significant decrease in molar ratio of daily production rates of T3 and T4 from 0.75 in controls to 0.36 in amiodarone-treated rabbits.",Effect of amiodarone on non-deiodinative pathway of thyroid hormone metabolism. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2316313/),,0.75,10331,DB00451,Levothyroxine
,2316313,molar ratio of daily production rates,"Amiodarone, an iodine containing anti-arrhythmic drug, causes a significant decrease in molar ratio of daily production rates of T3 and T4 from 0.75 in controls to 0.36 in amiodarone-treated rabbits.",Effect of amiodarone on non-deiodinative pathway of thyroid hormone metabolism. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2316313/),,0.36,10332,DB00451,Levothyroxine
,2316313,metabolic clearance rates,Amiodarone treatment decreased metabolic clearance rates significantly from 0.107 +/- 0.008 in controls to 0.074 +/- 0.009 l/day in amiodarone-treated rabbits (p less than 0.05).,Effect of amiodarone on non-deiodinative pathway of thyroid hormone metabolism. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2316313/),[l] / [d],0.107,10333,DB00451,Levothyroxine
,2316313,metabolic clearance rates,Amiodarone treatment decreased metabolic clearance rates significantly from 0.107 +/- 0.008 in controls to 0.074 +/- 0.009 l/day in amiodarone-treated rabbits (p less than 0.05).,Effect of amiodarone on non-deiodinative pathway of thyroid hormone metabolism. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2316313/),[l] / [d],0.074,10334,DB00451,Levothyroxine
,2316313,terminal serum elimination half-life,The terminal serum elimination half-life in the two groups were similar (32.0 +/- 6.7 h in controls vs 49.2 +/- 12.4 h in amiodarone-treated).,Effect of amiodarone on non-deiodinative pathway of thyroid hormone metabolism. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2316313/),h,32.0,10335,DB00451,Levothyroxine
,2316313,terminal serum elimination half-life,The terminal serum elimination half-life in the two groups were similar (32.0 +/- 6.7 h in controls vs 49.2 +/- 12.4 h in amiodarone-treated).,Effect of amiodarone on non-deiodinative pathway of thyroid hormone metabolism. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2316313/),h,49.2,10336,DB00451,Levothyroxine
,11372885,half-life,"Fat base concentrations of 2,3,4,7,8-penta-CDF in the Yusho patients, which were responsible for about 70% of the dioxin toxicity, are estimated to be decreased from 60 ppb in 1969 to 800 ppt in 1997 with the median half-life of 2.9 years in the first 15 years after onset and 7.7 years in the next stage of 15 years.",Fate of PCDF/PCB congeners and change of clinical symptoms in patients with Yusho PCB poisoning for 30 years. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11372885/),years,2.9,14410,DB00451,Levothyroxine
,11372885,half-life,"Fat base concentrations of 2,3,4,7,8-penta-CDF in the Yusho patients, which were responsible for about 70% of the dioxin toxicity, are estimated to be decreased from 60 ppb in 1969 to 800 ppt in 1997 with the median half-life of 2.9 years in the first 15 years after onset and 7.7 years in the next stage of 15 years.",Fate of PCDF/PCB congeners and change of clinical symptoms in patients with Yusho PCB poisoning for 30 years. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11372885/),years,7.7,14411,DB00451,Levothyroxine
,23357653,Cmax,"Mixing levothyroxine with different types of dry diet did not have any effect on TT4 pharmacokinetics in the dogs (Cmax 50.6 nmol/L, tmax 4.0 h and AUC 517 nmol h/L).",Effects of type of diet on pharmacokinetics of levothyroxine sodium oral solution. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23357653/),[nM] / [l],50.6,14914,DB00451,Levothyroxine
,23357653,tmax,"Mixing levothyroxine with different types of dry diet did not have any effect on TT4 pharmacokinetics in the dogs (Cmax 50.6 nmol/L, tmax 4.0 h and AUC 517 nmol h/L).",Effects of type of diet on pharmacokinetics of levothyroxine sodium oral solution. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23357653/),h,4.0,14915,DB00451,Levothyroxine
,23357653,AUC,"Mixing levothyroxine with different types of dry diet did not have any effect on TT4 pharmacokinetics in the dogs (Cmax 50.6 nmol/L, tmax 4.0 h and AUC 517 nmol h/L).",Effects of type of diet on pharmacokinetics of levothyroxine sodium oral solution. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23357653/),[h·nM] / [l],517,14916,DB00451,Levothyroxine
,22116076,time to peak blood level,The median time to peak blood level was determined to be at 8 hours post dose.,Innovative studies in women by use of stabilized isotopes in pregnancy. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22116076/),h,8,16803,DB00451,Levothyroxine
