Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,22943969,C(max),"Plasma concentrations of lidocaine increased rapidly during the first 2 hours of application in each heated-patch group, and with mean (SD) C(max) values of 18.2 (5.1), 25.7 (5.9), and 30.3 (8.1) ng/mL in the 2-, 4-, and 12-hour groups, respectively.","Effects of application durations and heat on the pharmacokinetic properties of drug delivered by a lidocaine/tetracaine patch: a randomized, open-label, controlled study in healthy volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22943969/),[ng] / [ml],18.2,224,DB00281,Lidocaine
,22943969,C(max),"Plasma concentrations of lidocaine increased rapidly during the first 2 hours of application in each heated-patch group, and with mean (SD) C(max) values of 18.2 (5.1), 25.7 (5.9), and 30.3 (8.1) ng/mL in the 2-, 4-, and 12-hour groups, respectively.","Effects of application durations and heat on the pharmacokinetic properties of drug delivered by a lidocaine/tetracaine patch: a randomized, open-label, controlled study in healthy volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22943969/),[ng] / [ml],25.7,225,DB00281,Lidocaine
,22943969,C(max),"Plasma concentrations of lidocaine increased rapidly during the first 2 hours of application in each heated-patch group, and with mean (SD) C(max) values of 18.2 (5.1), 25.7 (5.9), and 30.3 (8.1) ng/mL in the 2-, 4-, and 12-hour groups, respectively.","Effects of application durations and heat on the pharmacokinetic properties of drug delivered by a lidocaine/tetracaine patch: a randomized, open-label, controlled study in healthy volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22943969/),[ng] / [ml],30.3,226,DB00281,Lidocaine
,8623997,highest measured plasma concentration,The highest measured plasma concentration was 15.3 micrograms.,Derivation and cross-validation of pharmacokinetic parameters for computer-controlled infusion of lidocaine in pain therapy. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8623997/),μg,15.3,1197,DB00281,Lidocaine
,8623997,V1,"The final parameters ( +/- population variability expressed as %CV) were estimated as follows: V1 0.101 +/- 53% 1.kg-1, V2 0.452 +/- 33% 1.kg-1, Cl1 0.0215 +/- 25% 1.kg-1.min-1, and Cl2 0.0589 +/- 35% 1.kg-1.min-1.",Derivation and cross-validation of pharmacokinetic parameters for computer-controlled infusion of lidocaine in pain therapy. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8623997/),[%·1] / [kg],0.101,1198,DB00281,Lidocaine
,8623997,V2,"The final parameters ( +/- population variability expressed as %CV) were estimated as follows: V1 0.101 +/- 53% 1.kg-1, V2 0.452 +/- 33% 1.kg-1, Cl1 0.0215 +/- 25% 1.kg-1.min-1, and Cl2 0.0589 +/- 35% 1.kg-1.min-1.",Derivation and cross-validation of pharmacokinetic parameters for computer-controlled infusion of lidocaine in pain therapy. ,V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8623997/),[%·1] / [kg],0.452,1199,DB00281,Lidocaine
,8623997,Cl1,"The final parameters ( +/- population variability expressed as %CV) were estimated as follows: V1 0.101 +/- 53% 1.kg-1, V2 0.452 +/- 33% 1.kg-1, Cl1 0.0215 +/- 25% 1.kg-1.min-1, and Cl2 0.0589 +/- 35% 1.kg-1.min-1.",Derivation and cross-validation of pharmacokinetic parameters for computer-controlled infusion of lidocaine in pain therapy. ,CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8623997/),[%·1] / [kg·min],0.0215,1200,DB00281,Lidocaine
,8623997,Cl2,"The final parameters ( +/- population variability expressed as %CV) were estimated as follows: V1 0.101 +/- 53% 1.kg-1, V2 0.452 +/- 33% 1.kg-1, Cl1 0.0215 +/- 25% 1.kg-1.min-1, and Cl2 0.0589 +/- 35% 1.kg-1.min-1.",Derivation and cross-validation of pharmacokinetic parameters for computer-controlled infusion of lidocaine in pain therapy. ,Cmin-Q36,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8623997/),[%·1] / [kg·min],0.0589,1201,DB00281,Lidocaine
,25455873,maximum plasma concentration,"From the phase-I study (15 participants), mean pharmacokinetic values were: maximum plasma concentration: 351 ± 205 ng/mL; time taken to reach maximum concentration: 68 ± 41 minutes; and area under the concentration-time curve from 0 to 180 minutes: 717 ± 421 ng*h/mL.",Novel topical formulation of lidocaine provides significant pain relief for intrauterine device insertion: pharmacokinetic evaluation and randomized placebo-controlled trial. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25455873/),[ng] / [ml],351,1235,DB00281,Lidocaine
,25455873,time taken to reach maximum concentration,"From the phase-I study (15 participants), mean pharmacokinetic values were: maximum plasma concentration: 351 ± 205 ng/mL; time taken to reach maximum concentration: 68 ± 41 minutes; and area under the concentration-time curve from 0 to 180 minutes: 717 ± 421 ng*h/mL.",Novel topical formulation of lidocaine provides significant pain relief for intrauterine device insertion: pharmacokinetic evaluation and randomized placebo-controlled trial. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25455873/),min,68,1236,DB00281,Lidocaine
