Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,27283486,area-under the time-activity curve,Lop kinetics and radiometabolites in arterial plasma were measured to calculate [(11)C]dLop area-under the time-activity curve from 10 to 30min in the brain (AUCbrain) and in plasma (AUCplasma).,Imaging the impact of cyclosporin A and dipyridamole on P-glycoprotein (ABCB1) function at the blood-brain barrier: A [(11)C]-N-desmethyl-loperamide PET study in nonhuman primates. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27283486/),min,10 to 30,5092,DB00836,Loperamide
,27283486,AUCR,Baseline AUCR (0.85±0.29) was significantly enhanced in the presence of CsA (AUCR=10.8±3.6).,Imaging the impact of cyclosporin A and dipyridamole on P-glycoprotein (ABCB1) function at the blood-brain barrier: A [(11)C]-N-desmethyl-loperamide PET study in nonhuman primates. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27283486/),,0.85,5093,DB00836,Loperamide
,27283486,AUCR,Baseline AUCR (0.85±0.29) was significantly enhanced in the presence of CsA (AUCR=10.8±3.6).,Imaging the impact of cyclosporin A and dipyridamole on P-glycoprotein (ABCB1) function at the blood-brain barrier: A [(11)C]-N-desmethyl-loperamide PET study in nonhuman primates. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27283486/),,10.8,5094,DB00836,Loperamide
,27283486,AUCR,"Injection of pharmacologic dose of DPy did not enhance [(11)C]dLop brain distribution with AUCR being 1.2, 0.9 and 1.1 after administration of 0.56, 0.96 and 2mg/kg DPy doses, respectively.",Imaging the impact of cyclosporin A and dipyridamole on P-glycoprotein (ABCB1) function at the blood-brain barrier: A [(11)C]-N-desmethyl-loperamide PET study in nonhuman primates. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27283486/),,1.2,5095,DB00836,Loperamide
,27283486,AUCR,"Injection of pharmacologic dose of DPy did not enhance [(11)C]dLop brain distribution with AUCR being 1.2, 0.9 and 1.1 after administration of 0.56, 0.96 and 2mg/kg DPy doses, respectively.",Imaging the impact of cyclosporin A and dipyridamole on P-glycoprotein (ABCB1) function at the blood-brain barrier: A [(11)C]-N-desmethyl-loperamide PET study in nonhuman primates. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27283486/),,0.9,5096,DB00836,Loperamide
,27283486,AUCR,"Injection of pharmacologic dose of DPy did not enhance [(11)C]dLop brain distribution with AUCR being 1.2, 0.9 and 1.1 after administration of 0.56, 0.96 and 2mg/kg DPy doses, respectively.",Imaging the impact of cyclosporin A and dipyridamole on P-glycoprotein (ABCB1) function at the blood-brain barrier: A [(11)C]-N-desmethyl-loperamide PET study in nonhuman primates. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27283486/),,1.1,5097,DB00836,Loperamide
,18299336,C(max),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[ng] / [ml],53.9,5277,DB00836,Loperamide
,18299336,C(max),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[ng] / [ml],90.7,5278,DB00836,Loperamide
,18299336,C(max),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[ng] / [ml],16.5,5279,DB00836,Loperamide
,18299336,C(max),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[ng] / [ml],20.0,5280,DB00836,Loperamide
