Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,18187530,saccadic latency,"MK-0343 0.75 mg was equipotent with lorazepam as indicated by SPV (-42.4 deg/s), saccadic latency (0.02 s) and VAS alertness scores (1.50 ln mm), while effects on memory and postural stability were smaller.","Pharmacodynamic and pharmacokinetic effects of MK-0343, a GABA(A) alpha2,3 subtype selective agonist, compared to lorazepam and placebo in healthy male volunteers. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18187530/),s,0.02,2379,DB00186,Lorazepam
,4020675,half-life,"Acetaminophen half-life was prolonged during probenecid treatment (mean +/- S.E., 4.30 +/- 0.23 vs. 2.51 +/- 0.16 hr; P less than .001) due to markedly decreased clearance (178 +/- 13 vs. 329 +/- 24 ml/min; P less than .001) with no change in volume of distribution (65 +/- 4 vs. 69 +/- 3 l; NS).",Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),h,4.30,4627,DB00186,Lorazepam
,4020675,half-life,"Acetaminophen half-life was prolonged during probenecid treatment (mean +/- S.E., 4.30 +/- 0.23 vs. 2.51 +/- 0.16 hr; P less than .001) due to markedly decreased clearance (178 +/- 13 vs. 329 +/- 24 ml/min; P less than .001) with no change in volume of distribution (65 +/- 4 vs. 69 +/- 3 l; NS).",Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),h,2.51,4628,DB00186,Lorazepam
,4020675,clearance,"Acetaminophen half-life was prolonged during probenecid treatment (mean +/- S.E., 4.30 +/- 0.23 vs. 2.51 +/- 0.16 hr; P less than .001) due to markedly decreased clearance (178 +/- 13 vs. 329 +/- 24 ml/min; P less than .001) with no change in volume of distribution (65 +/- 4 vs. 69 +/- 3 l; NS).",Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),[ml] / [min],178,4629,DB00186,Lorazepam
,4020675,clearance,"Acetaminophen half-life was prolonged during probenecid treatment (mean +/- S.E., 4.30 +/- 0.23 vs. 2.51 +/- 0.16 hr; P less than .001) due to markedly decreased clearance (178 +/- 13 vs. 329 +/- 24 ml/min; P less than .001) with no change in volume of distribution (65 +/- 4 vs. 69 +/- 3 l; NS).",Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),[ml] / [min],329,4630,DB00186,Lorazepam
,4020675,volume of distribution,"Acetaminophen half-life was prolonged during probenecid treatment (mean +/- S.E., 4.30 +/- 0.23 vs. 2.51 +/- 0.16 hr; P less than .001) due to markedly decreased clearance (178 +/- 13 vs. 329 +/- 24 ml/min; P less than .001) with no change in volume of distribution (65 +/- 4 vs. 69 +/- 3 l; NS).",Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),l,65,4631,DB00186,Lorazepam
,4020675,volume of distribution,"Acetaminophen half-life was prolonged during probenecid treatment (mean +/- S.E., 4.30 +/- 0.23 vs. 2.51 +/- 0.16 hr; P less than .001) due to markedly decreased clearance (178 +/- 13 vs. 329 +/- 24 ml/min; P less than .001) with no change in volume of distribution (65 +/- 4 vs. 69 +/- 3 l; NS).",Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),l,69,4632,DB00186,Lorazepam
,4020675,Urinary excretion,Urinary excretion of acetaminophen glucuronide during 24 hr was decreased (84 +/- 9 vs.,Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),,84,4633,DB00186,Lorazepam
,4020675,excretion,260 +/- 21 mg of acetaminophen as glucuronide; P less than .001) and acetaminophen sulfate excretion was increased (323 +/- 25 vs.,Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),,323,4634,DB00186,Lorazepam
,4020675,half-life,Lorazepam half-life was also prolonged during probenecid treatment (33.0 +/- 3.9 vs. 14.3 +/- 1.08 hr; P less than .001) due to decreased clearance (44.7 +/- 5.4 vs. 80.3 +/- 13.2 ml/min; P less than .001) with no change in volume of distribution (111 +/- 5 vs. 111 +/- 7 l; NS).,Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),h,33.0,4635,DB00186,Lorazepam
,4020675,half-life,Lorazepam half-life was also prolonged during probenecid treatment (33.0 +/- 3.9 vs. 14.3 +/- 1.08 hr; P less than .001) due to decreased clearance (44.7 +/- 5.4 vs. 80.3 +/- 13.2 ml/min; P less than .001) with no change in volume of distribution (111 +/- 5 vs. 111 +/- 7 l; NS).,Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),h,14.3,4636,DB00186,Lorazepam
,4020675,clearance,Lorazepam half-life was also prolonged during probenecid treatment (33.0 +/- 3.9 vs. 14.3 +/- 1.08 hr; P less than .001) due to decreased clearance (44.7 +/- 5.4 vs. 80.3 +/- 13.2 ml/min; P less than .001) with no change in volume of distribution (111 +/- 5 vs. 111 +/- 7 l; NS).,Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),[ml] / [min],44.7,4637,DB00186,Lorazepam
,4020675,clearance,Lorazepam half-life was also prolonged during probenecid treatment (33.0 +/- 3.9 vs. 14.3 +/- 1.08 hr; P less than .001) due to decreased clearance (44.7 +/- 5.4 vs. 80.3 +/- 13.2 ml/min; P less than .001) with no change in volume of distribution (111 +/- 5 vs. 111 +/- 7 l; NS).,Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),[ml] / [min],80.3,4638,DB00186,Lorazepam
,4020675,volume of distribution,Lorazepam half-life was also prolonged during probenecid treatment (33.0 +/- 3.9 vs. 14.3 +/- 1.08 hr; P less than .001) due to decreased clearance (44.7 +/- 5.4 vs. 80.3 +/- 13.2 ml/min; P less than .001) with no change in volume of distribution (111 +/- 5 vs. 111 +/- 7 l; NS).,Probenecid impairment of acetaminophen and lorazepam clearance: direct inhibition of ether glucuronide formation. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4020675/),l,111,4639,DB00186,Lorazepam
