Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2284217,terminal half-life,"After oral as well as intravenous administration, a short terminal half-life of lornoxicam in the range of 4-5 hours was found.",Pharmacokinetics of lornoxicam in man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2284217/),h,4-5,46766,DB06725,Lornoxicam
,8162655,elimination half-life,The elimination half-life varies between 30 and 70 hours.,Pharmacokinetics of oxicam nonsteroidal anti-inflammatory agents. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8162655/),h,30 and 70,74980,DB06725,Lornoxicam
,8162655,oral bioavailability,The oral bioavailability of tenoxicam is 100% and rectal bioavailability is 80%.,Pharmacokinetics of oxicam nonsteroidal anti-inflammatory agents. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8162655/),%,100,74981,DB06725,Lornoxicam
,8162655,bioavailability,The oral bioavailability of tenoxicam is 100% and rectal bioavailability is 80%.,Pharmacokinetics of oxicam nonsteroidal anti-inflammatory agents. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8162655/),%,80,74982,DB06725,Lornoxicam
,8162655,elimination half-life,The mean elimination half-life is 60 to 75 hours.,Pharmacokinetics of oxicam nonsteroidal anti-inflammatory agents. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8162655/),h,60 to 75,74983,DB06725,Lornoxicam
,8162655,elimination half-life,The mean elimination half-life is 30 hours and does not appear to be affected by the age of the patient.,Pharmacokinetics of oxicam nonsteroidal anti-inflammatory agents. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8162655/),h,30,74984,DB06725,Lornoxicam
,8162655,elimination half-life,Lornoxicam differs from other oxicam NSAIDs because it has a short elimination half-life of 3 to 4 hours.,Pharmacokinetics of oxicam nonsteroidal anti-inflammatory agents. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8162655/),h,3 to 4,74985,DB06725,Lornoxicam
,17703745,recoveries,"The recoveries of lornoxicam and isoxicam were 87.8% and 66.5%, respectively.",Liquid chromatography-electrospray ionization tandem mass spectrometric determination of lornoxicam in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17703745/),%,87.8,122603,DB06725,Lornoxicam
,17703745,recoveries,"The recoveries of lornoxicam and isoxicam were 87.8% and 66.5%, respectively.",Liquid chromatography-electrospray ionization tandem mass spectrometric determination of lornoxicam in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17703745/),%,66.5,122604,DB06725,Lornoxicam
,27371394,Entrapment efficiency,"Entrapment efficiency of DNR and LNX was 93.16 and 88.59 %, respectively.","Lecithin and PLGA-based self-assembled nanocomposite, Lecithmer: preparation, characterization, and pharmacokinetic/pharmacodynamic evaluation. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27371394/),%,93.16,144579,DB06725,Lornoxicam
