Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6224604,t1/2,Discontinuation of the treatment produces a fast decay (t1/2 = 62.4 h) of the drug levels.,Medroxyprogesterone acetate (MAP) plasma levels after multiple high-dose administration in advanced cancer patients. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6224604/),h,62.4,4354,DB00603,Medroxyprogesterone Acetate
<,24582292,Cmax,Cmax <2.88 ng/mL and elimination rate constant <0.021 ng/mL/day were associated (p<.05) with BMI increase ≥10%.,A pilot study of depot medroxyprogesterone acetate pharmacokinetics and weight gain in adolescent females. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24582292/),[ng] / [ml],2.88,9990,DB00603,Medroxyprogesterone Acetate
<,24582292,elimination rate constant,Cmax <2.88 ng/mL and elimination rate constant <0.021 ng/mL/day were associated (p<.05) with BMI increase ≥10%.,A pilot study of depot medroxyprogesterone acetate pharmacokinetics and weight gain in adolescent females. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24582292/),[ng] / [d·ml],0.021,9991,DB00603,Medroxyprogesterone Acetate
,19481986,extraction recovery,The lower limit of quantification was 1 ng/mL and extraction recovery was 88.3% on average.,Determination of Tenacissoside A in rat plasma by liquid chromatography-tandem mass spectrometry method and its application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19481986/),%,88.3,12933,DB00603,Medroxyprogesterone Acetate
,1388093,AUC0-144,"Based on the results of RIA analysis, Farlutal tablets produced significantly lower serum MPA concentrations compared with Provera tablets at most sampling times, resulting in statistically lower AUC0-144 for the Farlutal tablet (544 vs 768 ng.hr/ml; -29.2%).",Bioavailability of medroxyprogesterone acetate from three oral dosage formulations. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1388093/),[h·ng] / [ml],544,16677,DB00603,Medroxyprogesterone Acetate
,1388093,AUC0-144,"Based on the results of RIA analysis, Farlutal tablets produced significantly lower serum MPA concentrations compared with Provera tablets at most sampling times, resulting in statistically lower AUC0-144 for the Farlutal tablet (544 vs 768 ng.hr/ml; -29.2%).",Bioavailability of medroxyprogesterone acetate from three oral dosage formulations. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1388093/),[h·ng] / [ml],768,16678,DB00603,Medroxyprogesterone Acetate
,1388093,maximum concentration,The Farlutal tablet also had a significantly lower maximum concentration than the Provera tablet (27.8 vs 47.4 ng/ml; -41.4%).,Bioavailability of medroxyprogesterone acetate from three oral dosage formulations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1388093/),[ng] / [ml],27.8,16679,DB00603,Medroxyprogesterone Acetate
,1388093,maximum concentration,The Farlutal tablet also had a significantly lower maximum concentration than the Provera tablet (27.8 vs 47.4 ng/ml; -41.4%).,Bioavailability of medroxyprogesterone acetate from three oral dosage formulations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1388093/),[ng] / [ml],47.4,16680,DB00603,Medroxyprogesterone Acetate
,1388093,time of maximum concentration,"However, there was no significant difference in time of maximum concentration between the tablet formulations (3.71 vs 3.41 hr), indicating that the rates of absorption of the two tablet formulations were comparable.",Bioavailability of medroxyprogesterone acetate from three oral dosage formulations. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1388093/),h,3.71,16681,DB00603,Medroxyprogesterone Acetate
,1388093,time of maximum concentration,"However, there was no significant difference in time of maximum concentration between the tablet formulations (3.71 vs 3.41 hr), indicating that the rates of absorption of the two tablet formulations were comparable.",Bioavailability of medroxyprogesterone acetate from three oral dosage formulations. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1388093/),h,3.41,16682,DB00603,Medroxyprogesterone Acetate
