Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,32439308,T1/2,"Determination of the in vitro release kinetics showed a prolonged release when melatonin is solubilized in nanoparticles (T1/2: 81 min vs 50 min vs 26 min for melatonin-LP, melatonin-NE, and melatonin-EtOH respectively).",In vitro and in vivo evaluation of organic solvent-free injectable melatonin nanoformulations. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32439308/),min,81,2088,DB01065,Melatonin
,32439308,T1/2,"Determination of the in vitro release kinetics showed a prolonged release when melatonin is solubilized in nanoparticles (T1/2: 81 min vs 50 min vs 26 min for melatonin-LP, melatonin-NE, and melatonin-EtOH respectively).",In vitro and in vivo evaluation of organic solvent-free injectable melatonin nanoformulations. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32439308/),min,50,2089,DB01065,Melatonin
,32439308,T1/2,"Determination of the in vitro release kinetics showed a prolonged release when melatonin is solubilized in nanoparticles (T1/2: 81 min vs 50 min vs 26 min for melatonin-LP, melatonin-NE, and melatonin-EtOH respectively).",In vitro and in vivo evaluation of organic solvent-free injectable melatonin nanoformulations. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32439308/),min,26,2090,DB01065,Melatonin
,27000757,t max,"Currently, a t max value of 30-45 min and a t ½elimination of 45 min are well established.",Pharmacokinetics of Melatonin: The Missing Link in Clinical Efficacy? ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27000757/),min,30-45,3355,DB01065,Melatonin
,27000757,t ½elimination,"Currently, a t max value of 30-45 min and a t ½elimination of 45 min are well established.",Pharmacokinetics of Melatonin: The Missing Link in Clinical Efficacy? ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/27000757/),min,45,3356,DB01065,Melatonin
,21110748,solubility,"The selected compounds are lipophilic in nature, exhibiting aqueous solubility ranging from 40 to 200 microg/mL.",3-Methoxylphenylpropyl amides as novel receptor subtype-selective melatoninergic ligands: characterization of physicochemical and pharmacokinetic properties. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21110748/),[μg] / [ml],40 to 200,4437,DB01065,Melatonin
,21110748,half-life,"These compounds were, however, subjected to rapid cytochrome P450-mediated degradation in rat and human liver microsomes with in vitro half-life of 9.5-31.9 min in rat and 5.5-66.7 min in human, which were much shorter than that of melatonin (approximately 73 min).",3-Methoxylphenylpropyl amides as novel receptor subtype-selective melatoninergic ligands: characterization of physicochemical and pharmacokinetic properties. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21110748/),min,9.5-31.9,4438,DB01065,Melatonin
,21110748,half-life,"These compounds were, however, subjected to rapid cytochrome P450-mediated degradation in rat and human liver microsomes with in vitro half-life of 9.5-31.9 min in rat and 5.5-66.7 min in human, which were much shorter than that of melatonin (approximately 73 min).",3-Methoxylphenylpropyl amides as novel receptor subtype-selective melatoninergic ligands: characterization of physicochemical and pharmacokinetic properties. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21110748/),min,5.5-66.7,4439,DB01065,Melatonin
,21110748,half-life,"These compounds were, however, subjected to rapid cytochrome P450-mediated degradation in rat and human liver microsomes with in vitro half-life of 9.5-31.9 min in rat and 5.5-66.7 min in human, which were much shorter than that of melatonin (approximately 73 min).",3-Methoxylphenylpropyl amides as novel receptor subtype-selective melatoninergic ligands: characterization of physicochemical and pharmacokinetic properties. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21110748/),min,73,4440,DB01065,Melatonin
,31004517,time-to-peak blood concentration,"In both groups that received ST-OS and SLN-OS, the median time-to-peak blood concentration was 0.5 hours; however, the area under the curve (AUC) after administration of SLN-OS was significantly higher than after ST-OS (157386 [65732-193653] vs 44441 [22319-90705] pg/mL*hours, P = 0.048).",Different routes and formulations of melatonin in critically ill patients. A pharmacokinetic randomized study. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31004517/),h,0.5,7291,DB01065,Melatonin
