Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,21898816,flow rate,"Separation was achieved on a CN column (200 mm×4.6 mm) using acetonitrile-10 mM orthophosphoric acid containing 1 mL/L triethylamine (45:55, v/v) at a flow rate of 1 mL/min.",A new HPLC method with fluorescence detection for the determination of memantine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21898816/),[ml] / [min],1,6200,DB01043,Memantine
,21898816,Limit of detection,"Limit of detection and limit of quantification were found to be 0.3 and 1.0 ng/mL, respectively.",A new HPLC method with fluorescence detection for the determination of memantine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21898816/),[ng] / [ml],0.3,6201,DB01043,Memantine
,21898816,limit of quantification,"Limit of detection and limit of quantification were found to be 0.3 and 1.0 ng/mL, respectively.",A new HPLC method with fluorescence detection for the determination of memantine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21898816/),[ng] / [ml],1.0,6202,DB01043,Memantine
,21898816,recovery,Average recovery was also found to be around 94%.,A new HPLC method with fluorescence detection for the determination of memantine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21898816/),%,94,6203,DB01043,Memantine
,34175447,effective detection limit,The effective detection limit of this method was 1.95-1000 ng·mL-1.,"Pharmacokinetic and tissue distribution study of ZCY-15, a novel compound against Alzheimer's disease, in rats by liquid chromatography-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34175447/),[ng] / [ml],1.95-1000,19957,DB01043,Memantine
,34175447,whole analysis time,The whole analysis time was 3.6 min per sample.,"Pharmacokinetic and tissue distribution study of ZCY-15, a novel compound against Alzheimer's disease, in rats by liquid chromatography-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34175447/),[min] / [sample],3.6,19958,DB01043,Memantine
,17553649,limits of detection,"The limits of detection and quantification were 20 and 50 ng/ml for the analytes, respectively.",New method for high-performance liquid chromatographic determination of amantadine and its analogues in rat plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17553649/),[ng] / [ml],20,36901,DB01043,Memantine
,17553649,limits of detection,"The limits of detection and quantification were 20 and 50 ng/ml for the analytes, respectively.",New method for high-performance liquid chromatographic determination of amantadine and its analogues in rat plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17553649/),[ng] / [ml],50,36902,DB01043,Memantine
,23371894,clearance,The average clearance was 5.2 L/h with a 27 % inter-individual variability (percentage coefficient of variation).,Population pharmacokinetic study of memantine: effects of clinical and genetic factors. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23371894/),[l] / [h],5.2,38303,DB01043,Memantine
,28766500,C<sub>max</sub>,"The evaluated pharmacokinetic parameters (test vs. reference) including C<sub>max</sub> (18 ± 3.2 vs. 17.8 ± 3.4), AUC<sub>0-t</sub> (1,188.5 ± 222.2 vs. 1,170.9 ± 135.7), and AUC<sub>0-∞</sub> (1,353.3 ± 258.6 vs. 1,291.3 ± 136.7) values were assessed for bioequivalence based on current guidelines.",A bioequivalence study of two memantine formulations in healthy Chinese male volunteers . ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28766500/),,18,60388,DB01043,Memantine
,28766500,C<sub>max</sub>,"The evaluated pharmacokinetic parameters (test vs. reference) including C<sub>max</sub> (18 ± 3.2 vs. 17.8 ± 3.4), AUC<sub>0-t</sub> (1,188.5 ± 222.2 vs. 1,170.9 ± 135.7), and AUC<sub>0-∞</sub> (1,353.3 ± 258.6 vs. 1,291.3 ± 136.7) values were assessed for bioequivalence based on current guidelines.",A bioequivalence study of two memantine formulations in healthy Chinese male volunteers . ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28766500/),,17.8,60389,DB01043,Memantine
,28766500,AUC<sub>0-t</sub>,"The evaluated pharmacokinetic parameters (test vs. reference) including C<sub>max</sub> (18 ± 3.2 vs. 17.8 ± 3.4), AUC<sub>0-t</sub> (1,188.5 ± 222.2 vs. 1,170.9 ± 135.7), and AUC<sub>0-∞</sub> (1,353.3 ± 258.6 vs. 1,291.3 ± 136.7) values were assessed for bioequivalence based on current guidelines.",A bioequivalence study of two memantine formulations in healthy Chinese male volunteers . ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28766500/),,"1,188.5",60390,DB01043,Memantine
,28766500,AUC<sub>0-t</sub>,"The evaluated pharmacokinetic parameters (test vs. reference) including C<sub>max</sub> (18 ± 3.2 vs. 17.8 ± 3.4), AUC<sub>0-t</sub> (1,188.5 ± 222.2 vs. 1,170.9 ± 135.7), and AUC<sub>0-∞</sub> (1,353.3 ± 258.6 vs. 1,291.3 ± 136.7) values were assessed for bioequivalence based on current guidelines.",A bioequivalence study of two memantine formulations in healthy Chinese male volunteers . ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28766500/),,"1,170.9",60391,DB01043,Memantine
,28766500,AUC<sub>0-∞</sub>,"The evaluated pharmacokinetic parameters (test vs. reference) including C<sub>max</sub> (18 ± 3.2 vs. 17.8 ± 3.4), AUC<sub>0-t</sub> (1,188.5 ± 222.2 vs. 1,170.9 ± 135.7), and AUC<sub>0-∞</sub> (1,353.3 ± 258.6 vs. 1,291.3 ± 136.7) values were assessed for bioequivalence based on current guidelines.",A bioequivalence study of two memantine formulations in healthy Chinese male volunteers . ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28766500/),,"1,353.3",60392,DB01043,Memantine
,28766500,AUC<sub>0-∞</sub>,"The evaluated pharmacokinetic parameters (test vs. reference) including C<sub>max</sub> (18 ± 3.2 vs. 17.8 ± 3.4), AUC<sub>0-t</sub> (1,188.5 ± 222.2 vs. 1,170.9 ± 135.7), and AUC<sub>0-∞</sub> (1,353.3 ± 258.6 vs. 1,291.3 ± 136.7) values were assessed for bioequivalence based on current guidelines.",A bioequivalence study of two memantine formulations in healthy Chinese male volunteers . ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28766500/),,"1,291.3",60393,DB01043,Memantine
,18814193,total chromatographic run time,"The total chromatographic run time was 3.0 min and the elution of PPX and IS occurred at approximately 2.32 and 2.52, respectively.",Development and validation of a sensitive LC-MS/MS method with electrospray ionization for quantitation of pramipexole in human plasma: application to a clinical pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18814193/),min,3.0,63947,DB01043,Memantine
,18814193,ion transitions,The MS/MS ion transitions monitored were 212.10 --> 153.10 for PPX and 180.20 --> 107.30 for IS.,Development and validation of a sensitive LC-MS/MS method with electrospray ionization for quantitation of pramipexole in human plasma: application to a clinical pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18814193/),,212.10,63948,DB01043,Memantine
