Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,12525440,t(1/2),"t(1/2) for native rhFSH, rhFSH-CTP and rhFSH-N2 were 3.7, 7.1 and 7.3 h respectively.",Development and characterization of a long-acting recombinant hFSH agonist. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12525440/),h,3.7,61639,DB00032,Menotropins
,12525440,t(1/2),"t(1/2) for native rhFSH, rhFSH-CTP and rhFSH-N2 were 3.7, 7.1 and 7.3 h respectively.",Development and characterization of a long-acting recombinant hFSH agonist. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12525440/),h,7.1,61640,DB00032,Menotropins
,12525440,t(1/2),"t(1/2) for native rhFSH, rhFSH-CTP and rhFSH-N2 were 3.7, 7.1 and 7.3 h respectively.",Development and characterization of a long-acting recombinant hFSH agonist. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12525440/),h,7.3,61641,DB00032,Menotropins
>,10438987,hCG,An hCG ratio > 0.46 was seen in all pregnant cycles.,Pharmacokinetics of exogenous gonadotropin and ovarian response in in vitro fertilization. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10438987/),,0.46,78115,DB00032,Menotropins
>,10438987,ratio,An hCG ratio > 0.46 was seen in all pregnant cycles.,Pharmacokinetics of exogenous gonadotropin and ovarian response in in vitro fertilization. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10438987/),,0.46,78116,DB00032,Menotropins
,8748920,peak concentration,"The baseline FSH level was 2.8 IU/L, and peak concentration (6.8 IU/L) was reached 12 hours after hMG injection (median values).",Serum levels of follicle-stimulating hormone and luteinizing hormone after subcutaneous administration of human menopausal gonadotropin during pituitary suppression. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8748920/),[iu] / [l],6.8,100767,DB00032,Menotropins
,27638053,peak (maximum) concentration (C max),FSH after single subcutaneous and intramuscular injections of menotrophin or urofollitrophin attained a systemic peak (maximum) concentration (C max) that was on average consistent throughout the first four studies and ranged from 4.98 to 7.50 IU/L.,Pharmacokinetics and Pharmacodynamics of Follicle-Stimulating Hormone in Healthy Women Receiving Single and Multiple Doses of Highly Purified Human Menotrophin and Urofollitrophin. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27638053/),[iu] / [l],4.98 to 7.50,103820,DB00032,Menotropins
,27638053,area under the plasma concentration-time curve (AUC) from administration to the last observed concentration time t (AUCt),The area under the plasma concentration-time curve (AUC) from administration to the last observed concentration time t (AUCt) ranged from 409.71 to 486.16 IU/L·h and the elimination half-life (t ½) ranged from 39.02 to 53.63 h.,Pharmacokinetics and Pharmacodynamics of Follicle-Stimulating Hormone in Healthy Women Receiving Single and Multiple Doses of Highly Purified Human Menotrophin and Urofollitrophin. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27638053/),[iu] / [h·l],409.71 to 486.16,103821,DB00032,Menotropins
,27638053,elimination half-life (t ½),The area under the plasma concentration-time curve (AUC) from administration to the last observed concentration time t (AUCt) ranged from 409.71 to 486.16 IU/L·h and the elimination half-life (t ½) ranged from 39.02 to 53.63 h.,Pharmacokinetics and Pharmacodynamics of Follicle-Stimulating Hormone in Healthy Women Receiving Single and Multiple Doses of Highly Purified Human Menotrophin and Urofollitrophin. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/27638053/),h,39.02 to 53.63,103822,DB00032,Menotropins
,27638053,C max,"After multiple doses of urofollitrophin (225 IU) for 5 days, FSH attained a mean C max of 14.93 ± 2.92 IU/L and had an AUC during the time interval τ between two consecutive doses at steady state (AUCτ) of 322.59 ± 57.92 IU/L·h, which was similar to the mean AUCt after a single subcutaneous dose of 225 IU of urofollitrophin in study 5 (306.82 ± 68.37 IU/L·h).",Pharmacokinetics and Pharmacodynamics of Follicle-Stimulating Hormone in Healthy Women Receiving Single and Multiple Doses of Highly Purified Human Menotrophin and Urofollitrophin. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27638053/),[iu] / [l],14.93,103823,DB00032,Menotropins
