Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,23944081,tmax,"The main parameters were: tmax was 10 min, t1/2beta was (183. 93 52. 75) min, CL/F was (0. 426 +/- 0. 194) L . min-1 .",[Study on pharmacokinetics and in vitro/in vivo correlation of menthol in Zhike Chuanbei Pipa dropping pills in rats]. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23944081/),min,10,4359,DB00825,Menthol
,23944081,t1/2beta,"The main parameters were: tmax was 10 min, t1/2beta was (183. 93 52. 75) min, CL/F was (0. 426 +/- 0. 194) L . min-1 .",[Study on pharmacokinetics and in vitro/in vivo correlation of menthol in Zhike Chuanbei Pipa dropping pills in rats]. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/23944081/),min,183. 93,4360,DB00825,Menthol
,23944081,CL/F,"The main parameters were: tmax was 10 min, t1/2beta was (183. 93 52. 75) min, CL/F was (0. 426 +/- 0. 194) L . min-1 .",[Study on pharmacokinetics and in vitro/in vivo correlation of menthol in Zhike Chuanbei Pipa dropping pills in rats]. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23944081/),[l] / [min],0. 426,4361,DB00825,Menthol
,30654691,T1/2,"3. The plasma concentration reached the Cmax within 1.0 h (inhalation) and descended with the T1/2 of 8.53 and 6.69 h for inhalation and i.v. administration, respectively.",Pharmacokinetics behaviors of l-menthol after inhalation and intravenous injection in rats and its inhibition effects on CYP450 enzymes in rat liver microsomes. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30654691/),h,8.53,11633,DB00825,Menthol
,30654691,T1/2,"3. The plasma concentration reached the Cmax within 1.0 h (inhalation) and descended with the T1/2 of 8.53 and 6.69 h for inhalation and i.v. administration, respectively.",Pharmacokinetics behaviors of l-menthol after inhalation and intravenous injection in rats and its inhibition effects on CYP450 enzymes in rat liver microsomes. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30654691/),h,6.69,11634,DB00825,Menthol
,30654691,IC50,"IC50 for inhibition of l-menthol on CYP 450 enzymes were 4.35 μM for 2D4, 8.67 μM for 1A2, 13.02 μM for 3A1, 14.78 μM for 2D1/2, 234.9 μM for 2C11 and 525.4 μM for 2E1, respectively.",Pharmacokinetics behaviors of l-menthol after inhalation and intravenous injection in rats and its inhibition effects on CYP450 enzymes in rat liver microsomes. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30654691/),μM,4.35,11635,DB00825,Menthol
,30654691,IC50,"IC50 for inhibition of l-menthol on CYP 450 enzymes were 4.35 μM for 2D4, 8.67 μM for 1A2, 13.02 μM for 3A1, 14.78 μM for 2D1/2, 234.9 μM for 2C11 and 525.4 μM for 2E1, respectively.",Pharmacokinetics behaviors of l-menthol after inhalation and intravenous injection in rats and its inhibition effects on CYP450 enzymes in rat liver microsomes. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30654691/),μM,8.67,11636,DB00825,Menthol
,30654691,IC50,"IC50 for inhibition of l-menthol on CYP 450 enzymes were 4.35 μM for 2D4, 8.67 μM for 1A2, 13.02 μM for 3A1, 14.78 μM for 2D1/2, 234.9 μM for 2C11 and 525.4 μM for 2E1, respectively.",Pharmacokinetics behaviors of l-menthol after inhalation and intravenous injection in rats and its inhibition effects on CYP450 enzymes in rat liver microsomes. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30654691/),μM,13.02,11637,DB00825,Menthol
,30654691,IC50,"IC50 for inhibition of l-menthol on CYP 450 enzymes were 4.35 μM for 2D4, 8.67 μM for 1A2, 13.02 μM for 3A1, 14.78 μM for 2D1/2, 234.9 μM for 2C11 and 525.4 μM for 2E1, respectively.",Pharmacokinetics behaviors of l-menthol after inhalation and intravenous injection in rats and its inhibition effects on CYP450 enzymes in rat liver microsomes. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30654691/),μM,14.78,11638,DB00825,Menthol
,30654691,IC50,"IC50 for inhibition of l-menthol on CYP 450 enzymes were 4.35 μM for 2D4, 8.67 μM for 1A2, 13.02 μM for 3A1, 14.78 μM for 2D1/2, 234.9 μM for 2C11 and 525.4 μM for 2E1, respectively.",Pharmacokinetics behaviors of l-menthol after inhalation and intravenous injection in rats and its inhibition effects on CYP450 enzymes in rat liver microsomes. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30654691/),μM,234.9,11639,DB00825,Menthol
