Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,17410120,maximum increases,"Mean maximum increases in the QTc interval following thioridazine (37.3+/-4.1 ms, P=0.023) and mesoridazine (46.6+/-7.4 ms, P=0.021) were similar and significantly greater than following placebo (12.9+/-8.1 ms).",Comparison of the effects of thioridazine and mesoridazine on the QT interval in healthy adults after single oral doses. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17410120/),ms,37.3,157564,DB00933,Mesoridazine
,17410120,maximum increases,"Mean maximum increases in the QTc interval following thioridazine (37.3+/-4.1 ms, P=0.023) and mesoridazine (46.6+/-7.4 ms, P=0.021) were similar and significantly greater than following placebo (12.9+/-8.1 ms).",Comparison of the effects of thioridazine and mesoridazine on the QT interval in healthy adults after single oral doses. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17410120/),ms,46.6,157565,DB00933,Mesoridazine
,17410120,maximum increases,"Mean maximum increases in the QTc interval following thioridazine (37.3+/-4.1 ms, P=0.023) and mesoridazine (46.6+/-7.4 ms, P=0.021) were similar and significantly greater than following placebo (12.9+/-8.1 ms).",Comparison of the effects of thioridazine and mesoridazine on the QT interval in healthy adults after single oral doses. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17410120/),ms,12.9,157566,DB00933,Mesoridazine
,17410120,area under the effect-time curve over 8 h,The area under the effect-time curve over 8 h following drug administration was similar between the two drugs (129.3+/-22.1 vs 148.3+/-43.0 ms h).,Comparison of the effects of thioridazine and mesoridazine on the QT interval in healthy adults after single oral doses. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17410120/),h·ms,129.3,157567,DB00933,Mesoridazine
,17410120,area under the effect-time curve over 8 h,The area under the effect-time curve over 8 h following drug administration was similar between the two drugs (129.3+/-22.1 vs 148.3+/-43.0 ms h).,Comparison of the effects of thioridazine and mesoridazine on the QT interval in healthy adults after single oral doses. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17410120/),h·ms,148.3,157568,DB00933,Mesoridazine
,10445388,Ki,"In vitro studies with control liver microsomes, as well as with microsomes of rats treated chronically with fluoxetine show that the changes in the thioridazine pharmacokinetics may be attributed to the competitive (N-demethylation, Ki = 23 microM) and mixed inhibition (2- and 5-sulfoxidation, Ki = 60 microM and 34 microM, respectively) of thioridazine metabolism by fluoxetine, and to the adaptive changes produced by chronic administration of fluoxetine, as reflected by inhibition of N-demethylation and formation of sulforidazine.",The influence of selective serotonin reuptake inhibitors (SSRIs) on the pharmacokinetics of thioridazine and its metabolites: in vivo and in vitro studies. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10445388/),μM,23,199315,DB00933,Mesoridazine
,10445388,Ki,"In vitro studies with control liver microsomes, as well as with microsomes of rats treated chronically with fluoxetine show that the changes in the thioridazine pharmacokinetics may be attributed to the competitive (N-demethylation, Ki = 23 microM) and mixed inhibition (2- and 5-sulfoxidation, Ki = 60 microM and 34 microM, respectively) of thioridazine metabolism by fluoxetine, and to the adaptive changes produced by chronic administration of fluoxetine, as reflected by inhibition of N-demethylation and formation of sulforidazine.",The influence of selective serotonin reuptake inhibitors (SSRIs) on the pharmacokinetics of thioridazine and its metabolites: in vivo and in vitro studies. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10445388/),μM,60,199316,DB00933,Mesoridazine
,10445388,Ki,"In vitro studies with control liver microsomes, as well as with microsomes of rats treated chronically with fluoxetine show that the changes in the thioridazine pharmacokinetics may be attributed to the competitive (N-demethylation, Ki = 23 microM) and mixed inhibition (2- and 5-sulfoxidation, Ki = 60 microM and 34 microM, respectively) of thioridazine metabolism by fluoxetine, and to the adaptive changes produced by chronic administration of fluoxetine, as reflected by inhibition of N-demethylation and formation of sulforidazine.",The influence of selective serotonin reuptake inhibitors (SSRIs) on the pharmacokinetics of thioridazine and its metabolites: in vivo and in vitro studies. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10445388/),μM,34,199317,DB00933,Mesoridazine
,10445388,Ki,"Sertraline seemed to have a tendency to decrease thioridazine concentration in vivo, though in vitro studies showed that - like fluoxetine - it competitively or via mixed mechanism inhibited the three metabolic pathways of thioridazine (Ki = 41 microM, 64 microM and 47 microM, respectively).",The influence of selective serotonin reuptake inhibitors (SSRIs) on the pharmacokinetics of thioridazine and its metabolites: in vivo and in vitro studies. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10445388/),μM,41,199318,DB00933,Mesoridazine
,10445388,Ki,"Sertraline seemed to have a tendency to decrease thioridazine concentration in vivo, though in vitro studies showed that - like fluoxetine - it competitively or via mixed mechanism inhibited the three metabolic pathways of thioridazine (Ki = 41 microM, 64 microM and 47 microM, respectively).",The influence of selective serotonin reuptake inhibitors (SSRIs) on the pharmacokinetics of thioridazine and its metabolites: in vivo and in vitro studies. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10445388/),μM,64,199319,DB00933,Mesoridazine
