Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,23641215,time to maximal concentration,"In the presence of food at the 750 mg dose, the time to maximal concentration was between 2 and 6 h and the terminal half-life was short at approximately 2 h.","Effects of Urotensin II Receptor Antagonist, GSK1440115, in Asthma. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23641215/),h,2 and 6,9273,DB06709,Methacholine
,23641215,terminal half-life,"In the presence of food at the 750 mg dose, the time to maximal concentration was between 2 and 6 h and the terminal half-life was short at approximately 2 h.","Effects of Urotensin II Receptor Antagonist, GSK1440115, in Asthma. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/23641215/),h,2,9274,DB06709,Methacholine
,26440992,wash-in time to P50,"The uptake and elimination of desflurane in arterial blood was delayed by nebulization of MCh, as determined by Micropore Membrane Inlet Mass Spectrometry (wash-in time to P50, healthy vs. inhalation: 0.5 min vs. 1.1 min, to P90: 4.0 min vs. 14.8 min).",Bronchoconstriction induced by inhaled methacholine delays desflurane uptake and elimination in a piglet model. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26440992/),min,0.5,65752,DB06709,Methacholine
,26440992,wash-in time to P50,"The uptake and elimination of desflurane in arterial blood was delayed by nebulization of MCh, as determined by Micropore Membrane Inlet Mass Spectrometry (wash-in time to P50, healthy vs. inhalation: 0.5 min vs. 1.1 min, to P90: 4.0 min vs. 14.8 min).",Bronchoconstriction induced by inhaled methacholine delays desflurane uptake and elimination in a piglet model. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26440992/),min,1.1,65753,DB06709,Methacholine
,26440992,P90,"The uptake and elimination of desflurane in arterial blood was delayed by nebulization of MCh, as determined by Micropore Membrane Inlet Mass Spectrometry (wash-in time to P50, healthy vs. inhalation: 0.5 min vs. 1.1 min, to P90: 4.0 min vs. 14.8 min).",Bronchoconstriction induced by inhaled methacholine delays desflurane uptake and elimination in a piglet model. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26440992/),min,4.0,65754,DB06709,Methacholine
,26440992,P90,"The uptake and elimination of desflurane in arterial blood was delayed by nebulization of MCh, as determined by Micropore Membrane Inlet Mass Spectrometry (wash-in time to P50, healthy vs. inhalation: 0.5 min vs. 1.1 min, to P90: 4.0 min vs. 14.8 min).",Bronchoconstriction induced by inhaled methacholine delays desflurane uptake and elimination in a piglet model. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26440992/),min,14.8,65755,DB06709,Methacholine
,25040039,Cmax,"Pharmacokinetic data showed AQX-1125 was rapidly absorbed with geometric mean Cmax and AUC0-24 h values of 1417 ng/mL and 16 727 h ng/mL, respectively.",The effects of the novel SHIP1 activator AQX-1125 on allergen-induced responses in mild-to-moderate asthma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25040039/),[ng] / [ml],1417,69032,DB06709,Methacholine
,25040039,AUC0-24 h,"Pharmacokinetic data showed AQX-1125 was rapidly absorbed with geometric mean Cmax and AUC0-24 h values of 1417 ng/mL and 16 727 h ng/mL, respectively.",The effects of the novel SHIP1 activator AQX-1125 on allergen-induced responses in mild-to-moderate asthma. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25040039/),[h·ng] / [ml],16 727,69033,DB06709,Methacholine
,14561847,half-life,"Methylecgonidine clears quickly from blood with a half-life of 18 to 21 min, whereas ecgonidine has a longer half-life of 94 to 137 min.","Pharmacokinetics and pharmacodynamics of methylecgonidine, a crack cocaine pyrolyzate. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14561847/),min,18 to 21,88463,DB06709,Methacholine
,14561847,half-life,"Methylecgonidine clears quickly from blood with a half-life of 18 to 21 min, whereas ecgonidine has a longer half-life of 94 to 137 min.","Pharmacokinetics and pharmacodynamics of methylecgonidine, a crack cocaine pyrolyzate. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14561847/),min,94 to 137,88464,DB06709,Methacholine
,17723076,PC(20),"However, S-albuterol reduced the provocative concentration of methacholine to induce a 20% decrease in FEV(1) (PC(20) 0.52 +/- 2.06 vs 0.39 +/- 1.58 mg/ml, placebo vs S-albuterol, p=0.044) but did not affect FeNO.",Comparison of the dose response to levalbuterol with and without pretreatment with S-albuterol after methacholine-induced bronchoconstriction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17723076/),[mg] / [ml],0.52,90637,DB06709,Methacholine
,17723076,PC(20),"However, S-albuterol reduced the provocative concentration of methacholine to induce a 20% decrease in FEV(1) (PC(20) 0.52 +/- 2.06 vs 0.39 +/- 1.58 mg/ml, placebo vs S-albuterol, p=0.044) but did not affect FeNO.",Comparison of the dose response to levalbuterol with and without pretreatment with S-albuterol after methacholine-induced bronchoconstriction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17723076/),[mg] / [ml],0.39,90638,DB06709,Methacholine
,16597076,forced expiratory volume in 1 second,"Fifteen asthmatic patients (mean +/- SEM forced expiratory volume in 1 second [FEV1], 2.62 +/- 0.21 L; provocative concentration of methacholine causing a 20% decrease in FEV1 [PC20], 1.06 +/- 0.58) were randomized to completion in a placebo-controlled, double-blind, crossover manner to receive Beclate or Qvar at doses of 100 or 400 microg/d for 2 weeks, with a 1-week washout period before each randomized treatment.",A comparison of 2 extrafine hydrofluoroalkane-134a-beclomethasone formulations on methacholine hyperresponsiveness. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16597076/),l,2.62,149135,DB06709,Methacholine
,21371471,pKi,In vitro radioligand binding studies using human recombinant muscarinic receptors showed that RBx 343E48F0 had a pKi of 9.6 at the M(3) receptor and a 60-fold selectivity for the M(3) receptor over the M(2) receptor.,"Pharmacodynamic and pharmacokinetic profile of RBx 343E48F0: a novel, long acting muscarinic receptor antagonist. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21371471/),,9.6,184080,DB06709,Methacholine
,21371471,pK(B),"In isolated tissue bioassays, it exhibited surmountable antagonism at the guinea pig trachea with a pK(B) of 9.5.","Pharmacodynamic and pharmacokinetic profile of RBx 343E48F0: a novel, long acting muscarinic receptor antagonist. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21371471/),,9.5,184081,DB06709,Methacholine
,21371471,ED(50),Intratracheal administration to anaesthetized rats demonstrated a dose-dependent inhibition of carbachol-induced bronchoconstriction with an ED(50) value of 110 ng/kg.,"Pharmacodynamic and pharmacokinetic profile of RBx 343E48F0: a novel, long acting muscarinic receptor antagonist. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21371471/),[ng] / [kg],110,184082,DB06709,Methacholine
,16140028,PC20 metha,"Sixteen asthmatic patients with EIB were included in the study (mean (SD)) (age 24.5 (7.3) yr, FEV1 88.6 (11.3) %predicted, PC20 methacholine (g-mean (SD in DD)) 0.4 (1.5) mg/ml).",Inhaled hyaluronic acid against exercise-induced bronchoconstriction in asthma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16140028/),[mg] / [ml],0.4,243315,DB06709,Methacholine
,16140028,AUC,"The maximum fall in FEV1 following exercise challenge was not significantly different between HA versus placebo (median HA 22.50%, placebo 27.20%, P=0.379), as was the AUC (median HA 379.3 min*%fall, placebo 498.9 min*%fall, P=0.501).",Inhaled hyaluronic acid against exercise-induced bronchoconstriction in asthma. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16140028/),%fall·min,379.3,243316,DB06709,Methacholine
,16140028,AUC,"The maximum fall in FEV1 following exercise challenge was not significantly different between HA versus placebo (median HA 22.50%, placebo 27.20%, P=0.379), as was the AUC (median HA 379.3 min*%fall, placebo 498.9 min*%fall, P=0.501).",Inhaled hyaluronic acid against exercise-induced bronchoconstriction in asthma. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16140028/),%fall·min,498.9,243317,DB06709,Methacholine
,15373928,PD20,"Geometric mean PD20 values were 0.51 mg with HFA, 0.62 mg with DPI, 0.62 mg with CFC and 0.2 mg with placebo.","Comparison of bronchoprotective and bronchodilator effects of a single dose of formoterol delivered by hydrofluoroalkane and chlorofluorocarbon aerosols and dry powder in a double blind, placebo-controlled, crossover study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15373928/),mg,0.51,252557,DB06709,Methacholine
,15373928,PD20,"Geometric mean PD20 values were 0.51 mg with HFA, 0.62 mg with DPI, 0.62 mg with CFC and 0.2 mg with placebo.","Comparison of bronchoprotective and bronchodilator effects of a single dose of formoterol delivered by hydrofluoroalkane and chlorofluorocarbon aerosols and dry powder in a double blind, placebo-controlled, crossover study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15373928/),mg,0.62,252558,DB06709,Methacholine
,15373928,PD20,"Geometric mean PD20 values were 0.51 mg with HFA, 0.62 mg with DPI, 0.62 mg with CFC and 0.2 mg with placebo.","Comparison of bronchoprotective and bronchodilator effects of a single dose of formoterol delivered by hydrofluoroalkane and chlorofluorocarbon aerosols and dry powder in a double blind, placebo-controlled, crossover study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15373928/),mg,0.2,252559,DB06709,Methacholine
,26702425,FiO2,"The airway was secured via median tracheostomy with an endotracheal tube, and animals were mechanically ventilated with intermittent positive pressure ventilation (IPPV) with a FiO2 of 0.4, tidal volume (V T)=10 ml/kg and PEEP of 5cmH2O using an open system.",Effects of methacholine infusion on desflurane pharmacokinetics in piglets. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26702425/),,0.4,252972,DB06709,Methacholine
,26702425,tidal volume (V T),"The airway was secured via median tracheostomy with an endotracheal tube, and animals were mechanically ventilated with intermittent positive pressure ventilation (IPPV) with a FiO2 of 0.4, tidal volume (V T)=10 ml/kg and PEEP of 5cmH2O using an open system.",Effects of methacholine infusion on desflurane pharmacokinetics in piglets. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26702425/),[ml] / [kg],10,252973,DB06709,Methacholine
