Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,966152,maximal rate of transport,"Values for the maximal rate of transport and a transport constant analogous to the Michaelis constant were 12 mg/hr and 32 mg/liter (7 x 10-5 M), respectively.",Biliary secretion of methotrexate in rats and its inhibition by probenecid. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/966152/),[mg] / [h],12,85,DB00563,Methotrexate
,966152,transport constant,"Values for the maximal rate of transport and a transport constant analogous to the Michaelis constant were 12 mg/hr and 32 mg/liter (7 x 10-5 M), respectively.",Biliary secretion of methotrexate in rats and its inhibition by probenecid. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/966152/),[mg] / [h],12,86,DB00563,Methotrexate
,966152,transport constant,"Values for the maximal rate of transport and a transport constant analogous to the Michaelis constant were 12 mg/hr and 32 mg/liter (7 x 10-5 M), respectively.",Biliary secretion of methotrexate in rats and its inhibition by probenecid. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/966152/),[mg] / [l],32,87,DB00563,Methotrexate
,966152,Michaelis constant,"Values for the maximal rate of transport and a transport constant analogous to the Michaelis constant were 12 mg/hr and 32 mg/liter (7 x 10-5 M), respectively.",Biliary secretion of methotrexate in rats and its inhibition by probenecid. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/966152/),[mg] / [l],32,88,DB00563,Methotrexate
,966152,Michaelis constant,"Values for the maximal rate of transport and a transport constant analogous to the Michaelis constant were 12 mg/hr and 32 mg/liter (7 x 10-5 M), respectively.",Biliary secretion of methotrexate in rats and its inhibition by probenecid. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/966152/),M,7 x,89,DB00563,Methotrexate
,966152,Ki,"The value of Ki, the dissociation constant for the transport carrier-inhibitor complex, was 23 mug/ml (8 x10-5 M).",Biliary secretion of methotrexate in rats and its inhibition by probenecid. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/966152/),[μg] / [ml],23,90,DB00563,Methotrexate
,966152,dissociation constant,"The value of Ki, the dissociation constant for the transport carrier-inhibitor complex, was 23 mug/ml (8 x10-5 M).",Biliary secretion of methotrexate in rats and its inhibition by probenecid. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/966152/),[μg] / [ml],23,91,DB00563,Methotrexate
,966152,dissociation constant,"The value of Ki, the dissociation constant for the transport carrier-inhibitor complex, was 23 mug/ml (8 x10-5 M).",Biliary secretion of methotrexate in rats and its inhibition by probenecid. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/966152/),M,8 x10-5,92,DB00563,Methotrexate
,17195068,total clearance (CL),"The following population parameters were obtained: total clearance (CL) = 8.8 l/h (inter-individual variability: 43%), initial volume of distribution (V1) = 17.3 l (48%), k12 = 0.0225 h(-1) (41%), and k21 = 0.0629 h(-1) (24%).",A limited sampling strategy to estimate individual pharmacokinetic parameters of methotrexate in children with acute lymphoblastic leukemia. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17195068/),[l] / [h],8.8,1494,DB00563,Methotrexate
,17195068,initial volume of distribution (V1),"The following population parameters were obtained: total clearance (CL) = 8.8 l/h (inter-individual variability: 43%), initial volume of distribution (V1) = 17.3 l (48%), k12 = 0.0225 h(-1) (41%), and k21 = 0.0629 h(-1) (24%).",A limited sampling strategy to estimate individual pharmacokinetic parameters of methotrexate in children with acute lymphoblastic leukemia. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17195068/),l,17.3,1495,DB00563,Methotrexate
