Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,7072505,apparent volume of distribution,"The distribution phase lasted for about 8 hrs, the mean apparent volume of distribution was 16.6 l/kg, and the total body clearance was on average 12.3 ml/min.",Pharmacokinetics and first-pass metabolism of levomepromazine in the rat. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7072505/),[l] / [kg],16.6,11044,DB01403,Methotrimeprazine
,7072505,total body clearance,"The distribution phase lasted for about 8 hrs, the mean apparent volume of distribution was 16.6 l/kg, and the total body clearance was on average 12.3 ml/min.",Pharmacokinetics and first-pass metabolism of levomepromazine in the rat. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7072505/),[ml] / [min],12.3,11045,DB01403,Methotrimeprazine
,8963481,absolute bioavailability,"There was a 21% absolute bioavailability of levomepromazine, indicating a pronounced presystemic metabolism.",Bioequivalence and absolute bioavailability of oblong and coated levomepromazine tablets in CYP2D6 phenotyped subjects. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8963481/),%,21,82629,DB01403,Methotrimeprazine
,8963481,total serum clearance,"The total serum clearance and the apparent volume of distribution at steady state were 48 +/- 14 l/min and 980 +/- 213 l, respectively.",Bioequivalence and absolute bioavailability of oblong and coated levomepromazine tablets in CYP2D6 phenotyped subjects. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8963481/),[l] / [min],48,82630,DB01403,Methotrimeprazine
,8963481,apparent volume of distribution at steady state,"The total serum clearance and the apparent volume of distribution at steady state were 48 +/- 14 l/min and 980 +/- 213 l, respectively.",Bioequivalence and absolute bioavailability of oblong and coated levomepromazine tablets in CYP2D6 phenotyped subjects. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8963481/),l,980,82631,DB01403,Methotrimeprazine
,12798199,recovery,The recovery in human plasma for the different analytes varied between 85 and 11%.,"Simultaneous determination of levomepromazine, midazolam and their major metabolites in human plasma by reversed-phase liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12798199/),%,85 and 11,92580,DB01403,Methotrimeprazine
,12798199,half-life,The first results of pharmacokinetic analysis of midazolam indicated that half-life varied between 1.1 and 1.9 h.,"Simultaneous determination of levomepromazine, midazolam and their major metabolites in human plasma by reversed-phase liquid chromatography. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12798199/),h,1.1 and 1.9,92581,DB01403,Methotrimeprazine
,12798199,apparent volume of distribution,Pharmacokinetic analysis using a one-compartment model of levomepromazine revealed that the apparent volume of distribution was 4.1+/-2.4 l per kg lean body mass and the metabolic clearance was 309+/-225 l per hour per 70 kg.,"Simultaneous determination of levomepromazine, midazolam and their major metabolites in human plasma by reversed-phase liquid chromatography. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12798199/),[l] / [kg],4.1,92582,DB01403,Methotrimeprazine
,12798199,metabolic clearance,Pharmacokinetic analysis using a one-compartment model of levomepromazine revealed that the apparent volume of distribution was 4.1+/-2.4 l per kg lean body mass and the metabolic clearance was 309+/-225 l per hour per 70 kg.,"Simultaneous determination of levomepromazine, midazolam and their major metabolites in human plasma by reversed-phase liquid chromatography. ",CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12798199/),[l] / [70·h·kg],309,92583,DB01403,Methotrimeprazine
,862652,biological half-life,"The biological half-life of levomepromazine ranged from 16.5 h to 77.8 h, and a 13-fold variation was seen in the ratio of the total clearance to the absorbed fraction of the dose (Cl/Fpo).",Pharmacokinetics and relative bioavailability of levomepromazine after repeated administration of tablets and syrup. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/862652/),h,16.5,156985,DB01403,Methotrimeprazine
