Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9048269,elimination half-life,"Pharmacokinetic analysis revealed an elimination half-life of 117.5 minutes (+/-53.2), and a clearance of 38.8 L/hr (+/-17.4) with a methylnaltrexone dose of 0.64 mg/kg.","Safety and tolerance of methylnaltrexone in healthy humans: a randomized, placebo-controlled, intravenous, ascending-dose, pharmacokinetic study. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9048269/),min,117.5,47186,DB06800,Methylnaltrexone
,9048269,clearance,"Pharmacokinetic analysis revealed an elimination half-life of 117.5 minutes (+/-53.2), and a clearance of 38.8 L/hr (+/-17.4) with a methylnaltrexone dose of 0.64 mg/kg.","Safety and tolerance of methylnaltrexone in healthy humans: a randomized, placebo-controlled, intravenous, ascending-dose, pharmacokinetic study. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9048269/),[l] / [h],38.8,47187,DB06800,Methylnaltrexone
,15831777,oral-cecal transit time,"Steady state was achieved rapidly, and after repeated dosing for 3 days, methylnaltrexone decreased oral-cecal transit time from a pretreatment baseline value of 101.3 +/- 29.4 min (mean +/- SD) to 82.5 +/- 20.7 min.","Tolerability, gut effects, and pharmacokinetics of methylnaltrexone following repeated intravenous administration in humans. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15831777/),min,101.3,71142,DB06800,Methylnaltrexone
,15831777,oral-cecal transit time,"Steady state was achieved rapidly, and after repeated dosing for 3 days, methylnaltrexone decreased oral-cecal transit time from a pretreatment baseline value of 101.3 +/- 29.4 min (mean +/- SD) to 82.5 +/- 20.7 min.","Tolerability, gut effects, and pharmacokinetics of methylnaltrexone following repeated intravenous administration in humans. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15831777/),min,82.5,71143,DB06800,Methylnaltrexone
,15831777,Maximum observed plasma concentrations,"Maximum observed plasma concentrations, measured 5 minutes postdose, were 538 +/- 237 and 675 +/- 180 ng/mL after doses 1 and 2, respectively.","Tolerability, gut effects, and pharmacokinetics of methylnaltrexone following repeated intravenous administration in humans. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15831777/),[ng] / [ml],538,71144,DB06800,Methylnaltrexone
,15831777,Maximum observed plasma concentrations,"Maximum observed plasma concentrations, measured 5 minutes postdose, were 538 +/- 237 and 675 +/- 180 ng/mL after doses 1 and 2, respectively.","Tolerability, gut effects, and pharmacokinetics of methylnaltrexone following repeated intravenous administration in humans. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15831777/),[ng] / [ml],675,71145,DB06800,Methylnaltrexone
,15831777,plasma half-life,"Based on 6-hour sampling periods, the plasma half-life, 2.5 +/- 0.5 and 2.9 +/- 0.9 hours following the 1st and 12th doses, respectively, was unchanged at steady state.","Tolerability, gut effects, and pharmacokinetics of methylnaltrexone following repeated intravenous administration in humans. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15831777/),h,2.5,71146,DB06800,Methylnaltrexone
,15831777,plasma half-life,"Based on 6-hour sampling periods, the plasma half-life, 2.5 +/- 0.5 and 2.9 +/- 0.9 hours following the 1st and 12th doses, respectively, was unchanged at steady state.","Tolerability, gut effects, and pharmacokinetics of methylnaltrexone following repeated intravenous administration in humans. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15831777/),h,2.9,71147,DB06800,Methylnaltrexone
,28776489,Cmax,"After single s.c. administrations of 0.075, 0.15, and 0.3 mg/kg of MNTX bromide, Cmax values of MNTX were 93.5 ± 28.6, 191 ± 37, and 364 ± 54 ng/mL, respectively, and AUC0-∞ were 88.8 ± 8.8, 181 ± 16, and 357 ± 34 ng⋅h/mL, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[ng] / [ml],93.5,71726,DB06800,Methylnaltrexone
,28776489,Cmax,"After single s.c. administrations of 0.075, 0.15, and 0.3 mg/kg of MNTX bromide, Cmax values of MNTX were 93.5 ± 28.6, 191 ± 37, and 364 ± 54 ng/mL, respectively, and AUC0-∞ were 88.8 ± 8.8, 181 ± 16, and 357 ± 34 ng⋅h/mL, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[ng] / [ml],191,71727,DB06800,Methylnaltrexone
,28776489,Cmax,"After single s.c. administrations of 0.075, 0.15, and 0.3 mg/kg of MNTX bromide, Cmax values of MNTX were 93.5 ± 28.6, 191 ± 37, and 364 ± 54 ng/mL, respectively, and AUC0-∞ were 88.8 ± 8.8, 181 ± 16, and 357 ± 34 ng⋅h/mL, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[ng] / [ml],364,71728,DB06800,Methylnaltrexone
,28776489,AUC0-∞,"After single s.c. administrations of 0.075, 0.15, and 0.3 mg/kg of MNTX bromide, Cmax values of MNTX were 93.5 ± 28.6, 191 ± 37, and 364 ± 54 ng/mL, respectively, and AUC0-∞ were 88.8 ± 8.8, 181 ± 16, and 357 ± 34 ng⋅h/mL, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[h·ng] / [ml],88.8,71729,DB06800,Methylnaltrexone
,28776489,AUC0-∞,"After single s.c. administrations of 0.075, 0.15, and 0.3 mg/kg of MNTX bromide, Cmax values of MNTX were 93.5 ± 28.6, 191 ± 37, and 364 ± 54 ng/mL, respectively, and AUC0-∞ were 88.8 ± 8.8, 181 ± 16, and 357 ± 34 ng⋅h/mL, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[h·ng] / [ml],181,71730,DB06800,Methylnaltrexone
,28776489,AUC0-∞,"After single s.c. administrations of 0.075, 0.15, and 0.3 mg/kg of MNTX bromide, Cmax values of MNTX were 93.5 ± 28.6, 191 ± 37, and 364 ± 54 ng/mL, respectively, and AUC0-∞ were 88.8 ± 8.8, 181 ± 16, and 357 ± 34 ng⋅h/mL, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[h·ng] / [ml],357,71731,DB06800,Methylnaltrexone
,28776489,t1/2,The t1/2 of MNTX was about 7.7 h.,Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),h,7.7,71732,DB06800,Methylnaltrexone
,28776489,Cmax,"After multiple doses administration, the Cmax, Cav, AUCss, and MRT0-∞ values were 191 ± 50, 3.79 ± 0.40 ng/mL, 182 ± 19 ng⋅h/mL, and 3.56 ± 1.17 h, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[ng] / [ml],191,71733,DB06800,Methylnaltrexone
,28776489,Cav,"After multiple doses administration, the Cmax, Cav, AUCss, and MRT0-∞ values were 191 ± 50, 3.79 ± 0.40 ng/mL, 182 ± 19 ng⋅h/mL, and 3.56 ± 1.17 h, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[ng] / [ml],3.79,71734,DB06800,Methylnaltrexone
,28776489,Cav,"After multiple doses administration, the Cmax, Cav, AUCss, and MRT0-∞ values were 191 ± 50, 3.79 ± 0.40 ng/mL, 182 ± 19 ng⋅h/mL, and 3.56 ± 1.17 h, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[h·ng] / [ml],182,71735,DB06800,Methylnaltrexone
,28776489,AUCss,"After multiple doses administration, the Cmax, Cav, AUCss, and MRT0-∞ values were 191 ± 50, 3.79 ± 0.40 ng/mL, 182 ± 19 ng⋅h/mL, and 3.56 ± 1.17 h, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,AUCSS-Q18,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[ng] / [ml],3.79,71736,DB06800,Methylnaltrexone
,28776489,AUCss,"After multiple doses administration, the Cmax, Cav, AUCss, and MRT0-∞ values were 191 ± 50, 3.79 ± 0.40 ng/mL, 182 ± 19 ng⋅h/mL, and 3.56 ± 1.17 h, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,AUCSS-Q18,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),[h·ng] / [ml],182,71737,DB06800,Methylnaltrexone
,28776489,MRT0-∞,"After multiple doses administration, the Cmax, Cav, AUCss, and MRT0-∞ values were 191 ± 50, 3.79 ± 0.40 ng/mL, 182 ± 19 ng⋅h/mL, and 3.56 ± 1.17 h, respectively.",Pharmacokinetic study of methylnaltrexone after single and multiple subcutaneous administrations in healthy Chinese subjects. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28776489/),h,3.56,71738,DB06800,Methylnaltrexone
,30636504,time,Median (interquartile range) time from ticagrelor administration to randomization was 41 (31-50) versus 45.5 (37-60) minutes ( P=0.16).,The MOVEMENT Trial. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30636504/),min,41,94855,DB06800,Methylnaltrexone
