Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
≥,31572990,time to TOF,"With a TOF Watch SX device, the time to TOF ≥0.9 was recorded.","Effect of Concurrent Lidocaine, Remifentanil and Methylprednisolone Use on the Clinical Effect of Sugammadex under General Anaesthesia in Rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31572990/),,0.9,3123,DB00959,Methylprednisolone
≥,31572990,time to TOF,"However, in Group 2, time to TOF ≥0.9 was prolonged significantly when compared with the control group.","Effect of Concurrent Lidocaine, Remifentanil and Methylprednisolone Use on the Clinical Effect of Sugammadex under General Anaesthesia in Rats. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31572990/),,0.9,3124,DB00959,Methylprednisolone
,11294518,flow rate,"The mobile phase consisted of 16% isopropanol in water containing 0.1% trifluoroacetic acid, set at a flow rate of 1.2 mL/min.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),[ml] / [min],1.2,3291,DB00959,Methylprednisolone
,11294518,imprecision,"Mean intra-assay and interassay imprecision levels were 6.0% and 7.2%, respectively, for prednisolone, 5.8% and 7.2% for prednisone, and 5.6% and 7.9% for cortisol.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,7.2,3292,DB00959,Methylprednisolone
,11294518,imprecision,"Mean intra-assay and interassay imprecision levels were 6.0% and 7.2%, respectively, for prednisolone, 5.8% and 7.2% for prednisone, and 5.6% and 7.9% for cortisol.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,5.8,3293,DB00959,Methylprednisolone
,11294518,imprecision,"Mean intra-assay and interassay imprecision levels were 6.0% and 7.2%, respectively, for prednisolone, 5.8% and 7.2% for prednisone, and 5.6% and 7.9% for cortisol.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,5.6,3294,DB00959,Methylprednisolone
,11294518,imprecision,"Mean intra-assay and interassay imprecision levels were 6.0% and 7.2%, respectively, for prednisolone, 5.8% and 7.2% for prednisone, and 5.6% and 7.9% for cortisol.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,7.9,3295,DB00959,Methylprednisolone
,11294518,recoveries,"Corticosteroid recoveries were 73%, 74%, and 90% for prednisolone, prednisone, and cortisol, respectively.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,73,3296,DB00959,Methylprednisolone
,11294518,recoveries,"Corticosteroid recoveries were 73%, 74%, and 90% for prednisolone, prednisone, and cortisol, respectively.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,74,3297,DB00959,Methylprednisolone
,11294518,recoveries,"Corticosteroid recoveries were 73%, 74%, and 90% for prednisolone, prednisone, and cortisol, respectively.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,90,3298,DB00959,Methylprednisolone
