Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2598990,Detection limits,Detection limits were 300 pg.,"Application of a radioreceptor assay in a pharmacokinetic study of oxitropium bromide in healthy volunteers after single i.v., oral and inhalation doses. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2598990/),pg,300,161286,DB00462,Methylscopolamine bromide
,2598990,Vc,"After i.v. administration the kinetic parameters were: Vc 38.41; t1/2 alpha 5.3 min; t1/2 beta 142 min; AUC 8.9 h.ng.ml-1; renal excretion 50.2%, k10 3.5 l.h-1 and total clearance 1874 ml/min.","Application of a radioreceptor assay in a pharmacokinetic study of oxitropium bromide in healthy volunteers after single i.v., oral and inhalation doses. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2598990/),,38.41,161287,DB00462,Methylscopolamine bromide
,2598990,t1/2 alpha,"After i.v. administration the kinetic parameters were: Vc 38.41; t1/2 alpha 5.3 min; t1/2 beta 142 min; AUC 8.9 h.ng.ml-1; renal excretion 50.2%, k10 3.5 l.h-1 and total clearance 1874 ml/min.","Application of a radioreceptor assay in a pharmacokinetic study of oxitropium bromide in healthy volunteers after single i.v., oral and inhalation doses. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2598990/),min,5.3,161288,DB00462,Methylscopolamine bromide
,2598990,t1/2 beta,"After i.v. administration the kinetic parameters were: Vc 38.41; t1/2 alpha 5.3 min; t1/2 beta 142 min; AUC 8.9 h.ng.ml-1; renal excretion 50.2%, k10 3.5 l.h-1 and total clearance 1874 ml/min.","Application of a radioreceptor assay in a pharmacokinetic study of oxitropium bromide in healthy volunteers after single i.v., oral and inhalation doses. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2598990/),min,142,161289,DB00462,Methylscopolamine bromide
,2598990,AUC,"After i.v. administration the kinetic parameters were: Vc 38.41; t1/2 alpha 5.3 min; t1/2 beta 142 min; AUC 8.9 h.ng.ml-1; renal excretion 50.2%, k10 3.5 l.h-1 and total clearance 1874 ml/min.","Application of a radioreceptor assay in a pharmacokinetic study of oxitropium bromide in healthy volunteers after single i.v., oral and inhalation doses. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2598990/),[h·ng] / [ml],8.9,161290,DB00462,Methylscopolamine bromide
,2598990,renal excretion,"After i.v. administration the kinetic parameters were: Vc 38.41; t1/2 alpha 5.3 min; t1/2 beta 142 min; AUC 8.9 h.ng.ml-1; renal excretion 50.2%, k10 3.5 l.h-1 and total clearance 1874 ml/min.","Application of a radioreceptor assay in a pharmacokinetic study of oxitropium bromide in healthy volunteers after single i.v., oral and inhalation doses. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2598990/),%,50.2,161291,DB00462,Methylscopolamine bromide
,2598990,k10,"After i.v. administration the kinetic parameters were: Vc 38.41; t1/2 alpha 5.3 min; t1/2 beta 142 min; AUC 8.9 h.ng.ml-1; renal excretion 50.2%, k10 3.5 l.h-1 and total clearance 1874 ml/min.","Application of a radioreceptor assay in a pharmacokinetic study of oxitropium bromide in healthy volunteers after single i.v., oral and inhalation doses. ","K12, K21-Q48",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2598990/),[l] / [h],3.5,161292,DB00462,Methylscopolamine bromide
,2598990,total clearance,"After i.v. administration the kinetic parameters were: Vc 38.41; t1/2 alpha 5.3 min; t1/2 beta 142 min; AUC 8.9 h.ng.ml-1; renal excretion 50.2%, k10 3.5 l.h-1 and total clearance 1874 ml/min.","Application of a radioreceptor assay in a pharmacokinetic study of oxitropium bromide in healthy volunteers after single i.v., oral and inhalation doses. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2598990/),[ml] / [min],1874,161293,DB00462,Methylscopolamine bromide
,2598990,apparent bioavailabilities,"The apparent bioavailabilities were 0.48% and 12.4% by the oral and inhalation routes, respectively, based on the cumulative renal excretion.","Application of a radioreceptor assay in a pharmacokinetic study of oxitropium bromide in healthy volunteers after single i.v., oral and inhalation doses. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2598990/),%,0.48,161294,DB00462,Methylscopolamine bromide
,2598990,apparent bioavailabilities,"The apparent bioavailabilities were 0.48% and 12.4% by the oral and inhalation routes, respectively, based on the cumulative renal excretion.","Application of a radioreceptor assay in a pharmacokinetic study of oxitropium bromide in healthy volunteers after single i.v., oral and inhalation doses. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2598990/),%,12.4,161295,DB00462,Methylscopolamine bromide
