Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,21474682,maximal inactivation rate constants (k(inact)),"Inactivation studies of mibefradil against the two isozymes showed that the maximal inactivation rate constants (k(inact)) were considerable in both isozymes (0.231-0.565 min(-1)), whereas the inhibitor concentration producing half the k(inact) (K(I, app)) of CYP3A2 (0.263-0.410 μM) was a good deal lower than that for CYP2C11 (6.82-11.4 μM).",Quantitative prediction of mechanism-based inhibition caused by mibefradil in rats. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21474682/),1/[min],0.231-0.565,19368,DB01388,Mibefradil
,21474682,"half the k(inact) (K(I, app))","Inactivation studies of mibefradil against the two isozymes showed that the maximal inactivation rate constants (k(inact)) were considerable in both isozymes (0.231-0.565 min(-1)), whereas the inhibitor concentration producing half the k(inact) (K(I, app)) of CYP3A2 (0.263-0.410 μM) was a good deal lower than that for CYP2C11 (6.82-11.4 μM).",Quantitative prediction of mechanism-based inhibition caused by mibefradil in rats. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21474682/),μM,0.263-0.410,19369,DB01388,Mibefradil
,21474682,"half the k(inact) (K(I, app))","Inactivation studies of mibefradil against the two isozymes showed that the maximal inactivation rate constants (k(inact)) were considerable in both isozymes (0.231-0.565 min(-1)), whereas the inhibitor concentration producing half the k(inact) (K(I, app)) of CYP3A2 (0.263-0.410 μM) was a good deal lower than that for CYP2C11 (6.82-11.4 μM).",Quantitative prediction of mechanism-based inhibition caused by mibefradil in rats. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21474682/),μM,6.82-11.4,19370,DB01388,Mibefradil
,9811158,clearance,"At the representative 40 mg intravenous dose mean pharmacokinetic parameters were clearance 241 +/- 76 mL min(-1), terminal exponential half-life 15.0 h and volume of distribution at steady state 213 L.",Single- and multiple-dose mibefradil pharmacokinetics in normal and hypertensive subjects. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9811158/),[ml] / [min],241,31987,DB01388,Mibefradil
,9811158,terminal exponential half-life,"At the representative 40 mg intravenous dose mean pharmacokinetic parameters were clearance 241 +/- 76 mL min(-1), terminal exponential half-life 15.0 h and volume of distribution at steady state 213 L.",Single- and multiple-dose mibefradil pharmacokinetics in normal and hypertensive subjects. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9811158/),h,15.0,31988,DB01388,Mibefradil
,9811158,volume of distribution at steady state,"At the representative 40 mg intravenous dose mean pharmacokinetic parameters were clearance 241 +/- 76 mL min(-1), terminal exponential half-life 15.0 h and volume of distribution at steady state 213 L.",Single- and multiple-dose mibefradil pharmacokinetics in normal and hypertensive subjects. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9811158/),l,213,31989,DB01388,Mibefradil
,22490230,k(inact),"The inactivation kinetic parameter, k(inact), was most consistent across systems tested for clarithromycin, verapamil, and troleandomycin, with a high k(inact) of 0.91 min(-1) observed for mibefradil in HepaRG cells.",Time-dependent inhibition and estimation of CYP3A clinical pharmacokinetic drug-drug interactions using plated human cell systems. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22490230/),1/[min],0.91,32837,DB01388,Mibefradil
,22490230,apparent K(I),The apparent K(I) estimates derived from the various systems displayed a range of variability from 3-fold for clarithromycin (5.4-17.7 μM) to 6-fold for verapamil (1.9-12.6 μM).,Time-dependent inhibition and estimation of CYP3A clinical pharmacokinetic drug-drug interactions using plated human cell systems. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22490230/),μM,5.4-17.7,32838,DB01388,Mibefradil
,22490230,apparent K(I),The apparent K(I) estimates derived from the various systems displayed a range of variability from 3-fold for clarithromycin (5.4-17.7 μM) to 6-fold for verapamil (1.9-12.6 μM).,Time-dependent inhibition and estimation of CYP3A clinical pharmacokinetic drug-drug interactions using plated human cell systems. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22490230/),μM,1.9-12.6,32839,DB01388,Mibefradil
>,9620098,trough:peak ratios,"Favorable hemodynamic and clinical profiles are reported, including high trough:peak ratios (> 80%), high oral bioavailability, and long elimination half-life (17-25 hrs) permitting once/day dosing.","Mibefradil, a pharmacologically distinct calcium antagonist. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9620098/),%,80,47827,DB01388,Mibefradil
