Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,28747995,Ki,"Considering a typical dosing regimen and applying the obtained Ki values of 0.72 µM (darifenacin, 15 mg daily) and 7.2 µM [propiverine, 30 mg daily, immediate release (IR)] for the inhibition of CYP2D6 yielded a predicted 1.9-fold and 1.4-fold increase in the area under the curve (AUC) of debrisoquine (CYP2D6 substrate), respectively.",Assessment of inhibitory effects on major human cytochrome P450 enzymes by spasmolytics used in the treatment of overactive bladder syndrome. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28747995/),μM,0.72,620,DB00683,Midazolam
,28747995,Ki,"Considering a typical dosing regimen and applying the obtained Ki values of 0.72 µM (darifenacin, 15 mg daily) and 7.2 µM [propiverine, 30 mg daily, immediate release (IR)] for the inhibition of CYP2D6 yielded a predicted 1.9-fold and 1.4-fold increase in the area under the curve (AUC) of debrisoquine (CYP2D6 substrate), respectively.",Assessment of inhibitory effects on major human cytochrome P450 enzymes by spasmolytics used in the treatment of overactive bladder syndrome. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28747995/),μM,7.2,621,DB00683,Midazolam
,28747995,Ki,"Due to the inhibition of the particular intestinal CYP3A4, the obtained Ki values of 14 µM of propiverine (30 mg daily, IR) resulted in a predicted doubling of the AUC for midazolam (CYP3A4 substrate).",Assessment of inhibitory effects on major human cytochrome P450 enzymes by spasmolytics used in the treatment of overactive bladder syndrome. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28747995/),μM,14,622,DB00683,Midazolam
,23777257,Km,"2. Diclofenac was converted to 4'-hydroxydiclofenac by recombinantly expressed human P450 1A2 with Km and Vmax values of 33 µM and 0.20 min(-1), respectively.",Drug interactions of diclofenac and its oxidative metabolite with human liver microsomal cytochrome P450 1A2-dependent drug oxidation. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23777257/),μM,33,1718,DB00683,Midazolam
,23777257,Vmax,"2. Diclofenac was converted to 4'-hydroxydiclofenac by recombinantly expressed human P450 1A2 with Km and Vmax values of 33 µM and 0.20 min(-1), respectively.",Drug interactions of diclofenac and its oxidative metabolite with human liver microsomal cytochrome P450 1A2-dependent drug oxidation. ,Vmax-Q66,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23777257/),1/[min],0.20,1719,DB00683,Midazolam
,23777257,inhibition constant,"Using the inhibition constant (37 µM) of diclofenac on caffeine 3-N-demethylation and the reported 95th percentiles of maximum plasma concentration (10.5 µM) after an oral dose of diclofenac, the in vivo estimated increase in area under the plasma concentration-time curve was 29%.",Drug interactions of diclofenac and its oxidative metabolite with human liver microsomal cytochrome P450 1A2-dependent drug oxidation. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23777257/),μM,37,1720,DB00683,Midazolam
,23777257,maximum plasma concentration,"Using the inhibition constant (37 µM) of diclofenac on caffeine 3-N-demethylation and the reported 95th percentiles of maximum plasma concentration (10.5 µM) after an oral dose of diclofenac, the in vivo estimated increase in area under the plasma concentration-time curve was 29%.",Drug interactions of diclofenac and its oxidative metabolite with human liver microsomal cytochrome P450 1A2-dependent drug oxidation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23777257/),μM,10.5,1721,DB00683,Midazolam
,8500918,tmax,"In a supine position, the gastrointestinal absorption rate of flunitrazepam (tmax 0.6 h) was faster than that of midazolam (tmax 0.95 h).",Midazolam and flunitrazepam: pharmacokinetics and effects on night time respiration and body movements in the elderly. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8500918/),h,0.6,1771,DB00683,Midazolam
,8500918,tmax,"In a supine position, the gastrointestinal absorption rate of flunitrazepam (tmax 0.6 h) was faster than that of midazolam (tmax 0.95 h).",Midazolam and flunitrazepam: pharmacokinetics and effects on night time respiration and body movements in the elderly. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8500918/),h,0.95,1772,DB00683,Midazolam
,9512844,gamma,"The parameters gamma, IC50 and t1/2Keo for ASSR were (mean +/- SD) 6.0 +/- 3.7, 2.1 +/- 1.2 ng.",40 Hz auditory steady-state response and EEG spectral edge frequency during sufentanil anaesthesia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9512844/),ng,6.0,1964,DB00683,Midazolam
,9512844,IC50,"The parameters gamma, IC50 and t1/2Keo for ASSR were (mean +/- SD) 6.0 +/- 3.7, 2.1 +/- 1.2 ng.",40 Hz auditory steady-state response and EEG spectral edge frequency during sufentanil anaesthesia. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9512844/),ng,2.1,1965,DB00683,Midazolam
,9512844,t1/2Keo,"The parameters gamma, IC50 and t1/2Keo for ASSR were (mean +/- SD) 6.0 +/- 3.7, 2.1 +/- 1.2 ng.",40 Hz auditory steady-state response and EEG spectral edge frequency during sufentanil anaesthesia. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9512844/),ng,2.1,1966,DB00683,Midazolam
,11851636,clearance,"Interestingly there was no significant change in the clearance of lignocaine (6.4 vs 5.8 (95% CI for the difference -2.74, -1.51) ml kg-1 min-1).",Correlation between midazolam and lignocaine pharmacokinetics and MEGX formation in healthy volunteers. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11851636/),kg·ml,6.4,2363,DB00683,Midazolam
,11851636,clearance,"Interestingly there was no significant change in the clearance of lignocaine (6.4 vs 5.8 (95% CI for the difference -2.74, -1.51) ml kg-1 min-1).",Correlation between midazolam and lignocaine pharmacokinetics and MEGX formation in healthy volunteers. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11851636/),kg·ml,5.8,2364,DB00683,Midazolam
,24216249,apparent pA2,"The potency of flumazenil, estimated by apparent pA2 values (95% CI), was 7.30 (7.12, 7.49), 7.17 (7.03, 7.31), 6.91 (6.72, 7.10) and 6.80 (6.67, 6.92) at 15, 30, 60 and 120min after flumazenil administration, respectively.",Quantitative pharmacological analyses of the interaction between flumazenil and midazolam in monkeys discriminating midazolam: Determination of the functional half life of flumazenil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24216249/),,7.30,2403,DB00683,Midazolam
,24216249,apparent pA2,"The potency of flumazenil, estimated by apparent pA2 values (95% CI), was 7.30 (7.12, 7.49), 7.17 (7.03, 7.31), 6.91 (6.72, 7.10) and 6.80 (6.67, 6.92) at 15, 30, 60 and 120min after flumazenil administration, respectively.",Quantitative pharmacological analyses of the interaction between flumazenil and midazolam in monkeys discriminating midazolam: Determination of the functional half life of flumazenil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24216249/),,7.17,2404,DB00683,Midazolam
,24216249,apparent pA2,"The potency of flumazenil, estimated by apparent pA2 values (95% CI), was 7.30 (7.12, 7.49), 7.17 (7.03, 7.31), 6.91 (6.72, 7.10) and 6.80 (6.67, 6.92) at 15, 30, 60 and 120min after flumazenil administration, respectively.",Quantitative pharmacological analyses of the interaction between flumazenil and midazolam in monkeys discriminating midazolam: Determination of the functional half life of flumazenil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24216249/),,6.91,2405,DB00683,Midazolam
,24216249,apparent pA2,"The potency of flumazenil, estimated by apparent pA2 values (95% CI), was 7.30 (7.12, 7.49), 7.17 (7.03, 7.31), 6.91 (6.72, 7.10) and 6.80 (6.67, 6.92) at 15, 30, 60 and 120min after flumazenil administration, respectively.",Quantitative pharmacological analyses of the interaction between flumazenil and midazolam in monkeys discriminating midazolam: Determination of the functional half life of flumazenil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24216249/),,6.80,2406,DB00683,Midazolam
,24216249,functional half life,"The functional half life of flumazenil, derived from potency estimates, was 57±13min.",Quantitative pharmacological analyses of the interaction between flumazenil and midazolam in monkeys discriminating midazolam: Determination of the functional half life of flumazenil. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24216249/),min,57,2407,DB00683,Midazolam
,2723115,total clearance,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),[ml] / [kg·min],3.34,3045,DB00683,Midazolam
,2723115,total clearance,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),[ml] / [kg·min],5.63,3046,DB00683,Midazolam
,2723115,total elimination rate constant,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),1/[h],0.400,3047,DB00683,Midazolam
,2723115,total elimination rate constant,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),1/[h],0.721,3048,DB00683,Midazolam
,2723115,elimination half-life,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),h,7.36,3049,DB00683,Midazolam
