Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2440455,maximum concentration,"The mean maximum concentration in plasma for midodrin was ca. 10 ng/ml 20-30 min after oral administration, for ST 1059 ca. 5 ng/ml after 1 h.","[The bioavailability of midodrin and alpha-2,5-dimethoxyphenyl-beta-aminoethanol hydrochloride]. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2440455/),[ng] / [ml],10,55839,DB00211,Midodrine
,2440455,maximum concentration,"The mean maximum concentration in plasma for midodrin was ca. 10 ng/ml 20-30 min after oral administration, for ST 1059 ca. 5 ng/ml after 1 h.","[The bioavailability of midodrin and alpha-2,5-dimethoxyphenyl-beta-aminoethanol hydrochloride]. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2440455/),[ng] / [ml],5,55840,DB00211,Midodrine
,2440455,terminal half-life,Midodrin was eliminated with a terminal half-life of 0.5 h.,"[The bioavailability of midodrin and alpha-2,5-dimethoxyphenyl-beta-aminoethanol hydrochloride]. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2440455/),h,0.5,55841,DB00211,Midodrine
,2440455,half-life,The half-life of ST 1059 was determined to be 3 h.,"[The bioavailability of midodrin and alpha-2,5-dimethoxyphenyl-beta-aminoethanol hydrochloride]. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2440455/),h,3,55842,DB00211,Midodrine
,2440455,area under the plasma-level vs. time curve (AUC),"The mean area under the plasma-level vs. time curve (AUC) of ST 1059 after administration of 2.5 mg midodrin i.v. was 28.7 ng X h/ml, and as drinking solution or as tablet 25.7 and 25.6 ng X h/ml, respectively.","[The bioavailability of midodrin and alpha-2,5-dimethoxyphenyl-beta-aminoethanol hydrochloride]. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2440455/),[h·ng] / [ml],28.7,55843,DB00211,Midodrine
,2440455,area under the plasma-level vs. time curve (AUC),"The mean area under the plasma-level vs. time curve (AUC) of ST 1059 after administration of 2.5 mg midodrin i.v. was 28.7 ng X h/ml, and as drinking solution or as tablet 25.7 and 25.6 ng X h/ml, respectively.","[The bioavailability of midodrin and alpha-2,5-dimethoxyphenyl-beta-aminoethanol hydrochloride]. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2440455/),[h·ng] / [ml],25.7,55844,DB00211,Midodrine
,2440455,area under the plasma-level vs. time curve (AUC),"The mean area under the plasma-level vs. time curve (AUC) of ST 1059 after administration of 2.5 mg midodrin i.v. was 28.7 ng X h/ml, and as drinking solution or as tablet 25.7 and 25.6 ng X h/ml, respectively.","[The bioavailability of midodrin and alpha-2,5-dimethoxyphenyl-beta-aminoethanol hydrochloride]. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2440455/),[h·ng] / [ml],25.6,55845,DB00211,Midodrine
,7690382,maximum concentration,"The mean maximum concentration in plasma for midodrine was 10 ng/ml 20-30 min after oral administration, for ST 1059 5 ng/ml after 1 h.",Pharmacokinetic parameters and haemodynamic actions of midodrine in young volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7690382/),[ng] / [ml],10,94148,DB00211,Midodrine
,7690382,maximum concentration,"The mean maximum concentration in plasma for midodrine was 10 ng/ml 20-30 min after oral administration, for ST 1059 5 ng/ml after 1 h.",Pharmacokinetic parameters and haemodynamic actions of midodrine in young volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7690382/),[ng] / [ml],5,94149,DB00211,Midodrine
,7690382,terminal half-life,"Midodrine was eliminated with a terminal half-life of 0.5 h, ST 1059 with a half-life of 3 hrs.",Pharmacokinetic parameters and haemodynamic actions of midodrine in young volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7690382/),h,0.5,94150,DB00211,Midodrine
,7690382,half-life,"Midodrine was eliminated with a terminal half-life of 0.5 h, ST 1059 with a half-life of 3 hrs.",Pharmacokinetic parameters and haemodynamic actions of midodrine in young volunteers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7690382/),h,3,94151,DB00211,Midodrine
,7690382,area under the plasma-level vs. time curve (AUC),"The mean area under the plasma-level vs. time curve (AUC) of ST 1059 after administration of 2.5 mg midodrine i.v. was 28.7 ng x h/ml, and similar for the other formulations which are considered to be bioequivalent.",Pharmacokinetic parameters and haemodynamic actions of midodrine in young volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7690382/),[h·ng] / [ml],28.7,94152,DB00211,Midodrine
,25910235,flow rate,"Isocratic elution was performed using methanol:0.2% formic acid (70:30, v/v) as the mobile phase, at a flow rate of 0.7mL/min.",Development and validation of LC-MS/MS assay for the determination of the prodrug Midodrine and its active metabolite Desglymidodrine in plasma of ascitic patients: Application to individualized therapy and comparative pharmacokinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25910235/),[ml] / [min],0.7,106461,DB00211,Midodrine
,9674789,half-life,The half-life of desglymidodrine was approximately 4 hours.,"A double-blind, dose-response study of midodrine in neurogenic orthostatic hypotension. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9674789/),h,4,239905,DB00211,Midodrine
,27417951,elimination of half-life,"The parent drug concentrations rapidly decreased with an elimination of half-life of 1.6 h, and the metabolite initially increased and then decreased.",Severe Hypertension and Bradycardia Secondary to Midodrine Overdose. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/27417951/),h,1.6,272586,DB00211,Midodrine
