Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,25802209,run time,"The chromatographic separation was achieved on a Waters ACQUITY HSS Cyano column using a mixture of acetonitrile/2 mM ammonium acetate solution containing 0.03% formic acid (80:20, v/v) as the mobile phase with a very short run time of 1.5 min.",Sensitive and rapid analytical method for the quantification of glucosamine in human plasma by ultra high performance liquid chromatography with tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25802209/),min,1.5,3284,DB00491,Miglitol
,29179061,flow rate,"An MN-NUCLEODUR HILIC column was assessed to separate the two compounds by isocratic elution using acetonitrile: water with 0.05% formic acid and 6.5mM ammonium acetate (72:28, v/v) at a flow rate of 0.4mL/min.",A UPLC-MS/MS method for simultaneous determination of 1-deoxynojirimycin and N-methyl-1-deoxynojirimycin in rat plasma and its application in pharmacokinetic and absolute bioavailability studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29179061/),[ml] / [min],0.4,7859,DB00491,Miglitol
,29179061,m/,"A triple quadrupole mass spectrometer was operated in the positive ionization mode using multiple reaction monitoring (MRM), and it was employed to determine transitions of m/z 164.1→110.1, 178.1→100.1, and 208.1→146.1 for DNJ, N-CH3-DNJ, and IS, respectively.",A UPLC-MS/MS method for simultaneous determination of 1-deoxynojirimycin and N-methyl-1-deoxynojirimycin in rat plasma and its application in pharmacokinetic and absolute bioavailability studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29179061/),,164.1,7860,DB00491,Miglitol
,29179061,m/,"A triple quadrupole mass spectrometer was operated in the positive ionization mode using multiple reaction monitoring (MRM), and it was employed to determine transitions of m/z 164.1→110.1, 178.1→100.1, and 208.1→146.1 for DNJ, N-CH3-DNJ, and IS, respectively.",A UPLC-MS/MS method for simultaneous determination of 1-deoxynojirimycin and N-methyl-1-deoxynojirimycin in rat plasma and its application in pharmacokinetic and absolute bioavailability studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29179061/),,110.1,7861,DB00491,Miglitol
,29179061,m/,"A triple quadrupole mass spectrometer was operated in the positive ionization mode using multiple reaction monitoring (MRM), and it was employed to determine transitions of m/z 164.1→110.1, 178.1→100.1, and 208.1→146.1 for DNJ, N-CH3-DNJ, and IS, respectively.",A UPLC-MS/MS method for simultaneous determination of 1-deoxynojirimycin and N-methyl-1-deoxynojirimycin in rat plasma and its application in pharmacokinetic and absolute bioavailability studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29179061/),,178.1,7862,DB00491,Miglitol
,29179061,m/,"A triple quadrupole mass spectrometer was operated in the positive ionization mode using multiple reaction monitoring (MRM), and it was employed to determine transitions of m/z 164.1→110.1, 178.1→100.1, and 208.1→146.1 for DNJ, N-CH3-DNJ, and IS, respectively.",A UPLC-MS/MS method for simultaneous determination of 1-deoxynojirimycin and N-methyl-1-deoxynojirimycin in rat plasma and its application in pharmacokinetic and absolute bioavailability studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29179061/),,100.1,7863,DB00491,Miglitol
,29179061,m/,"A triple quadrupole mass spectrometer was operated in the positive ionization mode using multiple reaction monitoring (MRM), and it was employed to determine transitions of m/z 164.1→110.1, 178.1→100.1, and 208.1→146.1 for DNJ, N-CH3-DNJ, and IS, respectively.",A UPLC-MS/MS method for simultaneous determination of 1-deoxynojirimycin and N-methyl-1-deoxynojirimycin in rat plasma and its application in pharmacokinetic and absolute bioavailability studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29179061/),,208.1,7864,DB00491,Miglitol
,29179061,absolute bioavailability,"The absolute bioavailability of DNJ and N-CH3-DNJ in rats was 50±9% and 62±24%, respectively.",A UPLC-MS/MS method for simultaneous determination of 1-deoxynojirimycin and N-methyl-1-deoxynojirimycin in rat plasma and its application in pharmacokinetic and absolute bioavailability studies. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29179061/),%,50,7865,DB00491,Miglitol
,29179061,absolute bioavailability,"The absolute bioavailability of DNJ and N-CH3-DNJ in rats was 50±9% and 62±24%, respectively.",A UPLC-MS/MS method for simultaneous determination of 1-deoxynojirimycin and N-methyl-1-deoxynojirimycin in rat plasma and its application in pharmacokinetic and absolute bioavailability studies. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29179061/),%,62,7866,DB00491,Miglitol
,16821643,linear dynamic,The assay exhibited a linear dynamic range of 100-6000 ng/mL for miglitol in human plasma.,Liquid chromatographic tandem mass spectrometry method for the quantification of miglitol in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16821643/),[ng] / [ml],100-6000,52454,DB00491,Miglitol
