Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8625682,HR,"While HR did not change in the LOW group (90 +/- 4 to 93 +/- 3 beats/min), HR increased significantly in the HIGH group (94 +/- 5 to 112 +/- 8 beats/min) (baseline to 60 min infusion time points).",Pharmacodynamics and pharmacokinetics of milrinone administration to increase oxygen delivery in critically ill patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8625682/),[beats] / [min],90,237,DB00235,Milrinone
,8625682,HR,"While HR did not change in the LOW group (90 +/- 4 to 93 +/- 3 beats/min), HR increased significantly in the HIGH group (94 +/- 5 to 112 +/- 8 beats/min) (baseline to 60 min infusion time points).",Pharmacodynamics and pharmacokinetics of milrinone administration to increase oxygen delivery in critically ill patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8625682/),[beats] / [min],93,238,DB00235,Milrinone
,8625682,HR,"While HR did not change in the LOW group (90 +/- 4 to 93 +/- 3 beats/min), HR increased significantly in the HIGH group (94 +/- 5 to 112 +/- 8 beats/min) (baseline to 60 min infusion time points).",Pharmacodynamics and pharmacokinetics of milrinone administration to increase oxygen delivery in critically ill patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8625682/),[beats] / [min],94,239,DB00235,Milrinone
,8625682,HR,"While HR did not change in the LOW group (90 +/- 4 to 93 +/- 3 beats/min), HR increased significantly in the HIGH group (94 +/- 5 to 112 +/- 8 beats/min) (baseline to 60 min infusion time points).",Pharmacodynamics and pharmacokinetics of milrinone administration to increase oxygen delivery in critically ill patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8625682/),[beats] / [min],112,240,DB00235,Milrinone
,8625682,CI,"At the end of the 10-min loading dose, CI increased 0.3 L/min/m2 in the LOW group, 1.1 L/min/m2 in the MED group, and 0.9 L/min/m2 in the HIGH group.",Pharmacodynamics and pharmacokinetics of milrinone administration to increase oxygen delivery in critically ill patients. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8625682/),[l] / [m2·min],0.3,241,DB00235,Milrinone
,8625682,CI,"At the end of the 10-min loading dose, CI increased 0.3 L/min/m2 in the LOW group, 1.1 L/min/m2 in the MED group, and 0.9 L/min/m2 in the HIGH group.",Pharmacodynamics and pharmacokinetics of milrinone administration to increase oxygen delivery in critically ill patients. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8625682/),[l] / [m2·min],1.1,242,DB00235,Milrinone
,8625682,CI,"At the end of the 10-min loading dose, CI increased 0.3 L/min/m2 in the LOW group, 1.1 L/min/m2 in the MED group, and 0.9 L/min/m2 in the HIGH group.",Pharmacodynamics and pharmacokinetics of milrinone administration to increase oxygen delivery in critically ill patients. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8625682/),[l] / [m2·min],0.9,243,DB00235,Milrinone
,8625682,Peak plasma milrinone concentrations,"Peak plasma milrinone concentrations increased as a function of the loading dose (159 +/- 9 ng/mL in the LOW group, 302 +/- 33 ng/ml in the MED group, and 411 +/- 45 ng/mL in the HIGH group).",Pharmacodynamics and pharmacokinetics of milrinone administration to increase oxygen delivery in critically ill patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8625682/),[ng] / [ml],159,244,DB00235,Milrinone
,8625682,Peak plasma milrinone concentrations,"Peak plasma milrinone concentrations increased as a function of the loading dose (159 +/- 9 ng/mL in the LOW group, 302 +/- 33 ng/ml in the MED group, and 411 +/- 45 ng/mL in the HIGH group).",Pharmacodynamics and pharmacokinetics of milrinone administration to increase oxygen delivery in critically ill patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8625682/),[ng] / [ml],302,245,DB00235,Milrinone
,8625682,Peak plasma milrinone concentrations,"Peak plasma milrinone concentrations increased as a function of the loading dose (159 +/- 9 ng/mL in the LOW group, 302 +/- 33 ng/ml in the MED group, and 411 +/- 45 ng/mL in the HIGH group).",Pharmacodynamics and pharmacokinetics of milrinone administration to increase oxygen delivery in critically ill patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8625682/),[ng] / [ml],411,246,DB00235,Milrinone
