Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6156360,metabolic clearance rate,"After the addition of minoxidil to the antihypertensive regimen of 7 hypertensive patients, the aldosterone metabolic clearance rate increased from 1,110 +/- 91 to 1,570 +/- 180 liters/day (p less than 0.01), an overall increase of 41%.",Increased aldosterone metabolic clearance in hypertensive patients treated with minoxidil: an effect of greater hepatic perfusion. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6156360/),[l] / [d],"1,110",74784,DB00350,Minoxidil
,6156360,metabolic clearance rate,"After the addition of minoxidil to the antihypertensive regimen of 7 hypertensive patients, the aldosterone metabolic clearance rate increased from 1,110 +/- 91 to 1,570 +/- 180 liters/day (p less than 0.01), an overall increase of 41%.",Increased aldosterone metabolic clearance in hypertensive patients treated with minoxidil: an effect of greater hepatic perfusion. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6156360/),[l] / [d],"1,570",74785,DB00350,Minoxidil
,6156363,half-life,"The half-life is approximately 3 hr, regardless of whether the dose is given singly or on a multiple-dose basis.",Pharmacology and pharmacokinetics of minoxidil. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6156363/),h,3,92645,DB00350,Minoxidil
greater,6156363,volume of distribution,"It is widely distributed throughout the body, and hence its volume of distribution is greater than 200 liters.",Pharmacology and pharmacokinetics of minoxidil. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6156363/),l,200,92646,DB00350,Minoxidil
,2808745,terminal elimination half-life,"The terminal elimination half-life was prolonged in Group IV subjects (8.87 +/- 6.12 hours) (mean +/- SD) compared to those in Groups I, II and III (1.38 +/- 0.16, 1.99 +/- 0.45 and 2.42 +/- 0.53 hours, respectively).",Disposition of minoxidil in patients with various degrees of renal function. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2808745/),h,8.87,138925,DB00350,Minoxidil
,2808745,terminal elimination half-life,"The terminal elimination half-life was prolonged in Group IV subjects (8.87 +/- 6.12 hours) (mean +/- SD) compared to those in Groups I, II and III (1.38 +/- 0.16, 1.99 +/- 0.45 and 2.42 +/- 0.53 hours, respectively).",Disposition of minoxidil in patients with various degrees of renal function. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2808745/),h,1.38,138926,DB00350,Minoxidil
,2808745,terminal elimination half-life,"The terminal elimination half-life was prolonged in Group IV subjects (8.87 +/- 6.12 hours) (mean +/- SD) compared to those in Groups I, II and III (1.38 +/- 0.16, 1.99 +/- 0.45 and 2.42 +/- 0.53 hours, respectively).",Disposition of minoxidil in patients with various degrees of renal function. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2808745/),h,1.99,138927,DB00350,Minoxidil
,2808745,terminal elimination half-life,"The terminal elimination half-life was prolonged in Group IV subjects (8.87 +/- 6.12 hours) (mean +/- SD) compared to those in Groups I, II and III (1.38 +/- 0.16, 1.99 +/- 0.45 and 2.42 +/- 0.53 hours, respectively).",Disposition of minoxidil in patients with various degrees of renal function. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2808745/),h,2.42,138928,DB00350,Minoxidil
,33806773,particle size,"Results showed that the average particle size of CE-NE is 14.26 ± 0.16 nm, and the PDI value is 0.086 ± 0.019.",Hair Growth Promoting Activity of Cedrol Nanoemulsion in C57BL/6 Mice and Its Bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33806773/),nm,14.26,169091,DB00350,Minoxidil
,33806773,PDI,"Results showed that the average particle size of CE-NE is 14.26 ± 0.16 nm, and the PDI value is 0.086 ± 0.019.",Hair Growth Promoting Activity of Cedrol Nanoemulsion in C57BL/6 Mice and Its Bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33806773/),,0.086,169092,DB00350,Minoxidil
