Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3932043,serum protein binding,The serum protein binding of the free acid metabolite of misoprostol was similar in young (81-88%) and elderly (81-89%) people.,Metabolism and pharmacokinetic studies of misoprostol. ,CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3932043/),%,81-88,993,DB00929,Misoprostol
,3932043,serum protein binding,The serum protein binding of the free acid metabolite of misoprostol was similar in young (81-88%) and elderly (81-89%) people.,Metabolism and pharmacokinetic studies of misoprostol. ,CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3932043/),%,81-89,994,DB00929,Misoprostol
,15592308,milk elimination half-life,"Milk misoprostol levels rose and declined rapidly, which gave a milk elimination half-life of less than one half that of methylergometrine (mean +/- SE, 1.1 +/- 0.3 hours [median, 0.6 hours] vs 2.33 +/- 0.3 hours [median, 1.9 hours]; P = .003).",Misoprostol versus methylergometrine: pharmacokinetics in human milk. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15592308/),h,1.1,2333,DB00929,Misoprostol
,15592308,milk elimination half-life,"Milk misoprostol levels rose and declined rapidly, which gave a milk elimination half-life of less than one half that of methylergometrine (mean +/- SE, 1.1 +/- 0.3 hours [median, 0.6 hours] vs 2.33 +/- 0.3 hours [median, 1.9 hours]; P = .003).",Misoprostol versus methylergometrine: pharmacokinetics in human milk. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15592308/),h,2.33,2334,DB00929,Misoprostol
,21872541,total run time,The total run time was 5.0 min and the elution of misoprostol acid and misoprostol acid-d(5) (IS) occurred at 3.6 min.,Development and validation of highly sensitive method for determination of misoprostol free acid in human plasma by liquid chromatography-electrospray ionization tandem mass spectrometry: application to a clinical pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21872541/),min,5.0,12151,DB00929,Misoprostol
,11821273,serum peak concentration (Cmax),"Sublingual misoprostol achieved the highest serum peak concentration (Cmax) (574.8 +/- 250.7 pg/ml) of MPA and this was significantly higher than those in the other groups [Oral: 287.6 +/- 144.3 pg/ml (P < 0.01), vaginal: 125.2 +/- 53.8 pg/ml (P < 0.001) and vaginal with water: 162.8 +/- 57.1 pg/ml (P < 0.001)].",Pharmacokinetics of different routes of administration of misoprostol. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11821273/),[pg] / [ml],574.8,17489,DB00929,Misoprostol
,11821273,serum peak concentration (Cmax),"Sublingual misoprostol achieved the highest serum peak concentration (Cmax) (574.8 +/- 250.7 pg/ml) of MPA and this was significantly higher than those in the other groups [Oral: 287.6 +/- 144.3 pg/ml (P < 0.01), vaginal: 125.2 +/- 53.8 pg/ml (P < 0.001) and vaginal with water: 162.8 +/- 57.1 pg/ml (P < 0.001)].",Pharmacokinetics of different routes of administration of misoprostol. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11821273/),[pg] / [ml],287.6,17490,DB00929,Misoprostol
,11821273,serum peak concentration (Cmax),"Sublingual misoprostol achieved the highest serum peak concentration (Cmax) (574.8 +/- 250.7 pg/ml) of MPA and this was significantly higher than those in the other groups [Oral: 287.6 +/- 144.3 pg/ml (P < 0.01), vaginal: 125.2 +/- 53.8 pg/ml (P < 0.001) and vaginal with water: 162.8 +/- 57.1 pg/ml (P < 0.001)].",Pharmacokinetics of different routes of administration of misoprostol. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11821273/),[pg] / [ml],125.2,17491,DB00929,Misoprostol
,11821273,serum peak concentration (Cmax),"Sublingual misoprostol achieved the highest serum peak concentration (Cmax) (574.8 +/- 250.7 pg/ml) of MPA and this was significantly higher than those in the other groups [Oral: 287.6 +/- 144.3 pg/ml (P < 0.01), vaginal: 125.2 +/- 53.8 pg/ml (P < 0.001) and vaginal with water: 162.8 +/- 57.1 pg/ml (P < 0.001)].",Pharmacokinetics of different routes of administration of misoprostol. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11821273/),[pg] / [ml],162.8,17492,DB00929,Misoprostol
,11821273,time to peak concentration (Tmax),The time to peak concentration (Tmax) was similar in both the sublingual (26.0 +/- 11.5 min) and oral groups (27.5 +/- 14.8 min) and was significantly shorter than those in both vaginal groups.,Pharmacokinetics of different routes of administration of misoprostol. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11821273/),min,26.0,17493,DB00929,Misoprostol
,11821273,time to peak concentration (Tmax),The time to peak concentration (Tmax) was similar in both the sublingual (26.0 +/- 11.5 min) and oral groups (27.5 +/- 14.8 min) and was significantly shorter than those in both vaginal groups.,Pharmacokinetics of different routes of administration of misoprostol. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11821273/),min,27.5,17494,DB00929,Misoprostol
,11821273,area under the MPA concentration versus time curve up to 360 min,"The area under the MPA concentration versus time curve up to 360 min in the sublingual group (743.7 +/- 291.2 pg.h/ml) was significantly greater than those in oral (402.8 +/- 151.6 pg.h/ml, P < 0.05) and vaginal (433.7 +/- 182.6 pg.h/ml, P < 0.05) groups, but no significant difference was found between sublingual and vaginal administration if water (649.3 +/- 333.8 pg.h/ml) was added.",Pharmacokinetics of different routes of administration of misoprostol. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11821273/),[h·pg] / [ml],743.7,17495,DB00929,Misoprostol
,11821273,area under the MPA concentration versus time curve up to 360 min,"The area under the MPA concentration versus time curve up to 360 min in the sublingual group (743.7 +/- 291.2 pg.h/ml) was significantly greater than those in oral (402.8 +/- 151.6 pg.h/ml, P < 0.05) and vaginal (433.7 +/- 182.6 pg.h/ml, P < 0.05) groups, but no significant difference was found between sublingual and vaginal administration if water (649.3 +/- 333.8 pg.h/ml) was added.",Pharmacokinetics of different routes of administration of misoprostol. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11821273/),[h·pg] / [ml],402.8,17496,DB00929,Misoprostol
,11821273,area under the MPA concentration versus time curve up to 360 min,"The area under the MPA concentration versus time curve up to 360 min in the sublingual group (743.7 +/- 291.2 pg.h/ml) was significantly greater than those in oral (402.8 +/- 151.6 pg.h/ml, P < 0.05) and vaginal (433.7 +/- 182.6 pg.h/ml, P < 0.05) groups, but no significant difference was found between sublingual and vaginal administration if water (649.3 +/- 333.8 pg.h/ml) was added.",Pharmacokinetics of different routes of administration of misoprostol. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11821273/),[h·pg] / [ml],433.7,17497,DB00929,Misoprostol
