Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24887633,minimum plasma level,"The antineoplastic effect seems to be correlated with a minimum plasma level of 14 mg/L, but plasma concentration build-up is in general slow due to the long elimination half-life.",Development of a pharmacokinetic model of mitotane: toward personalized dosing in adrenocortical carcinoma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24887633/),[mg] / [l],14,36898,DB00648,Mitotane
,24887633,clearance,The model estimated mitotane clearance at 0.94 ± 0.37 L/h and a volume of distribution in the steady state at 161 ± 68 L/kg of lean body mass.,Development of a pharmacokinetic model of mitotane: toward personalized dosing in adrenocortical carcinoma. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24887633/),[l] / [h],0.94,36899,DB00648,Mitotane
,24887633,volume of distribution in the steady state,The model estimated mitotane clearance at 0.94 ± 0.37 L/h and a volume of distribution in the steady state at 161 ± 68 L/kg of lean body mass.,Development of a pharmacokinetic model of mitotane: toward personalized dosing in adrenocortical carcinoma. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24887633/),[l] / [kg],161,36900,DB00648,Mitotane
,31984451,maximum feasible dose,"Because the large number of tablets required at the highest dose (i.e., ~24 tablets/day) resulted in low-grade gastrointestinal adverse effects, a maximum feasible dose of 128.2 mg/kg/day was established as a dose that could be taken on a long-term basis.","A phase 1 study of nevanimibe HCl, a novel adrenal-specific sterol O-acyltransferase 1 (SOAT1) inhibitor, in adrenocortical carcinoma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31984451/),[mg] / [d·kg],128.2,45958,DB00648,Mitotane
,7232354,excretion,The drug excretion with feces with comparatively low when the daily dose of 4 to 8 g (15.9 to 25.9%) was used.,[Pharmacokinetics of chlodithane tablets in the treatment of Cushing's syndrome]. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7232354/),,15,64489,DB00648,Mitotane
,34287806,solubility,It has a very poor aqueous solubility of 0.1 mg/l and high partition coefficient in octanol/water (log P) value of 6.,The Challenging Pharmacokinetics of Mitotane: An Old Drug in Need of New Packaging. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34287806/),[mg] / [l],0.1,78789,DB00648,Mitotane
,34287806,partition coefficient in octanol/water (log P),It has a very poor aqueous solubility of 0.1 mg/l and high partition coefficient in octanol/water (log P) value of 6.,The Challenging Pharmacokinetics of Mitotane: An Old Drug in Need of New Packaging. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34287806/),,6,78790,DB00648,Mitotane
,19778161,relative bioavailability,"Moreover, after oral administration in rabbits, the relative bioavailability was 3.4, compared with that of the conventional form (Lysodren).",Development of microemulsion of mitotane for improvement of oral bioavailability. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19778161/),,3.4,107339,DB00648,Mitotane
,25201518,plasma level,Median plasma level at baseline was 16.2 mg/l (range 11.3-23.3 mg/l) in the first group (n=7) and 17.0 mg/l (13.7-23.8) in the second group (n=6).,Short-term variation in plasma mitotane levels confirms the importance of trough level monitoring. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25201518/),[mg] / [l],16.2,119428,DB00648,Mitotane
,25201518,plasma level,Median plasma level at baseline was 16.2 mg/l (range 11.3-23.3 mg/l) in the first group (n=7) and 17.0 mg/l (13.7-23.8) in the second group (n=6).,Short-term variation in plasma mitotane levels confirms the importance of trough level monitoring. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25201518/),[mg] / [l],17.0,119429,DB00648,Mitotane
,24057287,maximum plasma levels,"Despite a difference in mean cumulative dose (440 ± 142 g vs 272 ± 121 g), median maximum plasma levels were not significantly different between the two groups [high dose 14.3 mg/L (range 6.3-29.7, n = 20) vs 11.3 mg/L (range 5.5-20.0, n = 12), P = .235].",Comparison of two mitotane starting dose regimens in patients with advanced adrenocortical carcinoma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24057287/),[mg] / [l],14.3,136964,DB00648,Mitotane
,24057287,maximum plasma levels,"Despite a difference in mean cumulative dose (440 ± 142 g vs 272 ± 121 g), median maximum plasma levels were not significantly different between the two groups [high dose 14.3 mg/L (range 6.3-29.7, n = 20) vs 11.3 mg/L (range 5.5-20.0, n = 12), P = .235].",Comparison of two mitotane starting dose regimens in patients with advanced adrenocortical carcinoma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24057287/),[mg] / [l],11.3,136965,DB00648,Mitotane
,24057287,exposure,Among patients not receiving concomitant chemotherapy mitotane exposure was higher in the high-dose group: 1013 ± 494 mg/L · d vs 555 ± 168 mg/L · d (P = .080).,Comparison of two mitotane starting dose regimens in patients with advanced adrenocortical carcinoma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24057287/),[mg] / [d·l],1013,136966,DB00648,Mitotane
,24057287,exposure,Among patients not receiving concomitant chemotherapy mitotane exposure was higher in the high-dose group: 1013 ± 494 mg/L · d vs 555 ± 168 mg/L · d (P = .080).,Comparison of two mitotane starting dose regimens in patients with advanced adrenocortical carcinoma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24057287/),[mg] / [d·l],555,136967,DB00648,Mitotane
,30087117,central volume of distribution,"A one-compartment pharmacokinetic model with first order absorption was found suitable to describe the data, with an estimated central volume of distribution of 6086 L related to a high interindividual variability of 81.5%.",Enzyme autoinduction by mitotane supported by population pharmacokinetic modelling in a large cohort of adrenocortical carcinoma patients. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30087117/),l,6086,144395,DB00648,Mitotane
,28063163,AUC,"Compared to immediate release hydrocortisone, free cortisol levels after 40 mg modified release hydrocortisone in ACC patients were significantly lower (12 ± 3 nmol/l; P = 0·03) resulting in a generally lower AUC (98 ± 21 vs 149 ± 37 nmol h/l; P = 0·02).",Immediate versus modified release hydrocortisone in mitotane-treated patients with adrenocortical cancer. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28063163/),[h·nM] / [l],98,189416,DB00648,Mitotane
,28063163,AUC,"Compared to immediate release hydrocortisone, free cortisol levels after 40 mg modified release hydrocortisone in ACC patients were significantly lower (12 ± 3 nmol/l; P = 0·03) resulting in a generally lower AUC (98 ± 21 vs 149 ± 37 nmol h/l; P = 0·02).",Immediate versus modified release hydrocortisone in mitotane-treated patients with adrenocortical cancer. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28063163/),[h·nM] / [l],149,189417,DB00648,Mitotane
,21220434,AUC(0)(-),"The four mitotane-treated patients showed highly induced CYP3A4 activity, even after interrupting mitotane therapy months before study entry, reflected by decreased midazolam exposure compared with the other seven patients (mean AUC(0)(-)(12 h) (95% CI): 7.6 (5.5-9.7) vs 139.0 (95.1-182.9) μg×h/l respectively P=0.001) and increased 1-hydroxy-midazolam exposure (mean AUC(0)(-)(12 h) (95% CI): 409.6 (290.5-528.7) vs 35.0 (26.4-43.6) μg×h/l, P=0.008).",Mitotane has a strong and a durable inducing effect on CYP3A4 activity. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21220434/),[h·μg] / [l],7.6,193012,DB00648,Mitotane
,21220434,AUC(0)(-),"The four mitotane-treated patients showed highly induced CYP3A4 activity, even after interrupting mitotane therapy months before study entry, reflected by decreased midazolam exposure compared with the other seven patients (mean AUC(0)(-)(12 h) (95% CI): 7.6 (5.5-9.7) vs 139.0 (95.1-182.9) μg×h/l respectively P=0.001) and increased 1-hydroxy-midazolam exposure (mean AUC(0)(-)(12 h) (95% CI): 409.6 (290.5-528.7) vs 35.0 (26.4-43.6) μg×h/l, P=0.008).",Mitotane has a strong and a durable inducing effect on CYP3A4 activity. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21220434/),[h·μg] / [l],139.0,193013,DB00648,Mitotane
,21220434,AUC(0)(-),"The four mitotane-treated patients showed highly induced CYP3A4 activity, even after interrupting mitotane therapy months before study entry, reflected by decreased midazolam exposure compared with the other seven patients (mean AUC(0)(-)(12 h) (95% CI): 7.6 (5.5-9.7) vs 139.0 (95.1-182.9) μg×h/l respectively P=0.001) and increased 1-hydroxy-midazolam exposure (mean AUC(0)(-)(12 h) (95% CI): 409.6 (290.5-528.7) vs 35.0 (26.4-43.6) μg×h/l, P=0.008).",Mitotane has a strong and a durable inducing effect on CYP3A4 activity. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21220434/),[h·μg] / [l],12,193014,DB00648,Mitotane
,21220434,AUC(0)(-),"The four mitotane-treated patients showed highly induced CYP3A4 activity, even after interrupting mitotane therapy months before study entry, reflected by decreased midazolam exposure compared with the other seven patients (mean AUC(0)(-)(12 h) (95% CI): 7.6 (5.5-9.7) vs 139.0 (95.1-182.9) μg×h/l respectively P=0.001) and increased 1-hydroxy-midazolam exposure (mean AUC(0)(-)(12 h) (95% CI): 409.6 (290.5-528.7) vs 35.0 (26.4-43.6) μg×h/l, P=0.008).",Mitotane has a strong and a durable inducing effect on CYP3A4 activity. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21220434/),[h·μg] / [l],409.6,193015,DB00648,Mitotane
,21220434,AUC(0)(-),"The four mitotane-treated patients showed highly induced CYP3A4 activity, even after interrupting mitotane therapy months before study entry, reflected by decreased midazolam exposure compared with the other seven patients (mean AUC(0)(-)(12 h) (95% CI): 7.6 (5.5-9.7) vs 139.0 (95.1-182.9) μg×h/l respectively P=0.001) and increased 1-hydroxy-midazolam exposure (mean AUC(0)(-)(12 h) (95% CI): 409.6 (290.5-528.7) vs 35.0 (26.4-43.6) μg×h/l, P=0.008).",Mitotane has a strong and a durable inducing effect on CYP3A4 activity. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21220434/),[h·μg] / [l],35.0,193016,DB00648,Mitotane
,21220434,exposure,Sunitinib exposure was decreased in the two patients who were co-treated with mitotane (267 and 268 μg×h/l versus 1344 (1079-1609) (mean (95% CI)) μg×h/l).,Mitotane has a strong and a durable inducing effect on CYP3A4 activity. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21220434/),[h·μg] / [l],267,193017,DB00648,Mitotane
,21220434,exposure,Sunitinib exposure was decreased in the two patients who were co-treated with mitotane (267 and 268 μg×h/l versus 1344 (1079-1609) (mean (95% CI)) μg×h/l).,Mitotane has a strong and a durable inducing effect on CYP3A4 activity. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21220434/),[h·μg] / [l],268,193018,DB00648,Mitotane
,21220434,exposure,Sunitinib exposure was decreased in the two patients who were co-treated with mitotane (267 and 268 μg×h/l versus 1344 (1079-1609) (mean (95% CI)) μg×h/l).,Mitotane has a strong and a durable inducing effect on CYP3A4 activity. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21220434/),[h·μg] / [l],1344,193019,DB00648,Mitotane
,21719363,extraction efficiency,"The method involves a single ethanol extraction of mitotane, DDE, DDA, and an internal standard (int std) p,p'-DDD (1,1-dichloro-2,2-bis(p-chlorophenyl)ethane) with an extraction efficiency of 77-88%.",A simple HPLC method for plasma level monitoring of mitotane and its two main metabolites in adrenocortical cancer patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21719363/),%,77-88,207677,DB00648,Mitotane
,21719363,flow rate,All compounds are measured simultaneously using a reversed-phase phenyl HPLC column with an isocratic elution of mobile phase at a flow rate of 0.6 ml/min followed by UV detection at λ 226 nm.,A simple HPLC method for plasma level monitoring of mitotane and its two main metabolites in adrenocortical cancer patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21719363/),[ml] / [min],0.6,207678,DB00648,Mitotane
,21719363,Limits of quantitation,"Limits of quantitation are 0.2 μg/ml for mitotane and DDE, and 0.5 μg/ml for DDA.",A simple HPLC method for plasma level monitoring of mitotane and its two main metabolites in adrenocortical cancer patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21719363/),[μg] / [ml],0.2,207679,DB00648,Mitotane
,21719363,Limits of quantitation,"Limits of quantitation are 0.2 μg/ml for mitotane and DDE, and 0.5 μg/ml for DDA.",A simple HPLC method for plasma level monitoring of mitotane and its two main metabolites in adrenocortical cancer patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21719363/),[μg] / [ml],0.5,207680,DB00648,Mitotane
,31683663,central volume of distribution (V),The estimated PK parameters (between-subject variability) were: 8900 L (90.4%) for central volume of distribution (V) and 70 L·h-1 (29.3%) for clearance (Cl).,Population Pharmacokinetics Modelling and Simulation of Mitotane in Patients with Adrenocortical Carcinoma: An Individualized Dose Regimen to Target All Patients at Three Months? ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31683663/),l,8900,236644,DB00648,Mitotane
,31683663,clearance (Cl),The estimated PK parameters (between-subject variability) were: 8900 L (90.4%) for central volume of distribution (V) and 70 L·h-1 (29.3%) for clearance (Cl).,Population Pharmacokinetics Modelling and Simulation of Mitotane in Patients with Adrenocortical Carcinoma: An Individualized Dose Regimen to Target All Patients at Three Months? ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31683663/),[l] / [h],70,236645,DB00648,Mitotane
,23524664,plasma concentrations,Patients with the GT/TT genotype had higher mitotane plasma concentrations compared with patients with GG at 3 months (14.80 vs. 8.01 μg/ml; P=0.008) and 6 months (17.70 vs. 9.75 μg/ml; P=0.015).,Influence of the CYP2B6 polymorphism on the pharmacokinetics of mitotane. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23524664/),[μg] / [ml],14.80,247766,DB00648,Mitotane
,23524664,plasma concentrations,Patients with the GT/TT genotype had higher mitotane plasma concentrations compared with patients with GG at 3 months (14.80 vs. 8.01 μg/ml; P=0.008) and 6 months (17.70 vs. 9.75 μg/ml; P=0.015).,Influence of the CYP2B6 polymorphism on the pharmacokinetics of mitotane. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23524664/),[μg] / [ml],8.01,247767,DB00648,Mitotane
,23524664,plasma concentrations,Patients with the GT/TT genotype had higher mitotane plasma concentrations compared with patients with GG at 3 months (14.80 vs. 8.01 μg/ml; P=0.008) and 6 months (17.70 vs. 9.75 μg/ml; P=0.015).,Influence of the CYP2B6 polymorphism on the pharmacokinetics of mitotane. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23524664/),[μg] / [ml],17.70,247768,DB00648,Mitotane
,23524664,plasma concentrations,Patients with the GT/TT genotype had higher mitotane plasma concentrations compared with patients with GG at 3 months (14.80 vs. 8.01 μg/ml; P=0.008) and 6 months (17.70 vs. 9.75 μg/ml; P=0.015).,Influence of the CYP2B6 polymorphism on the pharmacokinetics of mitotane. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23524664/),[μg] / [ml],9.75,247769,DB00648,Mitotane
,30533000,clearance,"Etoposide clearance was two-fold higher with concomitant mitotane (4.95 L/h) than after mitotane discontinuation (2.53 L/h, P = 0.014), and 2.5-fold higher than that in reference population not treated with mitotane (1.81 L/h).",Pharmacokinetic interaction between mitotane and etoposide in adrenal carcinoma: a pilot study. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30533000/),[l] / [h],4.95,267858,DB00648,Mitotane
,30533000,clearance,"Etoposide clearance was two-fold higher with concomitant mitotane (4.95 L/h) than after mitotane discontinuation (2.53 L/h, P = 0.014), and 2.5-fold higher than that in reference population not treated with mitotane (1.81 L/h).",Pharmacokinetic interaction between mitotane and etoposide in adrenal carcinoma: a pilot study. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30533000/),[l] / [h],2.53,267859,DB00648,Mitotane
,30533000,clearance,"Etoposide clearance was two-fold higher with concomitant mitotane (4.95 L/h) than after mitotane discontinuation (2.53 L/h, P = 0.014), and 2.5-fold higher than that in reference population not treated with mitotane (1.81 L/h).",Pharmacokinetic interaction between mitotane and etoposide in adrenal carcinoma: a pilot study. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30533000/),[l] / [h],1.81,267860,DB00648,Mitotane
,30533000,AUC,"Tumor response was associated with higher etoposide AUC (267.3 vs 188.8 mg.h/L, P = 0.04).",Pharmacokinetic interaction between mitotane and etoposide in adrenal carcinoma: a pilot study. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30533000/),[h·mg] / [l],267.3,267861,DB00648,Mitotane
,30533000,AUC,"Tumor response was associated with higher etoposide AUC (267.3 vs 188.8 mg.h/L, P = 0.04).",Pharmacokinetic interaction between mitotane and etoposide in adrenal carcinoma: a pilot study. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30533000/),[h·mg] / [l],188.8,267862,DB00648,Mitotane
