Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,25047407,peak plasma concentration (C max,"Systemic exposure to ziprasidone was similar following administration alone or after pretreatment with armodafinil, as assessed by mean peak plasma concentration (C max, 52.1 vs 50.4 ng/mL) and area under the plasma concentration-time curve from time 0 to infinity (AUC0-∞, 544.6 vs 469.1 ng·h/mL).",Evaluation of the potential for a pharmacokinetic drug-drug interaction between armodafinil and ziprasidone in healthy adults. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25047407/),[ng] / [ml],52.1,11110,DB00745,Modafinil
,25047407,peak plasma concentration (C max,"Systemic exposure to ziprasidone was similar following administration alone or after pretreatment with armodafinil, as assessed by mean peak plasma concentration (C max, 52.1 vs 50.4 ng/mL) and area under the plasma concentration-time curve from time 0 to infinity (AUC0-∞, 544.6 vs 469.1 ng·h/mL).",Evaluation of the potential for a pharmacokinetic drug-drug interaction between armodafinil and ziprasidone in healthy adults. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25047407/),[ng] / [ml],50.4,11111,DB00745,Modafinil
,25047407,area under the plasma concentration-time curve from time 0 to infinity (AUC0-∞,"Systemic exposure to ziprasidone was similar following administration alone or after pretreatment with armodafinil, as assessed by mean peak plasma concentration (C max, 52.1 vs 50.4 ng/mL) and area under the plasma concentration-time curve from time 0 to infinity (AUC0-∞, 544.6 vs 469.1 ng·h/mL).",Evaluation of the potential for a pharmacokinetic drug-drug interaction between armodafinil and ziprasidone in healthy adults. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25047407/),[h·ng] / [ml],544.6,11112,DB00745,Modafinil
,25047407,area under the plasma concentration-time curve from time 0 to infinity (AUC0-∞,"Systemic exposure to ziprasidone was similar following administration alone or after pretreatment with armodafinil, as assessed by mean peak plasma concentration (C max, 52.1 vs 50.4 ng/mL) and area under the plasma concentration-time curve from time 0 to infinity (AUC0-∞, 544.6 vs 469.1 ng·h/mL).",Evaluation of the potential for a pharmacokinetic drug-drug interaction between armodafinil and ziprasidone in healthy adults. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25047407/),[h·ng] / [ml],469.1,11113,DB00745,Modafinil
,21118743,half-life,The R-isomer of racemic modafinil has a half-life of approximately15 hours; the S-isomer has a half-life of 4 to 5 hours.,"Pharmacokinetics of armodafinil and modafinil after single and multiple doses in patients with excessive sleepiness associated with treated obstructive sleep apnea: a randomized, open-label, crossover study. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21118743/),h,15,25364,DB00745,Modafinil
,21118743,half-life,The R-isomer of racemic modafinil has a half-life of approximately15 hours; the S-isomer has a half-life of 4 to 5 hours.,"Pharmacokinetics of armodafinil and modafinil after single and multiple doses in patients with excessive sleepiness associated with treated obstructive sleep apnea: a randomized, open-label, crossover study. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21118743/),h,4 to 5,25365,DB00745,Modafinil
,21118743,terminal half-lives,"Plasma drug concentration-versus-time curves suggested comparable terminal half-lives (mean [SD] values were 16.5 [4.44] and 14.4 [3.22] hours for armodafinil and modafinil, respectively) but higher systemic exposure with armodafinil than modafinil (mean [SD] AUC(0-∞) values were 108.8 [31.66] and 66.4 [20.06] microg · h/mL for armodafinil and modafinil, respectively), as indicated by the high geometric mean ratios for the AUC (the AUC(0-∞)) ratio after a single dose was 1.64 [95% CI, 1.60-1.68; P < 0.001], and the AUC(0-τ) ratio after multiple doses was 1.69 [95% CI, 1.65-1.72; P < 0.001]) and, to a lesser extent, the ratio of the maximum plasma drug concentration after multiple doses (C(max) ratio = 1.37 [95% CI, 1.33-1.41; P < 0.001]).","Pharmacokinetics of armodafinil and modafinil after single and multiple doses in patients with excessive sleepiness associated with treated obstructive sleep apnea: a randomized, open-label, crossover study. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/21118743/),h,16.5,25366,DB00745,Modafinil
,21118743,terminal half-lives,"Plasma drug concentration-versus-time curves suggested comparable terminal half-lives (mean [SD] values were 16.5 [4.44] and 14.4 [3.22] hours for armodafinil and modafinil, respectively) but higher systemic exposure with armodafinil than modafinil (mean [SD] AUC(0-∞) values were 108.8 [31.66] and 66.4 [20.06] microg · h/mL for armodafinil and modafinil, respectively), as indicated by the high geometric mean ratios for the AUC (the AUC(0-∞)) ratio after a single dose was 1.64 [95% CI, 1.60-1.68; P < 0.001], and the AUC(0-τ) ratio after multiple doses was 1.69 [95% CI, 1.65-1.72; P < 0.001]) and, to a lesser extent, the ratio of the maximum plasma drug concentration after multiple doses (C(max) ratio = 1.37 [95% CI, 1.33-1.41; P < 0.001]).","Pharmacokinetics of armodafinil and modafinil after single and multiple doses in patients with excessive sleepiness associated with treated obstructive sleep apnea: a randomized, open-label, crossover study. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/21118743/),h,14.4,25367,DB00745,Modafinil
,21118743,AUC(0-∞),"Plasma drug concentration-versus-time curves suggested comparable terminal half-lives (mean [SD] values were 16.5 [4.44] and 14.4 [3.22] hours for armodafinil and modafinil, respectively) but higher systemic exposure with armodafinil than modafinil (mean [SD] AUC(0-∞) values were 108.8 [31.66] and 66.4 [20.06] microg · h/mL for armodafinil and modafinil, respectively), as indicated by the high geometric mean ratios for the AUC (the AUC(0-∞)) ratio after a single dose was 1.64 [95% CI, 1.60-1.68; P < 0.001], and the AUC(0-τ) ratio after multiple doses was 1.69 [95% CI, 1.65-1.72; P < 0.001]) and, to a lesser extent, the ratio of the maximum plasma drug concentration after multiple doses (C(max) ratio = 1.37 [95% CI, 1.33-1.41; P < 0.001]).","Pharmacokinetics of armodafinil and modafinil after single and multiple doses in patients with excessive sleepiness associated with treated obstructive sleep apnea: a randomized, open-label, crossover study. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21118743/),[h·μg] / [ml],108.8,25368,DB00745,Modafinil
,21118743,AUC(0-∞),"Plasma drug concentration-versus-time curves suggested comparable terminal half-lives (mean [SD] values were 16.5 [4.44] and 14.4 [3.22] hours for armodafinil and modafinil, respectively) but higher systemic exposure with armodafinil than modafinil (mean [SD] AUC(0-∞) values were 108.8 [31.66] and 66.4 [20.06] microg · h/mL for armodafinil and modafinil, respectively), as indicated by the high geometric mean ratios for the AUC (the AUC(0-∞)) ratio after a single dose was 1.64 [95% CI, 1.60-1.68; P < 0.001], and the AUC(0-τ) ratio after multiple doses was 1.69 [95% CI, 1.65-1.72; P < 0.001]) and, to a lesser extent, the ratio of the maximum plasma drug concentration after multiple doses (C(max) ratio = 1.37 [95% CI, 1.33-1.41; P < 0.001]).","Pharmacokinetics of armodafinil and modafinil after single and multiple doses in patients with excessive sleepiness associated with treated obstructive sleep apnea: a randomized, open-label, crossover study. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21118743/),[h·μg] / [ml],66.4,25369,DB00745,Modafinil
