Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15114430,plasma AUC,MFANS produced similar mean plasma AUC (123 pmol/l h) to FPANS (112 pmol/l h).,Bioavailability of fluticasone propionate and mometasone furoate aqueous nasal sprays. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15114430/),[pM] / [h·l],123,57921,DB00764,Mometasone
,15114430,plasma AUC,MFANS produced similar mean plasma AUC (123 pmol/l h) to FPANS (112 pmol/l h).,Bioavailability of fluticasone propionate and mometasone furoate aqueous nasal sprays. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15114430/),[pM] / [h·l],112,57922,DB00764,Mometasone
,11115437,Plasma levels,"Study 2. Plasma levels over days 7 to 28 were 100.3 +/- 5.9 pg/mL (mean +/- SEM) for MF DPI 400 microg bid, and 181.0 +/- 10.9 pg/mL for 800 microg bid.",Mometasone furoate has minimal effects on the hypothalamic-pituitary-adrenal axis when delivered at high doses. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11115437/),[pg] / [ml],100.3,95830,DB00764,Mometasone
,11115437,Plasma levels,"Study 2. Plasma levels over days 7 to 28 were 100.3 +/- 5.9 pg/mL (mean +/- SEM) for MF DPI 400 microg bid, and 181.0 +/- 10.9 pg/mL for 800 microg bid.",Mometasone furoate has minimal effects on the hypothalamic-pituitary-adrenal axis when delivered at high doses. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11115437/),[pg] / [ml],181.0,95831,DB00764,Mometasone
,25740265,Cmax,"Caucasian subjects for Cmax were 1.23 (1.11 - 1.38) and 1.24 (1.11 - 1.38) for indacaterol and MF, respectively.","Pharmacokinetics of QMF149 in Japanese versus Caucasian subjects: an open-label, randomized phase I study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25740265/),,1.23,100066,DB00764,Mometasone
,25740265,Cmax,"Caucasian subjects for Cmax were 1.23 (1.11 - 1.38) and 1.24 (1.11 - 1.38) for indacaterol and MF, respectively.","Pharmacokinetics of QMF149 in Japanese versus Caucasian subjects: an open-label, randomized phase I study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25740265/),,1.24,100067,DB00764,Mometasone
,25740265,maximum ratios,"For AUC, the maximum ratios were 1.22 (1.09 - 1.36) and 1.30 (1.18 - 1.44) for indacaterol and MF, respectively.","Pharmacokinetics of QMF149 in Japanese versus Caucasian subjects: an open-label, randomized phase I study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25740265/),,1,100068,DB00764,Mometasone
,27310329,Relative bioavailability,"Relative bioavailability of indacaterol and MF for inhalation with versus without charcoal, based on AUClast, was 0.25 (90% confidence interval [CI], 0.18-0.35) and 0.70 (90%CI, 0.52-0.93), respectively.",Lung Delivery of Indacaterol and Mometasone Furoate Following Inhalation of QMF149 in Healthy Volunteers. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27310329/),,0.25,133501,DB00764,Mometasone
,27310329,Relative bioavailability,"Relative bioavailability of indacaterol and MF for inhalation with versus without charcoal, based on AUClast, was 0.25 (90% confidence interval [CI], 0.18-0.35) and 0.70 (90%CI, 0.52-0.93), respectively.",Lung Delivery of Indacaterol and Mometasone Furoate Following Inhalation of QMF149 in Healthy Volunteers. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27310329/),,0.70,133502,DB00764,Mometasone
,17523699,clearance rate,"The clearance rate of des-ciclesonide is very high (228 L/h), increasing its safety profile by utilizing extra-hepatic clearance mechanisms.",Inhaled corticosteroids in children with asthma: pharmacologic determinants of safety and efficacy and other clinical considerations. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17523699/),[l] / [h],228,142575,DB00764,Mometasone
,17523699,protein binding fraction,Both des-ciclesonide and mometasone have a high protein binding fraction (98-99%).,Inhaled corticosteroids in children with asthma: pharmacologic determinants of safety and efficacy and other clinical considerations. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17523699/),%,98-99,142576,DB00764,Mometasone
,17523699,Vd,"The volume of distribution (Vd) is proportional to the lipophilicity of the drug, with the Vd of fluticasone being 332L compared with 183L for budesonide.",Inhaled corticosteroids in children with asthma: pharmacologic determinants of safety and efficacy and other clinical considerations. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17523699/),l,332,142577,DB00764,Mometasone
,17523699,Vd,"The volume of distribution (Vd) is proportional to the lipophilicity of the drug, with the Vd of fluticasone being 332L compared with 183L for budesonide.",Inhaled corticosteroids in children with asthma: pharmacologic determinants of safety and efficacy and other clinical considerations. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17523699/),l,183,142578,DB00764,Mometasone
,17523699,receptor binding,"Among the ICS, fluticasone and mometasone have the highest receptor binding affinity (1800 and 2200, respectively), followed by budesonide at 935 (relative to dexamethasone = 100).",Inhaled corticosteroids in children with asthma: pharmacologic determinants of safety and efficacy and other clinical considerations. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17523699/),,1800,142579,DB00764,Mometasone
,17523699,receptor binding,"Among the ICS, fluticasone and mometasone have the highest receptor binding affinity (1800 and 2200, respectively), followed by budesonide at 935 (relative to dexamethasone = 100).",Inhaled corticosteroids in children with asthma: pharmacologic determinants of safety and efficacy and other clinical considerations. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17523699/),,2200,142580,DB00764,Mometasone
,11075308,half-life (t1/2),The half-life (t1/2) following i.v. administration was 4.5 hours.,Bioavailability and metabolism of mometasone furoate following administration by metered-dose and dry-powder inhalers in healthy human volunteers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11075308/),h,4.5,167896,DB00764,Mometasone
