Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6783121,half-life,The inhibitor is excreted with a half-life of about 7 h; it is not metabolized.,Distribution of conduritol B epoxide in the animal model for Gaucher's disease (Gaucher mouse). ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6783121/),h,7,3180,DB03106,Myo-Inositol
,27121673,trough concentration,"During the apparent steady state, ELND005 plasma levels rapidly peaked at 39.8 µg/mL and decreased to an average trough concentration of 10.6 µg/mL at the end of the 12-hour dosing regimen.","Pharmacokinetic Profile of Orally Administered Scyllo-Inositol (Elnd005) in Plasma, Cerebrospinal Fluid and Brain, and Corresponding Effect on Amyloid-Beta in Healthy Subjects. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121673/),[μg] / [ml],10.6,3572,DB03106,Myo-Inositol
,27121673,trough concentrations,"In contrast, CSF drug levels slowly peaked at 13.7 µg/mL and remained near the same level with average trough concentrations of 12.4 µg/mL.","Pharmacokinetic Profile of Orally Administered Scyllo-Inositol (Elnd005) in Plasma, Cerebrospinal Fluid and Brain, and Corresponding Effect on Amyloid-Beta in Healthy Subjects. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121673/),[μg] / [ml],12.4,3573,DB03106,Myo-Inositol
,16223868,affinities,All five analogs bound to guinea pig progesterone binding globulin with relatively high affinities (264-1020 nM).,Bifunctional gonadotropin-releasing hormone antagonist-progesterone analogs with increased efficacy and duration of action. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16223868/),nM,264-1020,4000,DB03106,Myo-Inositol
,16223868,binding affinity,Conjugation via the epsilon-amino function of D-Lys6 (conjugates A and B) produced compounds with high binding affinity for the human GnRH receptor (15 and 7 nM) comparable to that of the unconjugated GnRH antagonists (4 and 26 nM).,Bifunctional gonadotropin-releasing hormone antagonist-progesterone analogs with increased efficacy and duration of action. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16223868/),nM,15,4001,DB03106,Myo-Inositol
,16223868,binding affinity,Conjugation via the epsilon-amino function of D-Lys6 (conjugates A and B) produced compounds with high binding affinity for the human GnRH receptor (15 and 7 nM) comparable to that of the unconjugated GnRH antagonists (4 and 26 nM).,Bifunctional gonadotropin-releasing hormone antagonist-progesterone analogs with increased efficacy and duration of action. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16223868/),nM,7,4002,DB03106,Myo-Inositol
,16223868,binding affinity,Conjugation via the epsilon-amino function of D-Lys6 (conjugates A and B) produced compounds with high binding affinity for the human GnRH receptor (15 and 7 nM) comparable to that of the unconjugated GnRH antagonists (4 and 26 nM).,Bifunctional gonadotropin-releasing hormone antagonist-progesterone analogs with increased efficacy and duration of action. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16223868/),nM,4,4003,DB03106,Myo-Inositol
,16223868,binding affinity,Conjugation via the epsilon-amino function of D-Lys6 (conjugates A and B) produced compounds with high binding affinity for the human GnRH receptor (15 and 7 nM) comparable to that of the unconjugated GnRH antagonists (4 and 26 nM).,Bifunctional gonadotropin-releasing hormone antagonist-progesterone analogs with increased efficacy and duration of action. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16223868/),nM,26,4004,DB03106,Myo-Inositol
,25808120,Cmax,"Trp-His was absorbed intact into SD rat blood, showing a maximal level at 1 h after administration at 10 mg/kg dose (Cmax , 28.7 ± 8.9 pmol/mL-plasma; area under the curve, 71.3 ± 18.7 pmol·h/mL-plasma).","Visualized absorption of anti-atherosclerotic dipeptide, Trp-His, in Sprague-Dawley rats by LC-MS and MALDI-MS imaging analyses. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25808120/),[pM] / [ml-plasma],28.7,16615,DB03106,Myo-Inositol
,25808120,area under the curve,"Trp-His was absorbed intact into SD rat blood, showing a maximal level at 1 h after administration at 10 mg/kg dose (Cmax , 28.7 ± 8.9 pmol/mL-plasma; area under the curve, 71.3 ± 18.7 pmol·h/mL-plasma).","Visualized absorption of anti-atherosclerotic dipeptide, Trp-His, in Sprague-Dawley rats by LC-MS and MALDI-MS imaging analyses. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25808120/),[h·pM] / [ml-plasma],71.3,16616,DB03106,Myo-Inositol
,23782587,maximum inhibition,The percentage of DPP-4 inhibition by vildagliptin remained unchanged when vildagliptin was given alone or co-administered with voglibose; maximum inhibition was 98.3 ± 1.4% (mean ± SD) for vildagliptin alone and 97.4 ± 1.1% with co-administration.,Pharmacokinetic and pharmacodynamic interaction of vildagliptin and voglibose in Japanese patients with Type 2 diabetes. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23782587/),%,98.3,17286,DB03106,Myo-Inositol
,23782587,maximum inhibition,The percentage of DPP-4 inhibition by vildagliptin remained unchanged when vildagliptin was given alone or co-administered with voglibose; maximum inhibition was 98.3 ± 1.4% (mean ± SD) for vildagliptin alone and 97.4 ± 1.1% with co-administration.,Pharmacokinetic and pharmacodynamic interaction of vildagliptin and voglibose in Japanese patients with Type 2 diabetes. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23782587/),%,97.4,17287,DB03106,Myo-Inositol
,9816216,t(1/2)alpha,Quercetin pharmacokinetics were described by a first-order two-compartment model with a median t(1/2)alpha of 6 min and median t(1/2)beta of 43 min.,Phase I clinical trial of the flavonoid quercetin: pharmacokinetics and evidence for in vivo tyrosine kinase inhibition. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9816216/),min,6,20404,DB03106,Myo-Inositol
,9816216,t(1/2)beta,Quercetin pharmacokinetics were described by a first-order two-compartment model with a median t(1/2)alpha of 6 min and median t(1/2)beta of 43 min.,Phase I clinical trial of the flavonoid quercetin: pharmacokinetics and evidence for in vivo tyrosine kinase inhibition. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9816216/),min,43,20405,DB03106,Myo-Inositol
,9816216,clearance,"The median estimated clearance was 0.28 liter/min/m2, and median volume of distribution at steady state was 3.7 liter/m2.",Phase I clinical trial of the flavonoid quercetin: pharmacokinetics and evidence for in vivo tyrosine kinase inhibition. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9816216/),[l] / [m2·min],0.28,20406,DB03106,Myo-Inositol
,9816216,volume of distribution at steady state,"The median estimated clearance was 0.28 liter/min/m2, and median volume of distribution at steady state was 3.7 liter/m2.",Phase I clinical trial of the flavonoid quercetin: pharmacokinetics and evidence for in vivo tyrosine kinase inhibition. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9816216/),[l] / [m2],3.7,20407,DB03106,Myo-Inositol
,9804702,IC50,"Further structure-activity studies have now established that for high NK1 affinity the benzyl ether side chain must be 3,5-disubstituted and highly lipophilic, the optimal side chain being the 3, 5-bis(trifluoromethyl)benzyl ether, 12 (hNK1 IC50 = 0.95 nM).","4,4-Disubstituted piperidine high-affinity NK1 antagonists: structure-activity relationships and in vivo activity. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9804702/),nM,0.95,28719,DB03106,Myo-Inositol
,9804702,IC50,"Additional studies have shown that this class of NK1 antagonist tolerates a wider range of substituents on the piperidine nitrogen, including acyl (38) (hNK1 IC50 = 5.3 nM) and sulfonyl (39) (hNK1 IC50 = 5.7 nM) derivatives.","4,4-Disubstituted piperidine high-affinity NK1 antagonists: structure-activity relationships and in vivo activity. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9804702/),nM,5.3,28720,DB03106,Myo-Inositol
,9804702,IC50,"Additional studies have shown that this class of NK1 antagonist tolerates a wider range of substituents on the piperidine nitrogen, including acyl (38) (hNK1 IC50 = 5.3 nM) and sulfonyl (39) (hNK1 IC50 = 5.7 nM) derivatives.","4,4-Disubstituted piperidine high-affinity NK1 antagonists: structure-activity relationships and in vivo activity. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9804702/),nM,5.7,28721,DB03106,Myo-Inositol
,9804702,ID50,"Following preliminary pharmacokinetic analysis, two compounds (32 and 43) were selected for in vivo study in the resiniferotoxin-induced vascular leakage model, both showing excellent profiles (ID50 = 0.22 and 0.28 mg/kg, respectively).","4,4-Disubstituted piperidine high-affinity NK1 antagonists: structure-activity relationships and in vivo activity. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9804702/),[mg] / [kg],0.22,28722,DB03106,Myo-Inositol
,9804702,ID50,"Following preliminary pharmacokinetic analysis, two compounds (32 and 43) were selected for in vivo study in the resiniferotoxin-induced vascular leakage model, both showing excellent profiles (ID50 = 0.22 and 0.28 mg/kg, respectively).","4,4-Disubstituted piperidine high-affinity NK1 antagonists: structure-activity relationships and in vivo activity. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9804702/),[mg] / [kg],0.28,28723,DB03106,Myo-Inositol
,15637285,IC(50),"It possesses potent antagonist activity at the human CaR with IC(50) values of 64 nm and 230 nm in inhibiting intracellular Ca(2+) flux and inositol phosphate generation in vitro, respectively.",A novel calcium-sensing receptor antagonist transiently stimulates parathyroid hormone secretion in vivo. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15637285/),nm,64,39561,DB03106,Myo-Inositol
,15637285,IC(50),"It possesses potent antagonist activity at the human CaR with IC(50) values of 64 nm and 230 nm in inhibiting intracellular Ca(2+) flux and inositol phosphate generation in vitro, respectively.",A novel calcium-sensing receptor antagonist transiently stimulates parathyroid hormone secretion in vivo. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15637285/),nm,230,39562,DB03106,Myo-Inositol
,15637285,half-life,The pharmacokinetic profile of compound 1 after oral administration revealed that maximal plasma levels of compound were reached within 1 h and the half-life of the compound to be approximately 2 h in rats.,A novel calcium-sensing receptor antagonist transiently stimulates parathyroid hormone secretion in vivo. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15637285/),h,2,39563,DB03106,Myo-Inositol
,19879867,pK(i),"Both compounds demonstrated high affinity for recombinant human (pK(i) values 7.7 and 8.9, respectively) and native guinea pig (pK(i) values 7.8 and 8.4, respectively) tachykinin NK(3) receptors.",In vitro and in vivo comparison of two non-peptide tachykinin NK3 receptor antagonists: Improvements in efficacy achieved through enhanced brain penetration or altered pharmacological characteristics. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19879867/),,7.7,63805,DB03106,Myo-Inositol
