Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24954342,T1/2,"Diclofenac potassium had the lowest T1/2 and the highest mean Css, muscle/Css, plasma (1.9 hours and 0.85±0.53, respectively).",Concentration of non-steroidal anti-inflammatory drugs in the pelvic floor muscles: an experimental comparative rat model. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24954342/),h,1.9,2086,DB00461,Nabumetone
,24954342,"Css, muscle/Css","Diclofenac potassium had the lowest T1/2 and the highest mean Css, muscle/Css, plasma (1.9 hours and 0.85±0.53, respectively).",Concentration of non-steroidal anti-inflammatory drugs in the pelvic floor muscles: an experimental comparative rat model. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24954342/),,0.85,2087,DB00461,Nabumetone
,10841070,plasma half-life,The long plasma half-life of 6-MNA (20 to 24 hours) and its persistence in synovial fluid facilitate a once-daily dosage regimen.,[Properties and features of nabumetone]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10841070/),h,20 to 24,9960,DB00461,Nabumetone
,1474531,time to maximum plasma concentration,"At steady state, the time to maximum plasma concentration for 6MNA is 1 to 4 h.",An overview of the clinical pharmacokinetics of nabumetone. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1474531/),h,1 to 4,15264,DB00461,Nabumetone
,1474531,half-life,6MNA has a very low clearance rate and long half-life (about 24 h).,An overview of the clinical pharmacokinetics of nabumetone. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1474531/),h,24,15265,DB00461,Nabumetone
,18651608,total chromatographic runtime,"The total chromatographic runtime was 3.0 min with retention time for 6-MNA and IS at 1.97 and 1.26 min, respectively.","High-throughput LC-MS/MS assay for 6-methoxy-2-naphthylacetic acid, an active metabolite of nabumetone in human plasma and its application to bioequivalence study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18651608/),min,3.0,18842,DB00461,Nabumetone
,18651608,retention time,"The total chromatographic runtime was 3.0 min with retention time for 6-MNA and IS at 1.97 and 1.26 min, respectively.","High-throughput LC-MS/MS assay for 6-methoxy-2-naphthylacetic acid, an active metabolite of nabumetone in human plasma and its application to bioequivalence study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18651608/),min,1.97,18843,DB00461,Nabumetone
,18651608,retention time,"The total chromatographic runtime was 3.0 min with retention time for 6-MNA and IS at 1.97 and 1.26 min, respectively.","High-throughput LC-MS/MS assay for 6-methoxy-2-naphthylacetic acid, an active metabolite of nabumetone in human plasma and its application to bioequivalence study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18651608/),min,1.26,18844,DB00461,Nabumetone
,21650014,recovery,"The recovery reached approximately 84% and 86-90% for nabumetone and 6-MNA, respectively.",[Determination of nabumetone and 6-methoxy-2-naphthylacetic acid in plasma using HPLC with UV and MS detection]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21650014/),%,84,36734,DB00461,Nabumetone
,21650014,recovery,"The recovery reached approximately 84% and 86-90% for nabumetone and 6-MNA, respectively.",[Determination of nabumetone and 6-methoxy-2-naphthylacetic acid in plasma using HPLC with UV and MS detection]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21650014/),%,86-90,36735,DB00461,Nabumetone
,21650014,limit of UV detection,"The limit of UV detection was 50 nM and 0.1 microM for 6-MNA and nabumetone, respectively.",[Determination of nabumetone and 6-methoxy-2-naphthylacetic acid in plasma using HPLC with UV and MS detection]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21650014/),nM,50,36736,DB00461,Nabumetone
,21650014,limit of UV detection,"The limit of UV detection was 50 nM and 0.1 microM for 6-MNA and nabumetone, respectively.",[Determination of nabumetone and 6-methoxy-2-naphthylacetic acid in plasma using HPLC with UV and MS detection]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21650014/),μM,0.1,36737,DB00461,Nabumetone
,21650014,limit of MS detection,"The limit of MS detection was 1 microM and 0.5 microM for 6-MNA and nabumetone, respectively.",[Determination of nabumetone and 6-methoxy-2-naphthylacetic acid in plasma using HPLC with UV and MS detection]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21650014/),μM,1,36738,DB00461,Nabumetone
,21650014,limit of MS detection,"The limit of MS detection was 1 microM and 0.5 microM for 6-MNA and nabumetone, respectively.",[Determination of nabumetone and 6-methoxy-2-naphthylacetic acid in plasma using HPLC with UV and MS detection]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21650014/),μM,0.5,36739,DB00461,Nabumetone
,21650014,Precision,"Precision ranged between 4.2-14.4% and 4.6-8.5% using UV and MS detection for nabumetone, respectively.",[Determination of nabumetone and 6-methoxy-2-naphthylacetic acid in plasma using HPLC with UV and MS detection]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21650014/),%,4.2-14.4,36740,DB00461,Nabumetone
,21650014,Precision,"Precision ranged between 4.2-14.4% and 4.6-8.5% using UV and MS detection for nabumetone, respectively.",[Determination of nabumetone and 6-methoxy-2-naphthylacetic acid in plasma using HPLC with UV and MS detection]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21650014/),%,4.6-8.5,36741,DB00461,Nabumetone
,6688407,maximum plasma concentrations,"After doses of 250, 500, and 1000 mg nabumetone, maximum plasma concentrations of the major metabolite, 6-methoxy-2-naphthylacetic acid, were 9.76, 24.19, and 36.59 micrograms/ml, in nonfasting subjects.","Nabumetone--a novel anti-inflammatory drug: the influence of food, milk, antacids, and analgesics on bioavailability of single oral doses. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6688407/),[μg] / [ml],9.76,54725,DB00461,Nabumetone
,6688407,maximum plasma concentrations,"After doses of 250, 500, and 1000 mg nabumetone, maximum plasma concentrations of the major metabolite, 6-methoxy-2-naphthylacetic acid, were 9.76, 24.19, and 36.59 micrograms/ml, in nonfasting subjects.","Nabumetone--a novel anti-inflammatory drug: the influence of food, milk, antacids, and analgesics on bioavailability of single oral doses. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6688407/),[μg] / [ml],24.19,54726,DB00461,Nabumetone
,6688407,maximum plasma concentrations,"After doses of 250, 500, and 1000 mg nabumetone, maximum plasma concentrations of the major metabolite, 6-methoxy-2-naphthylacetic acid, were 9.76, 24.19, and 36.59 micrograms/ml, in nonfasting subjects.","Nabumetone--a novel anti-inflammatory drug: the influence of food, milk, antacids, and analgesics on bioavailability of single oral doses. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6688407/),[μg] / [ml],36.59,54727,DB00461,Nabumetone
