Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,7495071,CL/F,The apparent total body clearance of enoxaparin doses (CL/F = 16.7 +/- 5.5 and 13.8 +/- 3.2 ml/min) is significantly smaller than those of nadroparin (CL/F = 21.4 +/- 7.0 ml/min; p < 0.01) and dalteparin (CL/F = 33.3 +/- 11.8 ml/min; p < 0.001) while dalteparin apparent clearance is about 1.5-fold greater (p < 0.001) than that of nadroparin.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),[ml] / [min],16.7,3377,DB08813,Nadroparin
,7495071,CL/F,The apparent total body clearance of enoxaparin doses (CL/F = 16.7 +/- 5.5 and 13.8 +/- 3.2 ml/min) is significantly smaller than those of nadroparin (CL/F = 21.4 +/- 7.0 ml/min; p < 0.01) and dalteparin (CL/F = 33.3 +/- 11.8 ml/min; p < 0.001) while dalteparin apparent clearance is about 1.5-fold greater (p < 0.001) than that of nadroparin.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),[ml] / [min],13.8,3378,DB08813,Nadroparin
,7495071,CL/F,The apparent total body clearance of enoxaparin doses (CL/F = 16.7 +/- 5.5 and 13.8 +/- 3.2 ml/min) is significantly smaller than those of nadroparin (CL/F = 21.4 +/- 7.0 ml/min; p < 0.01) and dalteparin (CL/F = 33.3 +/- 11.8 ml/min; p < 0.001) while dalteparin apparent clearance is about 1.5-fold greater (p < 0.001) than that of nadroparin.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),[ml] / [min],21.4,3379,DB08813,Nadroparin
,7495071,CL/F,The apparent total body clearance of enoxaparin doses (CL/F = 16.7 +/- 5.5 and 13.8 +/- 3.2 ml/min) is significantly smaller than those of nadroparin (CL/F = 21.4 +/- 7.0 ml/min; p < 0.01) and dalteparin (CL/F = 33.3 +/- 11.8 ml/min; p < 0.001) while dalteparin apparent clearance is about 1.5-fold greater (p < 0.001) than that of nadroparin.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),[ml] / [min],33.3,3380,DB08813,Nadroparin
,7495071,apparent elimination half life t1/2,These differences in the disposition profiles explain why the apparent elimination half life t1/2 values of the LMMHs compared here are different: dalteparin: 2.8 h; nadroparin: 3.7 h; and enoxaparin: 4.1 h.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),h,2.8,3381,DB08813,Nadroparin
,7495071,apparent elimination half life t1/2,These differences in the disposition profiles explain why the apparent elimination half life t1/2 values of the LMMHs compared here are different: dalteparin: 2.8 h; nadroparin: 3.7 h; and enoxaparin: 4.1 h.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),h,3.7,3382,DB08813,Nadroparin
,7495071,apparent elimination half life t1/2,These differences in the disposition profiles explain why the apparent elimination half life t1/2 values of the LMMHs compared here are different: dalteparin: 2.8 h; nadroparin: 3.7 h; and enoxaparin: 4.1 h.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),h,4.1,3383,DB08813,Nadroparin
<,23649851,F,"In vivo, oral Absorption at doses of 300 IU/kg was rather low (F < 2.5%) while dose increase resulted in a maximum at 600 IU/kg (FRL: 6.0 ± 1.2%; FRS: 5.8 ± 2.5%) and 1,200 IU/kg did not result in higher bioavailability (FRL: 4.6 ± 0.4%; FRS: 4.1 ± 0.8%).",Oral delivery of low molecular weight heparin by polyaminomethacrylate coacervates. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23649851/),%,2.5,33535,DB08813,Nadroparin
,23649851,bioavaila,"In vivo, oral Absorption at doses of 300 IU/kg was rather low (F < 2.5%) while dose increase resulted in a maximum at 600 IU/kg (FRL: 6.0 ± 1.2%; FRS: 5.8 ± 2.5%) and 1,200 IU/kg did not result in higher bioavailability (FRL: 4.6 ± 0.4%; FRS: 4.1 ± 0.8%).",Oral delivery of low molecular weight heparin by polyaminomethacrylate coacervates. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23649851/),%,4.6,33536,DB08813,Nadroparin
,23649851,bioavaila,"In vivo, oral Absorption at doses of 300 IU/kg was rather low (F < 2.5%) while dose increase resulted in a maximum at 600 IU/kg (FRL: 6.0 ± 1.2%; FRS: 5.8 ± 2.5%) and 1,200 IU/kg did not result in higher bioavailability (FRL: 4.6 ± 0.4%; FRS: 4.1 ± 0.8%).",Oral delivery of low molecular weight heparin by polyaminomethacrylate coacervates. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23649851/),%,4.1,33537,DB08813,Nadroparin
,23649851,FRL,"In vivo, oral Absorption at doses of 300 IU/kg was rather low (F < 2.5%) while dose increase resulted in a maximum at 600 IU/kg (FRL: 6.0 ± 1.2%; FRS: 5.8 ± 2.5%) and 1,200 IU/kg did not result in higher bioavailability (FRL: 4.6 ± 0.4%; FRS: 4.1 ± 0.8%).",Oral delivery of low molecular weight heparin by polyaminomethacrylate coacervates. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23649851/),%,4.6,33538,DB08813,Nadroparin
>,8707165,F,"Since they are mainly administered subcutaneously, then compared to UFH, they are almost completely absorbed (F > or = 90%) and, in contrast to UFH, those for which data are available in the literature exhibit linear pharmacokinetics with proportionality between anti-Xa (and anti-IIa in some cases) plasma concentration and dose, and stationary distribution volume and clearance processes when the dosage is increased.","Low-molecular-weight heparins: an overview of their pharmacodynamics, pharmacokinetics and metabolism in humans. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8707165/),%,90,39903,DB08813,Nadroparin
,17334516,ED(50),"In the prevention model, rivaroxaban reduced thrombus formation dose-dependently (calculated ED(50) 1.3 mg/kg).","Prevention and treatment of experimental thrombosis in rabbits with rivaroxaban (BAY 597939)--an oral, direct factor Xa inhibitor. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17334516/),[mg] / [kg],1.3,50323,DB08813,Nadroparin
,9167018,IC50,The IC50 on TG in PPP and in whole blood were 1.80 +/- 0.16 and 4.33 +/- 1.01 micrograms.,Long-term persistence of low-molecular-weight material with anti-factor Xa activity contributes to anticoagulant and antithrombotic effects after subcutaneous injection of CY 216 in the rabbit. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9167018/),μg,1.80,67147,DB08813,Nadroparin
,9167018,IC50,The IC50 on TG in PPP and in whole blood were 1.80 +/- 0.16 and 4.33 +/- 1.01 micrograms.,Long-term persistence of low-molecular-weight material with anti-factor Xa activity contributes to anticoagulant and antithrombotic effects after subcutaneous injection of CY 216 in the rabbit. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9167018/),μg,4.33,67148,DB08813,Nadroparin
,7831664,anti-factor Xa/antithrombin ratio,The anti-factor Xa/antithrombin ratio of these compounds determined in a rabbit plasma system were 2.5 and 1.2 for CY 216 and ACLM respectively while BCLM was devoid of anti-thrombin effect.,Pharmacological properties of CY 216 and of its ACLM and BCLM components in the rabbit. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7831664/),,2.5,99061,DB08813,Nadroparin
,7831664,anti-factor Xa/antithrombin ratio,The anti-factor Xa/antithrombin ratio of these compounds determined in a rabbit plasma system were 2.5 and 1.2 for CY 216 and ACLM respectively while BCLM was devoid of anti-thrombin effect.,Pharmacological properties of CY 216 and of its ACLM and BCLM components in the rabbit. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7831664/),,1.2,99062,DB08813,Nadroparin
,9493587,accumulation factors,"1) Between day 1 and day 10, there was an accumulation of the anti-Xa activity for treatment A but not for treatment B (accumulation factors: 1.6 and 1.1 respectively); 2) On day 10, the AUC(0-12 h) were slightly but significantly lower than the AUC(12-24 h) suggesting a circadian effect for anti-Xa and anti-IIa activities; 3) the clearance of the anti-Xa activity was comparable at the 2-dose regimens, while that of the anti-IIa activity was lower in treatment B than in treatment A, indicating a significant dose effect for the pharmacodynamics of the longer heparin chains; 4) On average, the clearance of the anti-IIa activity was twice as high as that of the anti-Xa activity; 5) For treatment B, significant APTT prolongations were noticed at Tmax (prolongation factor: 1.7 +/- 0.25), in relation with the anti-IIa activity (0.3 +/- 0.1 IU x ml(-1)).","Pharmacodynamics and tolerance of two nadroparin formulations (10,250 and 20,500 anti Xa IU x ml(-1)) delivered for 10 days at therapeutic dose. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9493587/),,1.6,101438,DB08813,Nadroparin
,9493587,accumulation factors,"1) Between day 1 and day 10, there was an accumulation of the anti-Xa activity for treatment A but not for treatment B (accumulation factors: 1.6 and 1.1 respectively); 2) On day 10, the AUC(0-12 h) were slightly but significantly lower than the AUC(12-24 h) suggesting a circadian effect for anti-Xa and anti-IIa activities; 3) the clearance of the anti-Xa activity was comparable at the 2-dose regimens, while that of the anti-IIa activity was lower in treatment B than in treatment A, indicating a significant dose effect for the pharmacodynamics of the longer heparin chains; 4) On average, the clearance of the anti-IIa activity was twice as high as that of the anti-Xa activity; 5) For treatment B, significant APTT prolongations were noticed at Tmax (prolongation factor: 1.7 +/- 0.25), in relation with the anti-IIa activity (0.3 +/- 0.1 IU x ml(-1)).","Pharmacodynamics and tolerance of two nadroparin formulations (10,250 and 20,500 anti Xa IU x ml(-1)) delivered for 10 days at therapeutic dose. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9493587/),,1.1,101439,DB08813,Nadroparin
,9493587,Tmax,"1) Between day 1 and day 10, there was an accumulation of the anti-Xa activity for treatment A but not for treatment B (accumulation factors: 1.6 and 1.1 respectively); 2) On day 10, the AUC(0-12 h) were slightly but significantly lower than the AUC(12-24 h) suggesting a circadian effect for anti-Xa and anti-IIa activities; 3) the clearance of the anti-Xa activity was comparable at the 2-dose regimens, while that of the anti-IIa activity was lower in treatment B than in treatment A, indicating a significant dose effect for the pharmacodynamics of the longer heparin chains; 4) On average, the clearance of the anti-IIa activity was twice as high as that of the anti-Xa activity; 5) For treatment B, significant APTT prolongations were noticed at Tmax (prolongation factor: 1.7 +/- 0.25), in relation with the anti-IIa activity (0.3 +/- 0.1 IU x ml(-1)).","Pharmacodynamics and tolerance of two nadroparin formulations (10,250 and 20,500 anti Xa IU x ml(-1)) delivered for 10 days at therapeutic dose. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9493587/),[iu] / [ml],0.3,101440,DB08813,Nadroparin
up to,20390227,peak concentration,"After oral administration, whatever the formulation, sustained anti-Xa and anti-IIa activities were obtained compared to the subcutaneous injection with a peak concentration at 4 hours (up to 0.59 anti-Xa U/ml and 0.11 anti-IIa U/ml for PLGA S 50% / ERS 50% formulation).",Oral administration of a microencapsulated low-molecular-weight heparin to rabbits: anti-Xa and anti-IIa profiles. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20390227/),[u] / [ml],0.59,136483,DB08813,Nadroparin
,20390227,peak concentration,"After oral administration, whatever the formulation, sustained anti-Xa and anti-IIa activities were obtained compared to the subcutaneous injection with a peak concentration at 4 hours (up to 0.59 anti-Xa U/ml and 0.11 anti-IIa U/ml for PLGA S 50% / ERS 50% formulation).",Oral administration of a microencapsulated low-molecular-weight heparin to rabbits: anti-Xa and anti-IIa profiles. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20390227/),[u] / [ml],0.11,136484,DB08813,Nadroparin
up to,20390227,relative bioavailabilities,"Anti-Xa and anti-IIa relative bioavailabilities were high, up to 40% (ERS 100% formulation).",Oral administration of a microencapsulated low-molecular-weight heparin to rabbits: anti-Xa and anti-IIa profiles. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20390227/),%,40,136485,DB08813,Nadroparin
,20390227,Anti-Xa/anti-IIa ratios,"Anti-Xa/anti-IIa ratios were within range already obtained for subcutaneous injection, i.e. between 5 and 15.",Oral administration of a microencapsulated low-molecular-weight heparin to rabbits: anti-Xa and anti-IIa profiles. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20390227/),,5 and 15,136486,DB08813,Nadroparin
,7919374,antifactor Xa/antithrombin ratio,"They were devoid of antithrombin activity, whereas the antifactor Xa/antithrombin ratio of CY216 was 3.8.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),,3.8,195197,DB08813,Nadroparin
,7919374,clearance,"After bolus intravenous administration, the clearance (mL/kg/h) of CY216 decreased from 91 +/- 27 for the dose of 12.5 U/kg to 49 +/- 14 for the dose of 50 U/kg and then remained constant up to the highest dose tested (500 U/kg).",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),[ml] / [h·kg],91,195198,DB08813,Nadroparin
,7919374,clearance,"After bolus intravenous administration, the clearance (mL/kg/h) of CY216 decreased from 91 +/- 27 for the dose of 12.5 U/kg to 49 +/- 14 for the dose of 50 U/kg and then remained constant up to the highest dose tested (500 U/kg).",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),[ml] / [h·kg],49,195199,DB08813,Nadroparin
,7919374,plasma activities,"Two hours after the injection, the three compounds provided a thrombus prevention of greater than 95% and mean plasma activities of 0.8, 0.9, and 1.9 U/mL for CY216, NPS, and SPS, respectively.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),[u] / [ml],0.8,195200,DB08813,Nadroparin
,7919374,plasma activities,"Two hours after the injection, the three compounds provided a thrombus prevention of greater than 95% and mean plasma activities of 0.8, 0.9, and 1.9 U/mL for CY216, NPS, and SPS, respectively.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),[u] / [ml],0.9,195201,DB08813,Nadroparin
,7919374,plasma activities,"Two hours after the injection, the three compounds provided a thrombus prevention of greater than 95% and mean plasma activities of 0.8, 0.9, and 1.9 U/mL for CY216, NPS, and SPS, respectively.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),[u] / [ml],1.9,195202,DB08813,Nadroparin
less,7919374,plasma anti-Xa activities,"At that time, the plasma anti-Xa activities were less than 0.06 U/mL for CY216 and NPS, but 1.1 U/mL for SPS.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),[u] / [ml],0.06,195203,DB08813,Nadroparin
,7919374,plasma anti-Xa activities,"At that time, the plasma anti-Xa activities were less than 0.06 U/mL for CY216 and NPS, but 1.1 U/mL for SPS.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),[u] / [ml],1.1,195204,DB08813,Nadroparin
,7919374,maximum inhibitory effect,"The lowest total doses providing the maximum inhibitory effect were 3,125, 1,428, and 62 micrograms/kg for CY216, NPS, and SPS, respectively.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),,1,195205,DB08813,Nadroparin
,7919374,maximum inhibitory effect,"The lowest total doses providing the maximum inhibitory effect were 3,125, 1,428, and 62 micrograms/kg for CY216, NPS, and SPS, respectively.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),,428,195206,DB08813,Nadroparin
,7919374,maximum inhibitory effect,"The lowest total doses providing the maximum inhibitory effect were 3,125, 1,428, and 62 micrograms/kg for CY216, NPS, and SPS, respectively.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),,62,195207,DB08813,Nadroparin
,7919374,steady state antifactor Xa activities,"These doses generated mean steady state antifactor Xa activities of 1.06, 1.5, and 1.2 anti-Xa U/mL, respectively.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),anti,1.06,195208,DB08813,Nadroparin
,7919374,steady state antifactor Xa activities,"These doses generated mean steady state antifactor Xa activities of 1.06, 1.5, and 1.2 anti-Xa U/mL, respectively.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),anti,1.5,195209,DB08813,Nadroparin
,7919374,steady state antifactor Xa activities,"These doses generated mean steady state antifactor Xa activities of 1.06, 1.5, and 1.2 anti-Xa U/mL, respectively.",Pharmacokinetic and antithrombotic properties of two pentasaccharides with high affinity to antithrombin III in the rabbit: comparison with CY216. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7919374/),anti,1.2,195210,DB08813,Nadroparin
,23227470,plasma activity,"The anti-FXa plasma activity increased significantly after enoxaparin administration, with peak levels at 3 h after treatment, but was comparable between the ICU and medical ward groups (median 0.16 IU ml-1 [IQR 0-0.22 IU ml-1] vs. 0.2 IU ml-1 [IQR 0.15-0.27 IU ml-1],respectively, P = 0.13).",Bioactivity of enoxaparin in critically ill patients with normal renal function. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23227470/),[iu] / [ml],0.16,246944,DB08813,Nadroparin
,23227470,plasma activity,"The anti-FXa plasma activity increased significantly after enoxaparin administration, with peak levels at 3 h after treatment, but was comparable between the ICU and medical ward groups (median 0.16 IU ml-1 [IQR 0-0.22 IU ml-1] vs. 0.2 IU ml-1 [IQR 0.15-0.27 IU ml-1],respectively, P = 0.13).",Bioactivity of enoxaparin in critically ill patients with normal renal function. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23227470/),[iu] / [ml],0.2,246945,DB08813,Nadroparin
,23227470,area under the anti-FXa activity curve from 0–12 h,"The area under the anti-FXa activity curve from 0–12 h was similar between the groups (median 0.97 IU ml-1 h [IQR0.59-2.1] and 1.48 IU ml-1 h1 [IQR 0.83-1.62], P = 0.42 for the ICU group compared with the control group, respectively).",Bioactivity of enoxaparin in critically ill patients with normal renal function. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23227470/),[h·iu] / [ml],0.97,246946,DB08813,Nadroparin
,23227470,area under the anti-FXa activity curve from 0–12 h,"The area under the anti-FXa activity curve from 0–12 h was similar between the groups (median 0.97 IU ml-1 h [IQR0.59-2.1] and 1.48 IU ml-1 h1 [IQR 0.83-1.62], P = 0.42 for the ICU group compared with the control group, respectively).",Bioactivity of enoxaparin in critically ill patients with normal renal function. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23227470/),[h1·iu] / [ml],1.48,246947,DB08813,Nadroparin
,31578015,Peak anti-Xa,Peak anti-Xa was significantly higher in the IV group 0.42 (0.39-0.43) IU/mL than in the SC group 0.16 (0.09-0.18) IU/mL (p < 0.001).,Pharmacokinetic Comparison of Subcutaneous and Intravenous Nadroparin Administration for Thromboprophylaxis in Critically Ill Patients on Vasopressors. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31578015/),[iu] / [ml],0.42,261293,DB08813,Nadroparin
,31578015,Peak anti-Xa,Peak anti-Xa was significantly higher in the IV group 0.42 (0.39-0.43) IU/mL than in the SC group 0.16 (0.09-0.18) IU/mL (p < 0.001).,Pharmacokinetic Comparison of Subcutaneous and Intravenous Nadroparin Administration for Thromboprophylaxis in Critically Ill Patients on Vasopressors. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31578015/),[iu] / [ml],0.16,261294,DB08813,Nadroparin
,31578015,area under the curve (AUC),There was a trend towards higher area under the curve (AUC) of anti-Xa in the SC group 1.41 (0.41-1.80) IU/mL × h than in the IV group 1.04 (0.93-1.13) IU/mL × h (p = 0.08).,Pharmacokinetic Comparison of Subcutaneous and Intravenous Nadroparin Administration for Thromboprophylaxis in Critically Ill Patients on Vasopressors. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31578015/),[iu] / [h·ml],1.41,261295,DB08813,Nadroparin
,31578015,area under the curve (AUC),There was a trend towards higher area under the curve (AUC) of anti-Xa in the SC group 1.41 (0.41-1.80) IU/mL × h than in the IV group 1.04 (0.93-1.13) IU/mL × h (p = 0.08).,Pharmacokinetic Comparison of Subcutaneous and Intravenous Nadroparin Administration for Thromboprophylaxis in Critically Ill Patients on Vasopressors. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31578015/),[iu] / [h·ml],1.04,261296,DB08813,Nadroparin
,31578015,decrease half-life,"In the IV group, anti-Xa decrease half-life was 1.6 (1.4-2.0) h.",Pharmacokinetic Comparison of Subcutaneous and Intravenous Nadroparin Administration for Thromboprophylaxis in Critically Ill Patients on Vasopressors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31578015/),h,1.6,261297,DB08813,Nadroparin
,11011804,MW,"The mean MW of these compounds ranges from 3,600 to 6,500 daltons.",Comparative pharmacokinetics of LMWHs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11011804/),daltons,"3,600 to 6,500",267803,DB08813,Nadroparin
,11011804,retention time,"The mean retention time of aXa activity varies from 5.2 (dalteparin) to approximately 7 h (enoxaparin, nadroparin).",Comparative pharmacokinetics of LMWHs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11011804/),h,5.2,267804,DB08813,Nadroparin
,11011804,retention time,"The mean retention time of aXa activity varies from 5.2 (dalteparin) to approximately 7 h (enoxaparin, nadroparin).",Comparative pharmacokinetics of LMWHs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11011804/),h,7,267805,DB08813,Nadroparin
,11011804,Bioavailability,"Bioavailability of prophylactic doses of LMWHs ranges from 86% (dalteparin) to 98% (enoxaparin, nadroparin).",Comparative pharmacokinetics of LMWHs. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11011804/),%,86,267806,DB08813,Nadroparin
,11011804,Bioavailability,"Bioavailability of prophylactic doses of LMWHs ranges from 86% (dalteparin) to 98% (enoxaparin, nadroparin).",Comparative pharmacokinetics of LMWHs. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11011804/),%,98,267807,DB08813,Nadroparin
,11011804,Clplasma,"The Clplasma is different for each LMWH: 16 mL/min enoxaparin, 21 mL/min nadroparin, 33 mL/min dalteparin, 19 mL/min reviparin, and 22 mL/min tinzaparin.",Comparative pharmacokinetics of LMWHs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11011804/),[ml] / [min],16,267808,DB08813,Nadroparin
,11011804,Clplasma,"The Clplasma is different for each LMWH: 16 mL/min enoxaparin, 21 mL/min nadroparin, 33 mL/min dalteparin, 19 mL/min reviparin, and 22 mL/min tinzaparin.",Comparative pharmacokinetics of LMWHs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11011804/),[ml] / [min],21,267809,DB08813,Nadroparin
,11011804,Clplasma,"The Clplasma is different for each LMWH: 16 mL/min enoxaparin, 21 mL/min nadroparin, 33 mL/min dalteparin, 19 mL/min reviparin, and 22 mL/min tinzaparin.",Comparative pharmacokinetics of LMWHs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11011804/),[ml] / [min],33,267810,DB08813,Nadroparin
,11011804,Clplasma,"The Clplasma is different for each LMWH: 16 mL/min enoxaparin, 21 mL/min nadroparin, 33 mL/min dalteparin, 19 mL/min reviparin, and 22 mL/min tinzaparin.",Comparative pharmacokinetics of LMWHs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11011804/),[ml] / [min],19,267811,DB08813,Nadroparin
,11011804,Clplasma,"The Clplasma is different for each LMWH: 16 mL/min enoxaparin, 21 mL/min nadroparin, 33 mL/min dalteparin, 19 mL/min reviparin, and 22 mL/min tinzaparin.",Comparative pharmacokinetics of LMWHs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11011804/),[ml] / [min],22,267812,DB08813,Nadroparin
,7586247,maximal peak activity,The maximal peak activity for aPTT ratio was 1.7.,Prolonged antithrombin activity of low-molecular-weight heparins. Clinical implications for the treatment of thromboembolic diseases. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7586247/),,1.7,271172,DB08813,Nadroparin
longer,7586247,Disappearance time,Disappearance time of these activities after the highest dose of both LMWHs was longer than 16 hours.,Prolonged antithrombin activity of low-molecular-weight heparins. Clinical implications for the treatment of thromboembolic diseases. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7586247/),h,16,271173,DB08813,Nadroparin
