Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2970910,time to reach peak concentration,"Nafarelin, a potent gonadotropin-releasing hormone (GnRH) agonist, was absorbed rapidly into systemic circulation (time to reach peak concentration, 20 to 40 minutes) after intranasal but not after sublingual or vaginal administration.","Absorption and metabolism of nafarelin, a potent agonist of gonadotropin-releasing hormone. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2970910/),min,20 to 40,90804,DB00666,Nafarelin
,2970910,Serum elimination half-life,Serum elimination half-life was about 2 hours.,"Absorption and metabolism of nafarelin, a potent agonist of gonadotropin-releasing hormone. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2970910/),h,2,90805,DB00666,Nafarelin
,2970910,Bioavailability,Bioavailability of this nasal formulation relative to a single subcutaneous dose averaged 21%.,"Absorption and metabolism of nafarelin, a potent agonist of gonadotropin-releasing hormone. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2970910/),%,21,90806,DB00666,Nafarelin
,20042308,m/,Quantification of bivalirudin was conducted by multiple reaction monitoring (MRM) of the transitions of m/z 1091.4-->(356.4+227.4) for bivalirudin and m/z 662.4-->328.5 for IS.,Development and validation of a LC-MS/MS method for determination of bivalirudin in human plasma: Application to a clinical pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20042308/),,1091.4,91554,DB00666,Nafarelin
,20042308,m/,Quantification of bivalirudin was conducted by multiple reaction monitoring (MRM) of the transitions of m/z 1091.4-->(356.4+227.4) for bivalirudin and m/z 662.4-->328.5 for IS.,Development and validation of a LC-MS/MS method for determination of bivalirudin in human plasma: Application to a clinical pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20042308/),,356.4,91555,DB00666,Nafarelin
,20042308,m/z,Quantification of bivalirudin was conducted by multiple reaction monitoring (MRM) of the transitions of m/z 1091.4-->(356.4+227.4) for bivalirudin and m/z 662.4-->328.5 for IS.,Development and validation of a LC-MS/MS method for determination of bivalirudin in human plasma: Application to a clinical pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20042308/),,662.4,91556,DB00666,Nafarelin
,20042308,m/z,Quantification of bivalirudin was conducted by multiple reaction monitoring (MRM) of the transitions of m/z 1091.4-->(356.4+227.4) for bivalirudin and m/z 662.4-->328.5 for IS.,Development and validation of a LC-MS/MS method for determination of bivalirudin in human plasma: Application to a clinical pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20042308/),,328.5,91557,DB00666,Nafarelin
,1531580,time to maximum concentration (Tmax),"After intravenous administration, time to maximum concentration (Tmax) was 2 minutes, and maximum serum concentration (Cmax) was 8.2 +/- 2.09 (SD) ng/ml.",Bioavailability of nafarelin in healthy volunteers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1531580/),min,2,114889,DB00666,Nafarelin
,1531580,maximum serum concentration (Cmax),"After intravenous administration, time to maximum concentration (Tmax) was 2 minutes, and maximum serum concentration (Cmax) was 8.2 +/- 2.09 (SD) ng/ml.",Bioavailability of nafarelin in healthy volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1531580/),[ng] / [ml],8.2,114890,DB00666,Nafarelin
,1531580,Tmax,"For intranasal nafarelin, mean Tmax was 18.4 +/- 7.9 minutes (range, 5 to 40 minutes), and Cmax was 2.04 +/- 1.29 ng/ml (range, 0.49 to 5.7 ng/ml).",Bioavailability of nafarelin in healthy volunteers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1531580/),min,18.4,114891,DB00666,Nafarelin
,1531580,Cmax,"For intranasal nafarelin, mean Tmax was 18.4 +/- 7.9 minutes (range, 5 to 40 minutes), and Cmax was 2.04 +/- 1.29 ng/ml (range, 0.49 to 5.7 ng/ml).",Bioavailability of nafarelin in healthy volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1531580/),[ng] / [ml],2.04,114892,DB00666,Nafarelin
,1531580,Systemic bioavailability,Systemic bioavailability of nafarelin ranged from 1.15% to 5.62% and averaged 2.82% +/- 1.23%.,Bioavailability of nafarelin in healthy volunteers. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1531580/),%,1.15,114893,DB00666,Nafarelin
,1531580,Systemic bioavailability,Systemic bioavailability of nafarelin ranged from 1.15% to 5.62% and averaged 2.82% +/- 1.23%.,Bioavailability of nafarelin in healthy volunteers. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1531580/),%,5.62,114894,DB00666,Nafarelin
,1531580,Systemic bioavailability,Systemic bioavailability of nafarelin ranged from 1.15% to 5.62% and averaged 2.82% +/- 1.23%.,Bioavailability of nafarelin in healthy volunteers. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1531580/),%,2.82,114895,DB00666,Nafarelin
,6234387,bioavailability,"Absorption was rapid and very reproducible, with peak levels occurring at 15-30 min and a bioavailability of approximately 2% relative to a subcutaneous dose.","Nasal absorption of nafarelin acetate, the decapeptide [D-Nal(2)6)]LHRH, in rhesus monkeys. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6234387/),%,2,141255,DB00666,Nafarelin
,3156598,binding,"With 10% plasma, the extent of binding was 31-37%, and 0.9-4.2% for nafarelin acetate and LHRH, respectively.","Plasma binding of LHRH and nafarelin acetate, a highly potent LHRH agonist. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3156598/),%,31-37,168707,DB00666,Nafarelin
,3156598,binding,"With 10% plasma, the extent of binding was 31-37%, and 0.9-4.2% for nafarelin acetate and LHRH, respectively.","Plasma binding of LHRH and nafarelin acetate, a highly potent LHRH agonist. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3156598/),%,0.9-4.2,168708,DB00666,Nafarelin
,3158549,length of the luteal phase,There also was no change in mean length of the luteal phase (13.7 +/- 2.1 days [control] versus 13.6 +/- 1.4 days).,Effect on corpus luteum function of luteal phase administration of a potent gonadotropin-releasing hormone analog (nafarelin). ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3158549/),d,13.7,232142,DB00666,Nafarelin
,3158549,length of the luteal phase,There also was no change in mean length of the luteal phase (13.7 +/- 2.1 days [control] versus 13.6 +/- 1.4 days).,Effect on corpus luteum function of luteal phase administration of a potent gonadotropin-releasing hormone analog (nafarelin). ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3158549/),d,13.6,232143,DB00666,Nafarelin
,9396162,half-life,The half-life for the degradation of YLV in an aqueous solution of pH 7.4 at 37 degrees C was 35.9 h.,"Degradation of a novel tripeptide, tert-butoxycarbonyl-Tyr-Leu-Val-CH2Cl, with inhibitory effect on human leukocyte elastase in aqueous solution and in biological fluids. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9396162/),h,35.9,249556,DB00666,Nafarelin
,9396162,activation energies,"The activation energies of the degradation in aqueous solutions at pH 2.0, 4.8, and 7.4 were 24.6, 22.1 and 23.4 kcal/mol, respectively.","Degradation of a novel tripeptide, tert-butoxycarbonyl-Tyr-Leu-Val-CH2Cl, with inhibitory effect on human leukocyte elastase in aqueous solution and in biological fluids. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9396162/),[kcal] / [mol],24.6,249557,DB00666,Nafarelin
,9396162,activation energies,"The activation energies of the degradation in aqueous solutions at pH 2.0, 4.8, and 7.4 were 24.6, 22.1 and 23.4 kcal/mol, respectively.","Degradation of a novel tripeptide, tert-butoxycarbonyl-Tyr-Leu-Val-CH2Cl, with inhibitory effect on human leukocyte elastase in aqueous solution and in biological fluids. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9396162/),[kcal] / [mol],22.1,249558,DB00666,Nafarelin
,9396162,activation energies,"The activation energies of the degradation in aqueous solutions at pH 2.0, 4.8, and 7.4 were 24.6, 22.1 and 23.4 kcal/mol, respectively.","Degradation of a novel tripeptide, tert-butoxycarbonyl-Tyr-Leu-Val-CH2Cl, with inhibitory effect on human leukocyte elastase in aqueous solution and in biological fluids. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9396162/),[kcal] / [mol],23.4,249559,DB00666,Nafarelin
,9396162,half-life,"In a bovine pancreas alpha-chymotrypsin solution at 37 degrees C, the half-life of YLV was 15 min at 25.6 micrograms/ml of alpha-chymotrypsin solution.","Degradation of a novel tripeptide, tert-butoxycarbonyl-Tyr-Leu-Val-CH2Cl, with inhibitory effect on human leukocyte elastase in aqueous solution and in biological fluids. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9396162/),min,15,249560,DB00666,Nafarelin
