Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8877019,central compartment apparent volume of distribution,The higher concentrations were the result of the 30 to 40% smaller central compartment apparent volume of distribution that was observed in the elderly subjects as compared with the young volunteers (2.8 +/- 1.1 vs 3.9 +/- 1.11 kg-1 for 1 mg dose).,The effect of age on the pharmacokinetics of the opioid antagonist nalmefene. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8877019/),1/[kg],2.8,346,DB00704,Naltrexone
,8877019,central compartment apparent volume of distribution,The higher concentrations were the result of the 30 to 40% smaller central compartment apparent volume of distribution that was observed in the elderly subjects as compared with the young volunteers (2.8 +/- 1.1 vs 3.9 +/- 1.11 kg-1 for 1 mg dose).,The effect of age on the pharmacokinetics of the opioid antagonist nalmefene. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8877019/),1/[kg],3.9,347,DB00704,Naltrexone
,8877019,distributional half-life (t1/2 lambda 1),The elderly volunteers also had a significantly shorter distributional half-life (t1/2 lambda 1) than young volunteers (0.7 +/- 0.7 vs 1.3 +/- 0.8 h for 1 mg dose).,The effect of age on the pharmacokinetics of the opioid antagonist nalmefene. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8877019/),h,0.7,348,DB00704,Naltrexone
,8877019,distributional half-life (t1/2 lambda 1),The elderly volunteers also had a significantly shorter distributional half-life (t1/2 lambda 1) than young volunteers (0.7 +/- 0.7 vs 1.3 +/- 0.8 h for 1 mg dose).,The effect of age on the pharmacokinetics of the opioid antagonist nalmefene. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8877019/),h,1.3,349,DB00704,Naltrexone
,827709,binding to,"Studies on naltrexone disposition indicate that (a) binding to plasma proteins in several species varies from 20-26 per cent, (b) distribution of drug from blood is extremely rapid and extensive, (c) beta-naltrexol is a major metabolite of naltrexone in man, monkey and guinea pig among six species studied, whereas alpha-naltrexol is a minor metabolite in the monkey and guinea pig only, and (d) metabolic reduction of naltrexone occurs in the 100,000 x g supernatant of guinea pig liver.",Testing of drug delivery systems for use in the treatment of narcotic addiction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/827709/),%,20-26,4399,DB00704,Naltrexone
,23001479,latency,"In the second study, similar hyperalgesic responses were observed in mice lacking the multidrug resistance protein 3 (MRP3) transporter protein (Mrp3(-/-) mice) in the liver and their wild-type controls (FVB mice; latency reductions: 3.1 ± 0.2 s at t = 30 min, P < 0.001 versus within-strain baseline).",Morphine induces hyperalgesia without involvement of μ-opioid receptor or morphine-3-glucuronide. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23001479/),s,3.1,8469,DB00704,Naltrexone
,8491826,signal-to-noise ratio,A signal-to-noise ratio of 4.5 is obtained when a 1 ng/ml spiked plasma sample is analyzed.,Determination of nalmefene in plasma by high-performance liquid chromatography with electrochemical detection and its application in pharmacokinetic studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8491826/),,4.5,11810,DB00704,Naltrexone
,15054115,K(i),"In a radioligand binding assay, DiPOA inhibited [(3)H]-diprenorphine binding to recombinant human mu receptors with a K(i) value of approximately 0.8 nM.","DiPOA ([8-(3,3-diphenyl-propyl)-4-oxo-1-phenyl-1,3,8-triazaspiro[4.5]dec-3-yl]-acetic acid), a novel, systemically available, and peripherally restricted mu opioid agonist with antihyperalgesic activity: I. In vitro pharmacological characterization and pharmacokinetic properties. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15054115/),nM,0.8,13758,DB00704,Naltrexone
,15054115,EC(50),"DiPOA showed potent agonist effects in a human mu receptor guanosine 5'-O-(3-[(35)S]thio)triphosphate functional assay, with an EC(50) value of approximately 33 nM and efficacy of approximately 85% [normalized to the mu agonist, [d-Ala2,MePhe4,Gly(ol)5]enkephalin].","DiPOA ([8-(3,3-diphenyl-propyl)-4-oxo-1-phenyl-1,3,8-triazaspiro[4.5]dec-3-yl]-acetic acid), a novel, systemically available, and peripherally restricted mu opioid agonist with antihyperalgesic activity: I. In vitro pharmacological characterization and pharmacokinetic properties. ",EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15054115/),nM,33,13759,DB00704,Naltrexone
<,15054115,central nervous system penetration,"High and sustained (> or =5 h) plasma levels for DiPOA were achieved following intraperitoneal administration at 3 and 10 mg/kg; central nervous system penetration, however, was < or =4% of the plasma concentration, even at levels exceeding 1500 ng/ml.","DiPOA ([8-(3,3-diphenyl-propyl)-4-oxo-1-phenyl-1,3,8-triazaspiro[4.5]dec-3-yl]-acetic acid), a novel, systemically available, and peripherally restricted mu opioid agonist with antihyperalgesic activity: I. In vitro pharmacological characterization and pharmacokinetic properties. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15054115/),,4,13760,DB00704,Naltrexone
