Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,17462131,lower limit of detection,The lower limit of detection is 0.01 ng/mL.,High-performance liquid chromatography-electrospray ionization-mass spectrometric determination of emedastine difumarate in human plasma and its pharmacokinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17462131/),[ng] / [ml],0.01,38469,DB06711,Naphazoline
,3608344,half-life,The half-life of nafimidone was 1.34 +/- 0.48 hours after a 100mg single dose and 1.69 +/- 0.91 hours after a 300mg single dose.,Pharmacokinetics of nafimidone in patients with chronic intractable epilepsy. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3608344/),h,1.34,40410,DB06711,Naphazoline
,3608344,half-life,The half-life of nafimidone was 1.34 +/- 0.48 hours after a 100mg single dose and 1.69 +/- 0.91 hours after a 300mg single dose.,Pharmacokinetics of nafimidone in patients with chronic intractable epilepsy. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3608344/),h,1.69,40411,DB06711,Naphazoline
,3608344,half-life,"However, the half-life of nafimidone alcohol increased from 2.84 +/- 0.72 hours after a 100mg single dose to 4.22 +/- 1.09 hours after a 300mg single dose (p less than 0.02).",Pharmacokinetics of nafimidone in patients with chronic intractable epilepsy. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3608344/),h,2.84,40412,DB06711,Naphazoline
,3608344,half-life,"However, the half-life of nafimidone alcohol increased from 2.84 +/- 0.72 hours after a 100mg single dose to 4.22 +/- 1.09 hours after a 300mg single dose (p less than 0.02).",Pharmacokinetics of nafimidone in patients with chronic intractable epilepsy. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3608344/),h,4.22,40413,DB06711,Naphazoline
,3608344,clearance,The clearance of nafimidone was 43.56 +/- 22.11 L/h/kg after a 100mg single dose and 35.51 +/- 28.93 L/h/kg after the 300mg single dose.,Pharmacokinetics of nafimidone in patients with chronic intractable epilepsy. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3608344/),[l] / [h·kg],43.56,40414,DB06711,Naphazoline
,3608344,clearance,The clearance of nafimidone was 43.56 +/- 22.11 L/h/kg after a 100mg single dose and 35.51 +/- 28.93 L/h/kg after the 300mg single dose.,Pharmacokinetics of nafimidone in patients with chronic intractable epilepsy. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3608344/),[l] / [h·kg],35.51,40415,DB06711,Naphazoline
,3608344,apparent volumes of distribution,The respective apparent volumes of distribution of nafimidone after single 100 and 300mg doses were 80.78 +/- 46.11 L/kg and 71.01 +/- 36.86 L/kg.,Pharmacokinetics of nafimidone in patients with chronic intractable epilepsy. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3608344/),[l] / [kg],80.78,40416,DB06711,Naphazoline
,3608344,apparent volumes of distribution,The respective apparent volumes of distribution of nafimidone after single 100 and 300mg doses were 80.78 +/- 46.11 L/kg and 71.01 +/- 36.86 L/kg.,Pharmacokinetics of nafimidone in patients with chronic intractable epilepsy. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3608344/),[l] / [kg],71.01,40417,DB06711,Naphazoline
,3608344,half-life,"After short term (9 to 10 weeks) and long term (127 to 152 weeks) maintenance therapy on nafimidone 600mg per day the half-life of nafimidone alcohol was 2.23 +/- 0.36 hours and 2.16 +/- 0.60 hours, respectively.",Pharmacokinetics of nafimidone in patients with chronic intractable epilepsy. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3608344/),h,2.23,40418,DB06711,Naphazoline
,3608344,half-life,"After short term (9 to 10 weeks) and long term (127 to 152 weeks) maintenance therapy on nafimidone 600mg per day the half-life of nafimidone alcohol was 2.23 +/- 0.36 hours and 2.16 +/- 0.60 hours, respectively.",Pharmacokinetics of nafimidone in patients with chronic intractable epilepsy. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3608344/),h,2.16,40419,DB06711,Naphazoline
,2888632,t 1/2,"After both iv and oral administration, nafimidone was rapidly eliminated from plasma (t 1/2 about 5 min), with concomitant formation of a pharmacologically active, nonconjugated metabolite, nafimidone alcohol.",Disposition of nafimidone in rats. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2888632/),min,5,48630,DB06711,Naphazoline
