Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,27121335,tmax,"Sumatriptan achieved Cmax rapidly (median tmax : 0.8-1.5 hours for adolescents, 0.5-2.0 hours for adults); elimination was also rapid (geometric mean t½ : <2 hours for adolescents, 1.9-2.4 hours for adults).","Pharmacokinetics, Safety, and Tolerability Following the Administration of a Single Dose of a Combination Tablet Containing Sumatriptan and Naproxen Sodium in Adolescent Patients With Migraine and in Healthy Adult Volunteers. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121335/),h,0.8-1.5,2017,DB00788,Naproxen
,27121335,tmax,"Sumatriptan achieved Cmax rapidly (median tmax : 0.8-1.5 hours for adolescents, 0.5-2.0 hours for adults); elimination was also rapid (geometric mean t½ : <2 hours for adolescents, 1.9-2.4 hours for adults).","Pharmacokinetics, Safety, and Tolerability Following the Administration of a Single Dose of a Combination Tablet Containing Sumatriptan and Naproxen Sodium in Adolescent Patients With Migraine and in Healthy Adult Volunteers. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121335/),h,0.5-2.0,2018,DB00788,Naproxen
<,27121335,t½,"Sumatriptan achieved Cmax rapidly (median tmax : 0.8-1.5 hours for adolescents, 0.5-2.0 hours for adults); elimination was also rapid (geometric mean t½ : <2 hours for adolescents, 1.9-2.4 hours for adults).","Pharmacokinetics, Safety, and Tolerability Following the Administration of a Single Dose of a Combination Tablet Containing Sumatriptan and Naproxen Sodium in Adolescent Patients With Migraine and in Healthy Adult Volunteers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121335/),h,2,2019,DB00788,Naproxen
,27121335,t½,"Sumatriptan achieved Cmax rapidly (median tmax : 0.8-1.5 hours for adolescents, 0.5-2.0 hours for adults); elimination was also rapid (geometric mean t½ : <2 hours for adolescents, 1.9-2.4 hours for adults).","Pharmacokinetics, Safety, and Tolerability Following the Administration of a Single Dose of a Combination Tablet Containing Sumatriptan and Naproxen Sodium in Adolescent Patients With Migraine and in Healthy Adult Volunteers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121335/),h,1.9-2.4,2020,DB00788,Naproxen
,27121335,tmax,"Compared with sumatriptan, naproxen was absorbed and eliminated more slowly (median tmax : 1.0-4.0 hours for adolescents, 1.0-3.0 hours for adults; geometric mean t½ : 13.4-16.3 hours for adolescents, 14.3-16.6 hours for adults).","Pharmacokinetics, Safety, and Tolerability Following the Administration of a Single Dose of a Combination Tablet Containing Sumatriptan and Naproxen Sodium in Adolescent Patients With Migraine and in Healthy Adult Volunteers. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121335/),h,1.0-4.0,2021,DB00788,Naproxen
,27121335,tmax,"Compared with sumatriptan, naproxen was absorbed and eliminated more slowly (median tmax : 1.0-4.0 hours for adolescents, 1.0-3.0 hours for adults; geometric mean t½ : 13.4-16.3 hours for adolescents, 14.3-16.6 hours for adults).","Pharmacokinetics, Safety, and Tolerability Following the Administration of a Single Dose of a Combination Tablet Containing Sumatriptan and Naproxen Sodium in Adolescent Patients With Migraine and in Healthy Adult Volunteers. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121335/),h,1.0-3.0,2022,DB00788,Naproxen
,27121335,t½,"Compared with sumatriptan, naproxen was absorbed and eliminated more slowly (median tmax : 1.0-4.0 hours for adolescents, 1.0-3.0 hours for adults; geometric mean t½ : 13.4-16.3 hours for adolescents, 14.3-16.6 hours for adults).","Pharmacokinetics, Safety, and Tolerability Following the Administration of a Single Dose of a Combination Tablet Containing Sumatriptan and Naproxen Sodium in Adolescent Patients With Migraine and in Healthy Adult Volunteers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121335/),h,13.4-16.3,2023,DB00788,Naproxen
,27121335,t½,"Compared with sumatriptan, naproxen was absorbed and eliminated more slowly (median tmax : 1.0-4.0 hours for adolescents, 1.0-3.0 hours for adults; geometric mean t½ : 13.4-16.3 hours for adolescents, 14.3-16.6 hours for adults).","Pharmacokinetics, Safety, and Tolerability Following the Administration of a Single Dose of a Combination Tablet Containing Sumatriptan and Naproxen Sodium in Adolescent Patients With Migraine and in Healthy Adult Volunteers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121335/),h,14.3-16.6,2024,DB00788,Naproxen
,24954342,T1/2,"Diclofenac potassium had the lowest T1/2 and the highest mean Css, muscle/Css, plasma (1.9 hours and 0.85±0.53, respectively).",Concentration of non-steroidal anti-inflammatory drugs in the pelvic floor muscles: an experimental comparative rat model. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24954342/),h,1.9,2086,DB00788,Naproxen
,24954342,"Css, muscle/Css","Diclofenac potassium had the lowest T1/2 and the highest mean Css, muscle/Css, plasma (1.9 hours and 0.85±0.53, respectively).",Concentration of non-steroidal anti-inflammatory drugs in the pelvic floor muscles: an experimental comparative rat model. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24954342/),,0.85,2087,DB00788,Naproxen
