Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,31836899,limit of detection,"In this study, an alternative, a simple, sensitive high-performance liquid chromatography method has been developed (limit of detection: 15 ng/mL and limit of quantification: 50 ng/mL) for simultaneous estimation of this drug combination in rat plasma.",Simultaneous Pharmacokinetics Estimation of Nateglinide and Pioglitazone by RP-HPLC: Computational Study to Unlock the Synergism. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31836899/),[ng] / [ml],15,13370,DB00731,Nateglinide
,31836899,limit of quantification,"In this study, an alternative, a simple, sensitive high-performance liquid chromatography method has been developed (limit of detection: 15 ng/mL and limit of quantification: 50 ng/mL) for simultaneous estimation of this drug combination in rat plasma.",Simultaneous Pharmacokinetics Estimation of Nateglinide and Pioglitazone by RP-HPLC: Computational Study to Unlock the Synergism. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31836899/),[ng] / [ml],50,13371,DB00731,Nateglinide
,31836899,flow rate,"Using a Waters Nova-Pak C 18 column (150 × 3.9 mm, 4 μm) and a mobile phase of acetonitrile: 10 mM KH2PO4 (60: 40, V/V (volume by volume)) pH 3.5, the analysis was performed at 210 nm with a flow rate of 1.5 mL/min.",Simultaneous Pharmacokinetics Estimation of Nateglinide and Pioglitazone by RP-HPLC: Computational Study to Unlock the Synergism. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31836899/),[ml] / [min],1.5,13372,DB00731,Nateglinide
,22727067,relative bioavailability,The relative bioavailability of the test formulation was estimated to be 102.1% (13.5%).,"Relative fasting bioavailability of two formulations of nateglinide 60 mg in healthy male Chinese volunteers: an open-label, randomized-sequence, single-dose, two-way crossover study. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22727067/),%,102.1,14459,DB00731,Nateglinide
,18342586,flow rate,"All analytes including the internal standard (Repaglinide) were chromatographed on reverse phase C(18) column (50 mm x 4.6mm i.d., 5 microm) using acetonitrile: 2mM ammonium acetate buffer, pH 3.4 (90:10, v/v) as mobile phase at a flow rate 0.4 ml/min in an isocratic mode.","Development and validation of a liquid chromatography/tandem mass spectrometry assay for the simultaneous determination of nateglinide, cilostazol and its active metabolite 3,4-dehydro-cilostazol in Wistar rat plasma and its application to pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18342586/),[ml] / [min],0.4,20739,DB00731,Nateglinide
>,18342586,recoveries,The recoveries from spiked control samples were >79% for all analytes and internal standard.,"Development and validation of a liquid chromatography/tandem mass spectrometry assay for the simultaneous determination of nateglinide, cilostazol and its active metabolite 3,4-dehydro-cilostazol in Wistar rat plasma and its application to pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18342586/),%,79,20740,DB00731,Nateglinide
,11563410,plasma t 1/2,Nateglinide was rapidly eliminated with plasma t 1/2 = 1.4 hours.,The effect of food on the oral bioavailability and the pharmacodynamic actions of the insulinotropic agent nateglinide in healthy subjects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11563410/),h,1.4,45558,DB00731,Nateglinide
,11563410,plasma renal clearance,"Its plasma renal clearance, 20.7 ml/min, appears to be due mostly to active tubular secretion.",The effect of food on the oral bioavailability and the pharmacodynamic actions of the insulinotropic agent nateglinide in healthy subjects. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11563410/),[ml] / [min],20.7,45559,DB00731,Nateglinide
,9117089,Ki,"The Ki value was 4.34 +/- 0.04 x 10(7) M, and the displacement potency of A-4166 was between that of glibenclamide and tolbutamide, being similar to that of gliclazide.","Hypoglycaemic and insulinotropic effects of a novel oral antidiabetic agent, (-)-N-(trans-4-isopropylcyclohexanecarbonyl)-D-phenylalanine (A-4166). ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9117089/),M,4.34,68040,DB00731,Nateglinide
,8894500,Tmax,"When 1 mg of NN623 or 60 mg of A4166 was administered just before the meal, Tmax of NN623 and A4166 was 34 +/- 18 min and 18 +/- 6 min, while T1/2 was 0.64 +/- 0.12 h and 0.98 +/- 0.06 h, respectively.","Modulation of insulin secretion in non-insulin-dependent diabetes mellitus by two novel oral hypoglycaemic agents, NN623 and A4166. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8894500/),min,34,76953,DB00731,Nateglinide
,8894500,Tmax,"When 1 mg of NN623 or 60 mg of A4166 was administered just before the meal, Tmax of NN623 and A4166 was 34 +/- 18 min and 18 +/- 6 min, while T1/2 was 0.64 +/- 0.12 h and 0.98 +/- 0.06 h, respectively.","Modulation of insulin secretion in non-insulin-dependent diabetes mellitus by two novel oral hypoglycaemic agents, NN623 and A4166. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8894500/),min,18,76954,DB00731,Nateglinide
,8894500,T1/2,"When 1 mg of NN623 or 60 mg of A4166 was administered just before the meal, Tmax of NN623 and A4166 was 34 +/- 18 min and 18 +/- 6 min, while T1/2 was 0.64 +/- 0.12 h and 0.98 +/- 0.06 h, respectively.","Modulation of insulin secretion in non-insulin-dependent diabetes mellitus by two novel oral hypoglycaemic agents, NN623 and A4166. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8894500/),h,0.64,76955,DB00731,Nateglinide
,8894500,T1/2,"When 1 mg of NN623 or 60 mg of A4166 was administered just before the meal, Tmax of NN623 and A4166 was 34 +/- 18 min and 18 +/- 6 min, while T1/2 was 0.64 +/- 0.12 h and 0.98 +/- 0.06 h, respectively.","Modulation of insulin secretion in non-insulin-dependent diabetes mellitus by two novel oral hypoglycaemic agents, NN623 and A4166. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8894500/),h,0.98,76956,DB00731,Nateglinide
,12844132,half-life,"Fluconazole raised the total area under the plasma concentration-time curve from time 0 to infinity of nateglinide by 48% (range, 20%-73%; P <.00001) and prolonged its half-life from 1.6 to 1.9 hours (P <.05), but the peak plasma nateglinide concentration remained unchanged.",Effect of fluconazole on the pharmacokinetics and pharmacodynamics of nateglinide. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12844132/),h,1.6,111756,DB00731,Nateglinide
,12844132,half-life,"Fluconazole raised the total area under the plasma concentration-time curve from time 0 to infinity of nateglinide by 48% (range, 20%-73%; P <.00001) and prolonged its half-life from 1.6 to 1.9 hours (P <.05), but the peak plasma nateglinide concentration remained unchanged.",Effect of fluconazole on the pharmacokinetics and pharmacodynamics of nateglinide. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12844132/),h,1.9,111757,DB00731,Nateglinide
,12844132,half-life,"The peak plasma concentration of the M7 metabolite of nateglinide was reduced by 34% by fluconazole (P <.001), and its half-life was prolonged from 2.2 to 3.5 hours (P <.05).",Effect of fluconazole on the pharmacokinetics and pharmacodynamics of nateglinide. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12844132/),h,2.2,111758,DB00731,Nateglinide
,12844132,half-life,"The peak plasma concentration of the M7 metabolite of nateglinide was reduced by 34% by fluconazole (P <.001), and its half-life was prolonged from 2.2 to 3.5 hours (P <.05).",Effect of fluconazole on the pharmacokinetics and pharmacodynamics of nateglinide. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12844132/),h,3.5,111759,DB00731,Nateglinide
,11259325,maximal plasma concentrations,"The maximal plasma concentrations of radioactivity (6360 ngEq/ml) and nateglinide (5690 ng/ml) were comparable, and plasma radioactivity concentrations were about twice those of blood at all times.",Pharmacokinetics and metabolism of nateglinide in humans. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11259325/),[ngeq] / [ml],6360,112229,DB00731,Nateglinide
