Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,22007493,T(max),"The main pharmacokinetics parameters of the sustained-release tablets and conventional tablets were as follows, respectively: T(max)(3.67 +/- 1.51) hand (1.58 +/- 0.38) h; C(max) (5.04 +/- 1.19) mg/L and (4.56 +/- 1.70) mg/L; AUC(0 --> infinity) (32.82 +/- 9.88) mg/L x h and (29.84 +/- 14.27) mg/L x h.",[Pharmacokinetics and relative bioavailability of neostigmine bromide sustained-release tablets]. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22007493/),h,3.67,15018,DB01400,Neostigmine
,22007493,T(max),"The main pharmacokinetics parameters of the sustained-release tablets and conventional tablets were as follows, respectively: T(max)(3.67 +/- 1.51) hand (1.58 +/- 0.38) h; C(max) (5.04 +/- 1.19) mg/L and (4.56 +/- 1.70) mg/L; AUC(0 --> infinity) (32.82 +/- 9.88) mg/L x h and (29.84 +/- 14.27) mg/L x h.",[Pharmacokinetics and relative bioavailability of neostigmine bromide sustained-release tablets]. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22007493/),h,1.58,15019,DB01400,Neostigmine
,22007493,C(max),"The main pharmacokinetics parameters of the sustained-release tablets and conventional tablets were as follows, respectively: T(max)(3.67 +/- 1.51) hand (1.58 +/- 0.38) h; C(max) (5.04 +/- 1.19) mg/L and (4.56 +/- 1.70) mg/L; AUC(0 --> infinity) (32.82 +/- 9.88) mg/L x h and (29.84 +/- 14.27) mg/L x h.",[Pharmacokinetics and relative bioavailability of neostigmine bromide sustained-release tablets]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22007493/),[mg] / [l],5.04,15020,DB01400,Neostigmine
,22007493,C(max),"The main pharmacokinetics parameters of the sustained-release tablets and conventional tablets were as follows, respectively: T(max)(3.67 +/- 1.51) hand (1.58 +/- 0.38) h; C(max) (5.04 +/- 1.19) mg/L and (4.56 +/- 1.70) mg/L; AUC(0 --> infinity) (32.82 +/- 9.88) mg/L x h and (29.84 +/- 14.27) mg/L x h.",[Pharmacokinetics and relative bioavailability of neostigmine bromide sustained-release tablets]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22007493/),[mg] / [l],4.56,15021,DB01400,Neostigmine
,22007493,AUC(0 --> infinity),"The main pharmacokinetics parameters of the sustained-release tablets and conventional tablets were as follows, respectively: T(max)(3.67 +/- 1.51) hand (1.58 +/- 0.38) h; C(max) (5.04 +/- 1.19) mg/L and (4.56 +/- 1.70) mg/L; AUC(0 --> infinity) (32.82 +/- 9.88) mg/L x h and (29.84 +/- 14.27) mg/L x h.",[Pharmacokinetics and relative bioavailability of neostigmine bromide sustained-release tablets]. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22007493/),[mg] / [h·l],32.82,15022,DB01400,Neostigmine
,22007493,AUC(0 --> infinity),"The main pharmacokinetics parameters of the sustained-release tablets and conventional tablets were as follows, respectively: T(max)(3.67 +/- 1.51) hand (1.58 +/- 0.38) h; C(max) (5.04 +/- 1.19) mg/L and (4.56 +/- 1.70) mg/L; AUC(0 --> infinity) (32.82 +/- 9.88) mg/L x h and (29.84 +/- 14.27) mg/L x h.",[Pharmacokinetics and relative bioavailability of neostigmine bromide sustained-release tablets]. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22007493/),[mg] / [h·l],29.84,15023,DB01400,Neostigmine
,22007493,relative bioavailability,The relative bioavailability of the neostigmine bromide sustained-release tablets was 115.4%.,[Pharmacokinetics and relative bioavailability of neostigmine bromide sustained-release tablets]. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22007493/),%,115.4,15024,DB01400,Neostigmine
,6119998,ED50,The ED50 of neostigmine (dose which produced a 50% antagonism) when antagonizing Org NC 45 and pancuronium was 0.011 mg kg-1 and 0.010 mg kg-1 respectively.,Antagonism of org NC 45 (vecuronium) and pancuronium neuromuscular blockade by neostigmine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6119998/),[mg] / [kg],0.011,18027,DB01400,Neostigmine
,6119998,ED50,The ED50 of neostigmine (dose which produced a 50% antagonism) when antagonizing Org NC 45 and pancuronium was 0.011 mg kg-1 and 0.010 mg kg-1 respectively.,Antagonism of org NC 45 (vecuronium) and pancuronium neuromuscular blockade by neostigmine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6119998/),[mg] / [kg],0.010,18028,DB01400,Neostigmine
,1662599,Onset time,"Onset time and clinical duration were 2.3 and 109 min and 2.8 and 39 min in Groups L and C, respectively.","The pharmacokinetics, urinary and biliary excretion of pipecuronium bromide. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1662599/),min,2.3,57479,DB01400,Neostigmine
