Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3958904,1.0 V,The limit of quantitation for nicardipine at 1.0 V versus Ag/AgCl was 8 ng/mL and the linear dynamic range was 15-150 ng/mL.,Intranasal delivery of nicardipine in the rat. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3958904/),[ng] / [ml],8,4745,DB00622,Nicardipine
,3958904,linear dynamic,The limit of quantitation for nicardipine at 1.0 V versus Ag/AgCl was 8 ng/mL and the linear dynamic range was 15-150 ng/mL.,Intranasal delivery of nicardipine in the rat. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3958904/),[ng] / [ml],15-150,4746,DB00622,Nicardipine
,3958904,area under the plasma concentration curve,Following intravenous administration the area under the plasma concentration curve was 5110 ng . min/mL as compared to 3730 ng . min/mL following intranasal dosing.,Intranasal delivery of nicardipine in the rat. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3958904/),[min·ng] / [ml],5110,4747,DB00622,Nicardipine
,3958904,area under the plasma concentration curve,Following intravenous administration the area under the plasma concentration curve was 5110 ng . min/mL as compared to 3730 ng . min/mL following intranasal dosing.,Intranasal delivery of nicardipine in the rat. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3958904/),[min·ng] / [ml],3730,4748,DB00622,Nicardipine
,3958904,bioavailability,This corresponds to a bioavailability of 73%.,Intranasal delivery of nicardipine in the rat. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3958904/),%,73,4749,DB00622,Nicardipine
,9832368,recovery,The recovery of nicardipine from plasma samples using selective SPE was 91+/-6.0% and had less interfering compounds in the HPLC analysis compared to the use of liquid-liquid (L/L) extraction.,Extraction and quantification of nicardipine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9832368/),%,91,8754,DB00622,Nicardipine
,6502496,extraction efficiencies,"The extraction efficiencies for nicardipine and its pyridine metabolite II from 1 mL of plasma were 77.4 and 81.1%, respectively.",A high-performance liquid chromatographic method for the simultaneous determination of nicardipine and its pyridine metabolite II in plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6502496/),%,77.4,15940,DB00622,Nicardipine
,6502496,extraction efficiencies,"The extraction efficiencies for nicardipine and its pyridine metabolite II from 1 mL of plasma were 77.4 and 81.1%, respectively.",A high-performance liquid chromatographic method for the simultaneous determination of nicardipine and its pyridine metabolite II in plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6502496/),%,81.1,15941,DB00622,Nicardipine
,7426117,terminal half-life,The terminal half-life of the drug after i.v. administration to humans was about 1 h.,"Comparative pharmacokinetics of nicardipine hydrochloride, a new vasodilator, in various species. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7426117/),h,1,20935,DB00622,Nicardipine
,3588513,Emax,"The corresponding Emax-values were about 100% and IC50-values about 10 and 65 nM, respectively.",A comparative study of the pharmacodynamics and pharmacokinetics of nicardipine and nitrendipine in the isolated rabbit heart. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3588513/),%,100,24274,DB00622,Nicardipine
,3588513,IC50,"The corresponding Emax-values were about 100% and IC50-values about 10 and 65 nM, respectively.",A comparative study of the pharmacodynamics and pharmacokinetics of nicardipine and nitrendipine in the isolated rabbit heart. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3588513/),nM,10,24275,DB00622,Nicardipine
,3588513,IC50,"The corresponding Emax-values were about 100% and IC50-values about 10 and 65 nM, respectively.",A comparative study of the pharmacodynamics and pharmacokinetics of nicardipine and nitrendipine in the isolated rabbit heart. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3588513/),nM,65,24276,DB00622,Nicardipine
,3588513,Emax,"Myocardial oxygen consumption did not decrease at the lower concentrations of neither nicardipine nor nitrendipine but were at the higher levels inhibited significantly with Emax-values of about 68 and 78% and IC50-values about 21 and 136 nM, respectively.",A comparative study of the pharmacodynamics and pharmacokinetics of nicardipine and nitrendipine in the isolated rabbit heart. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3588513/),%,68,24277,DB00622,Nicardipine
,3588513,Emax,"Myocardial oxygen consumption did not decrease at the lower concentrations of neither nicardipine nor nitrendipine but were at the higher levels inhibited significantly with Emax-values of about 68 and 78% and IC50-values about 21 and 136 nM, respectively.",A comparative study of the pharmacodynamics and pharmacokinetics of nicardipine and nitrendipine in the isolated rabbit heart. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3588513/),%,78,24278,DB00622,Nicardipine
,3588513,IC50,"Myocardial oxygen consumption did not decrease at the lower concentrations of neither nicardipine nor nitrendipine but were at the higher levels inhibited significantly with Emax-values of about 68 and 78% and IC50-values about 21 and 136 nM, respectively.",A comparative study of the pharmacodynamics and pharmacokinetics of nicardipine and nitrendipine in the isolated rabbit heart. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3588513/),nM,21,24279,DB00622,Nicardipine
,3588513,IC50,"Myocardial oxygen consumption did not decrease at the lower concentrations of neither nicardipine nor nitrendipine but were at the higher levels inhibited significantly with Emax-values of about 68 and 78% and IC50-values about 21 and 136 nM, respectively.",A comparative study of the pharmacodynamics and pharmacokinetics of nicardipine and nitrendipine in the isolated rabbit heart. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3588513/),nM,136,24280,DB00622,Nicardipine
,3588513,Emax,"Both drugs, but especially nitrendipine, showed a marked negative chronotropic effect (Emax 33 and 56% and IC50 6 and 81 nM, respectively).",A comparative study of the pharmacodynamics and pharmacokinetics of nicardipine and nitrendipine in the isolated rabbit heart. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3588513/),%,33,24281,DB00622,Nicardipine
,3588513,Emax,"Both drugs, but especially nitrendipine, showed a marked negative chronotropic effect (Emax 33 and 56% and IC50 6 and 81 nM, respectively).",A comparative study of the pharmacodynamics and pharmacokinetics of nicardipine and nitrendipine in the isolated rabbit heart. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3588513/),%,56,24282,DB00622,Nicardipine
